Id,Name,
10000001,凯特,
10000002,神里绫华,
10000003,琴,
10000005,旅行者,
10000006,丽莎,
10000007,旅行者,
10000014,芭芭拉,
10000015,凯亚,
10000016,迪卢克,
10000020,雷泽,
10000021,安柏,
10000022,温迪,
10000023,香菱,
10000024,北斗,
10000025,行秋,
10000026,魈,
10000027,凝光,
10000029,可莉,
10000030,钟离,
10000031,菲谢尔,
10000032,班尼特,
10000033,达达利亚,
10000034,诺艾尔,
10000035,七七,
10000036,重云,
10000037,甘雨,
10000038,阿贝多,
10000039,迪奥娜,
10000041,莫娜,
10000042,刻晴,
10000043,砂糖,
10000044,辛焱,
10000045,罗莎莉亚,
10000046,胡桃,
10000047,枫原万叶,
10000048,烟绯,
10000049,宵宫,
10000050,托马,
10000051,优菈,
10000052,雷电将军,
10000053,早柚,
10000054,珊瑚宫心海,
10000055,五郎,
10000056,九条裟罗,
10000057,荒泷一斗,
10000058,八重神子,
10000059,鹿野院平藏,
10000060,夜兰,
10000061,绮良良,
10000062,埃洛伊,
10000063,申鹤,
10000064,云堇,
10000065,久岐忍,
10000066,神里绫人,
10000067,柯莱,
10000068,多莉,
10000069,提纳里,
10000070,妮露,
10000071,赛诺,
10000072,坎蒂丝,
10000073,纳西妲,
10000074,莱依拉,
10000075,流浪者,
10000076,珐露珊,
10000077,瑶瑶,
10000078,艾尔海森,
10000079,迪希雅,
10000080,米卡,
10000081,卡维,
10000082,白术,
10000083,琳妮特,
10000084,林尼,
10000085,菲米尼,
10000086,莱欧斯利,
10000087,那维莱特,
10000088,夏洛蒂,
10000089,芙宁娜,
11000008,队伍测试4号,
11000009,场景测试,
11000010,裸模1号,
11000011,裸男,
11000013,联机测试,
11000017,成男体型测试,
11000018,成女体型测试,
11000019,少女体型测试,
11000025,阿葵丽雅,
11000026,瑶瑶(测试),
11000027,少女体型测试-二号机,
11000028,白盒少女,
11000030,大剑少女,
11000031,后武器测试A,
11000032,后武器测试B,
11000033,后武器测试C,
11000034,后武器测试D,
11000035,长枪成女,
11000036,单手剑成女测试,
11000037,Rx白盒,
11000038,少男体型测试,
11000039,成男体型测试,
11000040,女主新普攻,
11000041,男主新普攻,
11000042,重云（测试）,
11000043,测试角色,
11000044,七七（测试）,
11000045,迪奥娜(测试),
11101,无锋剑,
11201,银剑,
11301,冷刃,
11302,黎明神剑,
11303,旅行剑,
11304,暗铁剑,
11305,吃虎鱼刀,
11306,飞天御剑,
11401,西风剑,
11402,笛剑,
11403,祭礼剑,
11404,宗室长剑,
11405,匣里龙吟,
11406,试作斩岩,
11407,铁蜂刺,
11408,黑岩长剑,
11409,黑剑,
11410,暗巷闪光,
11411,,
11412,降临之剑,
11413,腐殖之剑,
11414,天目影打刀,
11415,辰砂之纺锤,
11416,笼钓瓶一心,
11417,原木刀,
11418,西福斯的月光,
11419,「一心传」名刀,
11420,「一心传」名刀,
11421,「一心传」名刀,
11422,东花坊时雨,
11424,狼牙,
11425,海渊终曲,
11426,灰河渡手,
11427,船坞长剑,
11428,水仙十字之剑,
11429,水仙十字之剑,
11501,风鹰剑,
11502,天空之刃,
11503,苍古自由之誓,
11504,斫峰之刃,
11505,磐岩结绿,
11506,,
11507,,
11508,,
11509,雾切之回光,
11510,波乱月白经津,
11511,圣显之钥,
11512,裁叶萃光,
11513,静水流涌之辉,
12101,训练大剑,
12201,佣兵重剑,
12301,铁影阔剑,
12302,沐浴龙血的剑,
12303,白铁大剑,
12304,石英大剑,
12305,以理服人,
12306,飞天大御剑,
12401,西风大剑,
12402,钟剑,
12403,祭礼大剑,
12404,宗室大剑,
12405,雨裁,
12406,试作古华,
12407,白影剑,
12408,黑岩斩刀,
12409,螭骨剑,
12410,千岩古剑,
12411,雪葬的星银,
12412,衔珠海皇,
12414,桂木斩长正,
12415,玛海菈的水色,
12416,恶王丸,
12417,森林王器,
12418,饰铁之花,
12424,聊聊棒,
12425,浪影阔剑,
12427,便携动力锯,
12501,天空之傲,
12502,狼的末路,
12503,松籁响起之时,
12504,无工之剑,
12505,,
12506,,
12508,,
12509,,
12510,赤角石溃杵,
12511,苇海信标,
13101,新手长枪,
13201,铁尖枪,
13301,白缨枪,
13302,钺矛,
13303,黑缨枪,
13304,「旗杆」,
13401,匣里灭辰,
13402,试作星镰,
13403,流月针,
13404,黑岩刺枪,
13405,决斗之枪,
13406,千岩长枪,
13407,西风长枪,
13408,宗室猎枪,
13409,龙脊长枪,
13414,喜多院十文字,
13415,「渔获」,
13416,断浪长鳍,
13417,贯月矢,
13419,风信之锋,
13424,峡湾长歌,
13425,公义的酬报,
13427,勘探钻机,
13501,护摩之杖,
13502,天空之脊,
13503,,
13504,贯虹之槊,
13505,和璞鸢,
13506,,
13507,息灾,
13509,薙草之稻光,
13511,赤沙之杖,
14101,学徒笔记,
14201,口袋魔导书,
14301,魔导绪论,
14302,讨龙英杰谭,
14303,异世界行记,
14304,翡玉法球,
14305,甲级宝珏,
14306,琥珀玥,
14401,西风秘典,
14402,流浪乐章,
14403,祭礼残章,
14404,宗室秘法录,
14405,匣里日月,
14406,试作金珀,
14407,万国诸海图谱,
14408,黑岩绯玉,
14409,昭心,
14410,暗巷的酒与诗,
14411,,
14412,忍冬之果,
14413,嘟嘟可故事集,
14414,白辰之环,
14415,证誓之明瞳,
14416,流浪的晚星,
14417,盈满之实,
14424,遗祀玉珑,
14425,纯水流华,
14426,无垠蔚蓝之歌,
14501,天空之卷,
14502,四风原典,
14503,,
14504,尘世之锁,
14505,碧落之珑,
14506,不灭月华,
14508,,
14509,神乐之真意,
14511,千夜浮梦,
14512,图莱杜拉的回忆,
14513,金流监督,
14514,万世流涌大典,
15101,猎弓,
15201,历练的猎弓,
15301,鸦羽弓,
15302,神射手之誓,
15303,反曲弓,
15304,弹弓,
15305,信使,
15306,黑檀弓,
15401,西风猎弓,
15402,绝弦,
15403,祭礼弓,
15404,宗室长弓,
15405,弓藏,
15406,试作澹月,
15407,钢轮弓,
15408,黑岩战弓,
15409,苍翠猎弓,
15410,暗巷猎手,
15411,落霞,
15412,幽夜华尔兹,
15413,风花之颂,
15414,破魔之弓,
15415,掠食者,
15416,曚云之月,
15417,王下近侍,
15418,竭泽,
15419,鹮穿之喙,
15424,烈阳之嗣,
15425,静谧之曲,
15427,测距规,
15501,天空之翼,
15502,阿莫斯之弓,
15503,终末嗟叹之诗,
15504,,
15505,,
15506,,
15507,冬极白星,
15508,若水,
15509,飞雷之弦振,
15511,猎人之径,
15512,最初的大魔术,
20001,(test)竿测试,
10002,(test)穿模测试,
10003,(test)穿模测试,
10004,(test)穿模测试,
10005,(test)穿模测试,
10006,(test)穿模测试,
10008,(test)穿模测试,
