Id,CityId,PoolId,QuestId,Type,Rarity,CenterPosition,Title,Description,Target,
10100,1,1001,0,Scene,2,Event_10100,丘丘人的一小步,一群丘丘人在野外建立了营地，意在聚集起更多丘丘人。消灭所有魔物，清除这股威胁。,消灭所有魔物,
10101,1,1001,0,Scene,2,Event_10101,丘丘人的一小步,一群丘丘人在野外建立了营地，意在聚集起更多丘丘人。消灭所有魔物，清除这股威胁。,消灭所有魔物,
10102,1,1001,0,Scene,2,Event_10102,丘丘人的一小步,一群丘丘人在野外建立了营地，意在聚集起更多丘丘人。消灭所有魔物，清除这股威胁。,消灭所有魔物,
10103,1,1001,0,Scene,2,Event_10103,丘丘人的一小步,一群丘丘人在野外建立了营地，意在聚集起更多丘丘人。消灭所有魔物，清除这股威胁。,消灭所有魔物,
10104,1,1001,0,Scene,2,Event_10104,丘丘人的一小步,一群丘丘人在野外建立了营地，意在聚集起更多丘丘人。消灭所有魔物，清除这股威胁。,消灭所有魔物,
10106,1,1001,0,Scene,2,Event_10106,冰凉凉的大团危机！,一群冰史莱姆在野外出现，前往消灭它们，清除这股威胁。如果以「雷」属性攻击，也许会有奇效。,消灭所有魔物,
10107,1,1001,0,Scene,2,Event_10107,持盾的危机,一群持有木盾的丘丘人正在野外游荡。消灭它们，清除这股威胁。如果以「火」属性攻击，也许可以轻松摧毁木盾。,消灭所有魔物,
10200,1,1002,0,Scene,2,Event_10200,邪恶的扩张,一名深渊法师正在对丘丘人进行怪异的仪式。消灭所有魔物，清除这股威胁。,消灭所有魔物,
10201,1,1002,0,Scene,2,Event_10201,邪恶的扩张,一名深渊法师正在对丘丘人进行怪异的仪式。消灭所有魔物，清除这股威胁。,消灭所有魔物,
10202,1,1002,0,Scene,2,Event_10202,邪恶的扩张,一名深渊法师正在对丘丘人进行怪异的仪式。消灭所有魔物，清除这股威胁。,消灭所有魔物,
10203,1,1002,0,Scene,2,Event_10203,邪恶的扩张,一名深渊法师正在对丘丘人进行怪异的仪式。消灭所有魔物，清除这股威胁。,消灭所有魔物,
10204,1,1002,0,Scene,2,Event_10204,邪恶的扩张,一名深渊法师正在对丘丘人进行怪异的仪式。消灭所有魔物，清除这股威胁。,消灭所有魔物,
10205,1,1002,0,Scene,2,Event_10205,邪恶的扩张,一名深渊法师正在对丘丘人进行怪异的仪式。消灭所有魔物，清除这股威胁。,消灭所有魔物,
10206,1,1002,0,Scene,2,Event_10206,邪恶的扩张,一名深渊法师正在对丘丘人进行怪异的仪式。消灭所有魔物，清除这股威胁。,消灭所有魔物,
10500,1,1002,0,Scene,2,Event_10500,临危受命,狂风之核在野外出现，威胁着周边区域的安全，前往将其消灭。,消灭狂风之核,
10502,1,1002,0,Scene,2,Event_10502,临危受命,遗迹守卫在野外游荡，威胁着周边区域的安全，前往将其消灭。,消灭遗迹守卫,
10503,1,1002,0,Scene,2,Event_10503,临危受命,遗迹守卫在野外游荡，威胁着周边区域的安全，前往将其消灭。,消灭遗迹守卫,
10504,1,1002,0,Scene,2,Event_10504,临危受命,狂风之核在野外出现，威胁着周边区域的安全，前往将其消灭。,消灭狂风之核,
10505,1,1002,0,Scene,2,Event_10505,临危受命,遗迹守卫在野外游荡，威胁着周边区域的安全，前往将其消灭。,消灭遗迹守卫,
10506,1,1002,0,Scene,2,Event_10506,临危受命,遗迹守卫在野外游荡，威胁着周边区域的安全，前往将其消灭。,消灭遗迹守卫,
10507,1,1002,0,Scene,2,Event_10507,临危受命,狂风之核在野外出现，威胁着周边区域的安全，前往将其消灭。,消灭狂风之核,
10300,1,1003,0,Scene,2,DUMMY_POS 3001 000276,攀高危险,丘丘人在野外修建了哨塔用于瞭望，快去将哨塔完全摧毁。,摧毁丘丘人哨塔,
10301,1,1003,0,Scene,2,Event_10301,攀高危险,丘丘人在野外修建了哨塔用于瞭望，快去将哨塔完全摧毁。,摧毁丘丘人哨塔,
10302,1,1003,0,Scene,2,Event_10302,攀高危险,丘丘人在野外修建了哨塔用于瞭望，快去将哨塔完全摧毁。,摧毁丘丘人哨塔,
10303,1,1003,0,Scene,2,Event_10303,攀高危险,丘丘人在野外修建了哨塔用于瞭望，快去将哨塔完全摧毁。,摧毁丘丘人哨塔,
