Id,CityId,PoolId,QuestId,Type,Rarity,CenterPosition,Title,Description,Target,
10100,1,1001,0,Scene,2,Event_10100,丘丘人的一小步,一群丘丘人在野外建立了營地，意在聚集起更多丘丘人。消滅所有魔物，清除這股威脅。,消滅所有魔物,
10101,1,1001,0,Scene,2,Event_10101,丘丘人的一小步,一群丘丘人在野外建立了營地，意在聚集起更多丘丘人。消滅所有魔物，清除這股威脅。,消滅所有魔物,
10102,1,1001,0,Scene,2,Event_10102,丘丘人的一小步,一群丘丘人在野外建立了營地，意在聚集起更多丘丘人。消滅所有魔物，清除這股威脅。,消滅所有魔物,
10103,1,1001,0,Scene,2,Event_10103,丘丘人的一小步,一群丘丘人在野外建立了營地，意在聚集起更多丘丘人。消滅所有魔物，清除這股威脅。,消滅所有魔物,
10104,1,1001,0,Scene,2,Event_10104,丘丘人的一小步,一群丘丘人在野外建立了營地，意在聚集起更多丘丘人。消滅所有魔物，清除這股威脅。,消滅所有魔物,
10106,1,1001,0,Scene,2,Event_10106,冰涼涼的大團危機！,一群冰史萊姆在野外出現，前往消滅它們，清除這股威脅。如果以「雷」屬性攻擊，也許會有奇效。,消滅所有魔物,
10107,1,1001,0,Scene,2,Event_10107,持盾的危機,一群持有木盾的丘丘人正在野外遊蕩。消滅它們，清除這股威脅。如果以「火」屬性攻擊，也許可以輕鬆摧毀木盾。,消滅所有魔物,
10200,1,1002,0,Scene,2,Event_10200,邪惡的擴張,一名深淵法師正在對丘丘人進行怪異的儀式。消滅所有魔物，清除這股威脅。,消滅所有魔物,
10201,1,1002,0,Scene,2,Event_10201,邪惡的擴張,一名深淵法師正在對丘丘人進行怪異的儀式。消滅所有魔物，清除這股威脅。,消滅所有魔物,
10202,1,1002,0,Scene,2,Event_10202,邪惡的擴張,一名深淵法師正在對丘丘人進行怪異的儀式。消滅所有魔物，清除這股威脅。,消滅所有魔物,
10203,1,1002,0,Scene,2,Event_10203,邪惡的擴張,一名深淵法師正在對丘丘人進行怪異的儀式。消滅所有魔物，清除這股威脅。,消滅所有魔物,
10204,1,1002,0,Scene,2,Event_10204,邪惡的擴張,一名深淵法師正在對丘丘人進行怪異的儀式。消滅所有魔物，清除這股威脅。,消滅所有魔物,
10205,1,1002,0,Scene,2,Event_10205,邪惡的擴張,一名深淵法師正在對丘丘人進行怪異的儀式。消滅所有魔物，清除這股威脅。,消滅所有魔物,
10206,1,1002,0,Scene,2,Event_10206,邪惡的擴張,一名深淵法師正在對丘丘人進行怪異的儀式。消滅所有魔物，清除這股威脅。,消滅所有魔物,
10500,1,1002,0,Scene,2,Event_10500,臨危受命,狂風之核在野外出現，威脅著周邊區域的安全，前往將其消滅。,消滅狂風之核,
10502,1,1002,0,Scene,2,Event_10502,臨危受命,遺蹟守衛在野外遊蕩，威脅著周邊區域的安全，前往將其消滅。,消滅遺蹟守衛,
10503,1,1002,0,Scene,2,Event_10503,臨危受命,遺蹟守衛在野外遊蕩，威脅著周邊區域的安全，前往將其消滅。,消滅遺蹟守衛,
10504,1,1002,0,Scene,2,Event_10504,臨危受命,狂風之核在野外出現，威脅著周邊區域的安全，前往將其消滅。,消滅狂風之核,
10505,1,1002,0,Scene,2,Event_10505,臨危受命,遺蹟守衛在野外遊蕩，威脅著周邊區域的安全，前往將其消滅。,消滅遺蹟守衛,
10506,1,1002,0,Scene,2,Event_10506,臨危受命,遺蹟守衛在野外遊蕩，威脅著周邊區域的安全，前往將其消滅。,消滅遺蹟守衛,
10507,1,1002,0,Scene,2,Event_10507,臨危受命,狂風之核在野外出現，威脅著周邊區域的安全，前往將其消滅。,消滅狂風之核,
10300,1,1003,0,Scene,2,DUMMY_POS 3001 000276,攀高危險,丘丘人在野外修建了用於瞭望的哨塔，快去將哨塔完全摧毀。,摧毀丘丘人哨塔,
10301,1,1003,0,Scene,2,Event_10301,攀高危險,丘丘人在野外修建了用於瞭望的哨塔，快去將哨塔完全摧毀。,摧毀丘丘人哨塔,
10302,1,1003,0,Scene,2,Event_10302,攀高危險,丘丘人在野外修建了用於瞭望的哨塔，快去將哨塔完全摧毀。,摧毀丘丘人哨塔,
10303,1,1003,0,Scene,2,Event_10303,攀高危險,丘丘人在野外修建了用於瞭望的哨塔，快去將哨塔完全摧毀。,摧毀丘丘人哨塔,
10304,1,1003,0,Scene,2,Event_10304,攀高危險,丘丘人在野外修建了用於瞭望的哨塔，快去將哨塔完全摧毀。,摧毀丘丘人哨塔,
10305,1,1003,0,Scene,2,Event_10305,攀高危險,丘丘人在野外修建了用於瞭望的哨塔，快去將哨塔完全摧毀。,摧毀丘丘人哨塔,
10306,1,1003,0,Scene,2,Event_10306,攀高危險,丘丘人在野外修建了用於瞭望的哨塔，快去將哨塔完全摧毀。,摧毀丘丘人哨塔,
10400,1,1003,0,Scene,2,DUMMY_POS 3001 300100163,圓滾滾的易爆物,丘丘人正在野外製作危險的炸藥桶，材料是…史萊姆？！快去消滅它們！,消滅所有魔物,
10401,1,1003,0,Scene,2,Event_10401,圓滾滾的易爆物,丘丘人正在野外製作危險的炸藥桶，材料是…史萊姆？！快去消滅它們！,消滅所有魔物,
10402,1,1003,0,Scene,2,Event_10402,圓滾滾的易爆物,丘丘人正在野外製作危險的炸藥桶，材料是…史萊姆？！快去消滅它們！,消滅所有魔物,
