Id,Name,
1,蒙德城主,
2,哥哥,
3,妹妹,
4,塔主,
5,僕人,
6,東北村長,
7,西北村長,
8,西南村長,
9,正南村長,
10,暉哥,
11,果醬,
12,汪汪1,
13,汪汪2,
14,汪汪3,
15,汪汪4,
21,衛兵,
22,衛兵,
23,衛兵,
24,衛兵,
25,路人,
26,路人,
30,補給兌換,
31,武器兌換,
32,防具兌換,
33,飾品兌換,
34,醬油1,
35,醬油2,
36,溫迪觀眾1,
37,溫迪觀眾2,
79,阿三,
80,困擾的尋寶者,
81,困擾的尋寶者,
82,困擾的尋寶者,
83,受傷的士兵,
84,受傷的士兵,
85,困擾的尋寶者,
86,困擾的尋寶者,
87,困擾的尋寶者,
88,困擾的尋寶者,
89,愛麗絲,
90,酒莊農夫,
91,酒莊農夫,
92,野炊的美食家,
93,任務測試npc,
94,奇怪的雕像,
95,任務測試npc,
101,芽衣,
102,溫迪測試,
103,蓋亞測試,
501,芭芭拉,
502,迪奧娜,
503,托馬,
504,早柚,
505,五郎,
506,北斗,
507,凝光,
508,凝光,
509,雲堇,
901,商店老闆01,
902,商店老闆02,
903,商店老闆03,
904,商店老闆04,
905,蒙德路人01,
906,蒙德路人02,
907,蒙德路人03,
908,蒙德路人04,
909,蒙德路人05,
910,蒙德路人06,
911,蒙德路人07,
912,蒙德路人08,
913,蒙德城門士兵01,
914,蒙德城門士兵02,
915,安東尼,
916,昆恩,
917,安娜,
918,貝雅特麗奇,
919,昆恩,
1001,溫迪,
1002,安柏,
1003,老闆,
1004,凱亞,
30057,凱亞,
1005,派蒙,
1006,琴,
30058,琴,
1007,麗莎,
30059,麗莎,
1008,芭芭拉,
30060,芭芭拉,
1009,迪盧克,
30061,迪盧克,
1010,風魔龍,
1011,雷澤,
30062,雷澤,
1012,香菱,
1013,神里綾華,
1014,凱亞,
1015,甘雨,
1016,刻晴,
1017,「女士」,
1018,阿貝多,
30056,阿貝多,
1019,砂糖,
1020,蘿莎莉亞,
1021,胡桃,
1022,戴因斯雷布,
1023,重雲,
1024,班尼特,
1025,空,
1026,熒,
1027,諾艾爾,
1028,班尼特,
1029,優菈,
1030,煙緋,
1031,北斗,
1032,楓原萬葉,
1033,托馬,
1034,八重神子,
1035,宵宮,
1036,雷電將軍,
1037,珊瑚宮心海,
1038,九條裟羅,
1039,五郎,
1040,早柚,
1041,重雲,
1042,辛焱,
1043,鍋巴,
1044,荒瀧一斗,
1045,申鶴,
1046,雲堇,
1101,路人甲,
1102,路人乙,
1103,路人丙,
1104,路人丁,
1105,蟋蟀裁判,
1106,飛行裁判,
1107,神秘商人,
1108,牧師,
1109,露西尼士官長,
1110,受傷的士兵,
1111,受傷的士兵,
1112,受傷的士兵,
1113,受傷的士兵,
1114,受傷的士兵,
1115,受傷的士兵,
1116,困惑的路人,
1117,史萊姆飼養員,
1118,苦惱的丘丘人,
1119,獲救的衛兵,
1120,對話測試,
1121,任務測試,
1122,隨機路人甲,
1123,隨機路人乙,
1124,隨機路人丙,
1125,隨機路人丁,
1130,潛入裁判,
1131,潛入AI1,
1132,潛入AI2,
1133,潛入AI3,
1134,潛入AI4,
1135,潛入AI5,
1136,潛入AI6,
1137,潛入AI7,
1138,潛入AI8,
1139,潛入AI9,
1140,潛入AI10,
1141,潛入AI11,
1142,潛入AI12,
1143,潛入AI13,
1144,潛入AI14,
1151,被困居民,
1160,綠色的傢伙,
1161,歌特琳德,
1162,奧特,
1163,邁爾斯,
1164,奧特,
1165,受傷的狼,
1166,跟蹤目標NPC,
1167,年長村民,
1168,憤怒村民,
1169,村民,
1170,村民,
1171,受驚村民,
1172,受傷村民,
1173,受傷村民,
1174,憤怒村民,
1175,憤怒村民,
1176,玻瑞亞斯,
1177,風龍,
1178,深淵法師,
1179,查爾斯,
1180,史萊姆飼養員,
1181,???,
1201,七天神像,
1202,七天神像,
1203,七天神像,
1204,七天神像,
1205,七天神像,
1206,七天神像,
1207,七天神像,
1208,七天神像,
1209,七天神像,
1210,賽琉斯,
1211,史丹利,
1212,傑克,
1213,薇爾,
1214,伊紮德,
1215,西風騎士,
1216,利文斯通博士,
1217,城門守衛,
1218,霍夫曼,
1219,審問,
1220,進階潛入裁判,
1221,偷襲AI1,
1222,偷襲AI2,
1223,偷襲AI3,
1224,偷襲AI4,
1225,偷襲AI5,
1226,偷襲AI6,
1227,偷襲AI7,
1228,偷襲AI8,
1229,偷襲AI9,
1230,偷襲AI10,
1231,偷襲AI11,
1232,偷襲AI12,
1233,偷襲AI13,
1234,???,
1235,紅色大門,
1236,紅色大門,
1237,紅色大門,
1238,黑色大門,
1239,黑色大門,
1240,西風騎士,
1241,琳,
1242,康納,
1243,派蒙,
1244,蒙德百貨訂貨板,
1245,貓尾酒館留言板,
1246,貓尾酒館海報,
1247,便條,
1248,求職招聘互助板,
1249,圖書館使用規範,
1250,便條,
1251,告示牌,
1252,便條,
1253,標示牌,
1254,標示牌,
1255,遺蹟的銘文,
1256,法拉,
1257,神奇的霍普金斯,
1258,杜拉夫,
