Item,Value,Tag1,Tag2,Tag3,Tag4,Tag5,
蘋果,1,AvatarExp,SkillBook,None,None,None,
日落果,1,AvatarExp,SkillBook,None,None,None,
蘑菇,1,AvatarExp,SkillBook,None,None,None,
甜甜花,1,AvatarExp,SkillBook,None,None,None,
胡蘿蔔,1,AvatarExp,SkillBook,None,None,None,
白蘿蔔,1,AvatarExp,SkillBook,None,None,None,
金魚草,1,AvatarExp,SkillBook,None,None,None,
薄荷,1,AvatarExp,SkillBook,None,None,None,
小麥,1,AvatarExp,SkillBook,None,None,None,
高麗菜,1,AvatarExp,SkillBook,None,None,None,
天原銀蓮,1,AvatarExp,SkillBook,None,None,None,
松果,1,AvatarExp,SkillBook,None,None,None,
蓮蓬,1,AvatarExp,SkillBook,None,None,None,
馬尾,1,AvatarExp,SkillBook,None,None,None,
樹莓,1,AvatarExp,SkillBook,None,None,None,
冰霧花花朵,1,AvatarExp,SkillBook,None,None,None,
烈焰花花蕊,1,AvatarExp,SkillBook,None,None,None,
電氣水晶,1,WeaponExp,AvatarPromote,None,None,None,
獸肉,1,Scoin,WeaponPromote,None,None,None,
鳥蛋,1,Scoin,WeaponPromote,None,None,None,
松茸,1,AvatarExp,SkillBook,None,None,None,
禽肉,1,Scoin,WeaponPromote,None,None,None,
蝴蝶翅膀,1,Scoin,WeaponPromote,None,None,None,
螃蟹,1,Scoin,WeaponPromote,None,None,None,
番茄,1,AvatarExp,SkillBook,None,None,None,
馬鈴薯,1,AvatarExp,SkillBook,None,None,None,
青蛙,1,Scoin,WeaponPromote,None,None,None,
發光髓,1,Scoin,WeaponPromote,None,None,None,
蜥蜴尾巴,1,Scoin,WeaponPromote,None,None,None,
魚肉,1,Scoin,WeaponPromote,None,None,None,
晶核,1,WeaponExp,AvatarPromote,None,None,None,
鰍鰍寶玉,1,WeaponExp,AvatarPromote,None,None,None,
竹筍,1,AvatarExp,SkillBook,None,None,None,
「冷鮮肉」,1,Scoin,WeaponPromote,None,None,None,
鉤鉤果,1,AvatarExp,SkillBook,None,None,None,
落落莓,1,AvatarExp,SkillBook,None,None,None,
塞西莉亞花,1,AvatarExp,SkillBook,None,None,None,
風車菊,1,AvatarExp,SkillBook,None,None,None,
慕風蘑菇,1,AvatarExp,SkillBook,None,None,None,
小燈草,1,AvatarExp,SkillBook,None,None,None,
嘟嘟蓮,1,AvatarExp,SkillBook,None,None,None,
蒲公英籽,1,AvatarExp,SkillBook,None,None,None,
絕雲椒椒,1,AvatarExp,SkillBook,None,None,None,
夜泊石,1,WeaponExp,AvatarPromote,None,None,None,
霓裳花,1,AvatarExp,SkillBook,None,None,None,
琉璃百合,1,AvatarExp,SkillBook,None,None,None,
清心,1,AvatarExp,SkillBook,None,None,None,
星螺,1,Scoin,WeaponPromote,None,None,None,
琉璃袋,1,AvatarExp,SkillBook,None,None,None,
石珀,1,WeaponExp,AvatarPromote,None,None,None,
鐵塊,1,WeaponExp,AvatarPromote,None,None,None,
白鐵塊,1,WeaponExp,AvatarPromote,None,None,None,
水晶塊,1,WeaponExp,AvatarPromote,None,None,None,
魔晶塊,1,WeaponExp,AvatarPromote,None,None,None,
星銀礦石,1,WeaponExp,AvatarPromote,None,None,None,
紫晶塊,1,WeaponExp,AvatarPromote,None,None,None,
鬼兜蟲,1,Scoin,WeaponPromote,None,None,None,
緋櫻繡球,1,AvatarExp,SkillBook,None,None,None,
晶化骨髓,1,WeaponExp,AvatarPromote,None,None,None,
血斛,1,AvatarExp,SkillBook,None,None,None,
鳴草,1,AvatarExp,SkillBook,None,None,None,
海靈芝,1,AvatarExp,SkillBook,None,None,None,
珊瑚真珠,1,WeaponExp,AvatarPromote,None,None,None,
天雲草實,1,AvatarExp,SkillBook,None,None,None,
幽燈蕈,1,AvatarExp,SkillBook,None,None,None,
海草,1,AvatarExp,SkillBook,None,None,None,
堇瓜,1,AvatarExp,SkillBook,None,None,None,
星蕈,1,AvatarExp,SkillBook,None,None,None,
樹王聖體菇,1,AvatarExp,SkillBook,None,None,None,
帕蒂沙蘭,1,AvatarExp,SkillBook,None,None,None,
月蓮,1,AvatarExp,SkillBook,None,None,None,
香辛果,1,AvatarExp,SkillBook,None,None,None,
劫波蓮,1,AvatarExp,SkillBook,None,None,None,
墩墩桃,1,AvatarExp,SkillBook,None,None,None,
須彌薔薇,1,AvatarExp,SkillBook,None,None,None,
赤念果,1,AvatarExp,SkillBook,None,None,None,
棗椰,1,AvatarExp,SkillBook,None,None,None,
聖金蟲,1,Scoin,WeaponPromote,None,None,None,
活化的星蕈,1,AvatarExp,SkillBook,None,None,None,
枯焦的星蕈,1,AvatarExp,SkillBook,None,None,None,
毗波耶,1,AvatarExp,SkillBook,None,None,None,
史萊姆凝液,1,Scoin,WeaponPromote,None,None,None,
史萊姆清,2,Scoin,WeaponPromote,None,None,None,
史萊姆原漿,4,Scoin,WeaponPromote,None,None,None,
破損的面具,1,Scoin,WeaponPromote,None,None,None,
汙穢的面具,2,Scoin,WeaponPromote,None,None,None,
不祥的面具,4,Scoin,WeaponPromote,None,None,None,
導能繪卷,1,AvatarExp,SkillBook,None,None,None,
封魔繪卷,2,AvatarExp,SkillBook,None,None,None,
禁咒繪卷,4,AvatarExp,SkillBook,None,None,None,
牢固的箭鏃,1,WeaponExp,AvatarPromote,None,None,None,
銳利的箭鏃,2,WeaponExp,AvatarPromote,None,None,None,
歷戰的箭鏃,4,WeaponExp,AvatarPromote,None,None,None,
沉重號角,1,Scoin,WeaponPromote,None,None,None,
黑銅號角,2,Scoin,WeaponPromote,None,None,None,
黑晶號角,4,Scoin,WeaponPromote,None,None,None,
地脈的舊枝,1,AvatarExp,SkillBook,None,None,None,
地脈的枯葉,2,AvatarExp,SkillBook,None,None,None,
地脈的新芽,4,AvatarExp,SkillBook,None,None,None,
混沌裝置,1,Scoin,WeaponPromote,None,None,None,
混沌迴路,2,Scoin,WeaponPromote,None,None,None,
混沌爐心,4,Scoin,WeaponPromote,None,None,None,
霧虛花粉,1,AvatarExp,SkillBook,None,None,None,
霧虛草囊,2,AvatarExp,SkillBook,None,None,None,
霧虛燈芯,4,AvatarExp,SkillBook,None,None,None,
獵兵祭刀,1,WeaponExp,AvatarPromote,None,None,None,
特工祭刀,2,WeaponExp,AvatarPromote,None,None,None,
督察長祭刀,4,WeaponExp,AvatarPromote,None,None,None,
新兵的徽記,1,Scoin,WeaponPromote,None,None,None,
士官的徽記,2,Scoin,WeaponPromote,None,None,None,
尉官的徽記,4,Scoin,WeaponPromote,None,None,None,
尋寶鴉印,1,Scoin,WeaponPromote,None,None,None,
藏銀鴉印,2,Scoin,WeaponPromote,None,None,None,
攫金鴉印,4,Scoin,WeaponPromote,None,None,None,
騙騙花蜜,1,AvatarExp,SkillBook,None,None,None,
微光花蜜,2,AvatarExp,SkillBook,None,None,None,
原素花蜜,4,AvatarExp,SkillBook,None,None,None,
脆弱的骨片,1,Scoin,WeaponPromote,None,None,None,
結實的骨片,2,Scoin,WeaponPromote,None,None,None,
石化的骨片,4,Scoin,WeaponPromote,None,None,None,
破舊的刀鐔,1,Scoin,WeaponPromote,None,None,None,
影打刀鐔,2,Scoin,WeaponPromote,None,None,None,
名刀鐔,4,Scoin,WeaponPromote,None,None,None,
混沌機關,1,Scoin,WeaponPromote,None,None,None,
混沌樞紐,2,Scoin,WeaponPromote,None,None,None,
混沌真眼,4,Scoin,WeaponPromote,None,None,None,
黯淡稜鏡,1,Scoin,WeaponPromote,None,None,None,
水晶稜鏡,2,Scoin,WeaponPromote,None,None,None,
偏光稜鏡,4,Scoin,WeaponPromote,None,None,None,
浮游乾核,1,Scoin,WeaponPromote,None,None,None,
浮游幽核,2,Scoin,WeaponPromote,None,None,None,
浮游晶化核,4,Scoin,WeaponPromote,None,None,None,
隱獸指爪,1,Scoin,WeaponPromote,None,None,None,
隱獸利爪,2,Scoin,WeaponPromote,None,None,None,
隱獸鬼爪,4,Scoin,WeaponPromote,None,None,None,
蕈獸孢子,1,AvatarExp,SkillBook,None,None,None,
螢光孢粉,2,AvatarExp,SkillBook,None,None,None,
孢囊晶塵,4,AvatarExp,SkillBook,None,None,None,
失活菌核,1,AvatarExp,SkillBook,None,None,None,
休眠菌核,2,AvatarExp,SkillBook,None,None,None,
茁壯菌核,4,AvatarExp,SkillBook,None,None,None,
褪色紅綢,1,Scoin,WeaponPromote,None,None,None,
鑲邊紅綢,2,Scoin,WeaponPromote,None,None,None,
織金紅綢,4,Scoin,WeaponPromote,None,None,None,
混沌容器,1,Scoin,WeaponPromote,None,None,None,
混沌模組,2,Scoin,WeaponPromote,None,None,None,
混沌錨栓,4,Scoin,WeaponPromote,None,None,None,
破缺稜晶,1,Scoin,WeaponPromote,None,None,None,
混濁稜晶,2,Scoin,WeaponPromote,None,None,None,
輝光稜晶,4,Scoin,WeaponPromote,None,None,None,
晦暗刻像,1,Scoin,WeaponPromote,None,None,None,
夤夜刻像,2,Scoin,WeaponPromote,None,None,None,
幽邃刻像,4,Scoin,WeaponPromote,None,None,None,
