Id,CardId,ItemId,Name,
1101,1,330000,Mondhüterin – Ganyu,
1102,2,330023,Putzige Mischung – Diona,
1103,3,330001,Eiskalter Schwertkämpfer – Kaeya,
1104,4,330002,Spuren im schmelzenden Schnee – Chongyun,
1105,5,330003,Eisnebelreiher – Kamisato Ayaka,
1106,6,330028,Wirbeltanz der Gischt – Eula,
1107,7,330048,Einsame Abgeschiedenheit – Shenhe,
1108,8,330052,Eisige Nacht der Wiedergänger – Qiqi,
1201,9,330025,Leuchtender Star – Barbara,
1202,10,330004,Guhua und Feiyun – Xingqiu,
1203,11,330005,Abbildung der Sterne im Wasser – Mona,
1204,12,330029,„Der Graf“ – Tartaglia,
1205,13,330030,Perle der Weisheit – Sangonomiya Kokomi,
1206,14,330031,Säule der Stärke – Kamisato Ayato,
1207,15,330049,Gelübde beim treibenden Gold – Candace,
1208,16,330057,Lotoslicht auf der Tanzbühne – Nilou,
1301,17,330006,Dunkle Seite der Dämmerung – Diluc,
1302,18,330007,Küchenfee des Volkes – Xiangling,
1303,19,330008,Prüfling des Schicksals – Bennett,
1304,20,330009,Kundschafterin – Amber,
1305,21,330010,Ausgelassene Flammen – Yoimiya,
1306,22,330032,Fliehende Sonne – Klee,
1307,23,330033,Pflaumenduft bei Tauwetter – Hu Tao,
1308,24,330050,Naive Weisheit – Yanfei,
1309,25,330055,Feuermähne – Dehya,
1401,26,330011,Prinzessin der Verurteilung! – Fischl,
1402,27,330012,Wolfsjunge – Razor,
1403,28,330013,Donnerwetter – Keqing,
1404,29,330024,Richter über Geheimnisse – Cyno,
1405,30,330034,Ungekrönte Königin der Meere – Beidou,
1406,31,330035,Krähenfeder-Kaburaya – Kujou Sara,
1407,32,330036,Utopische Gefilde – Shougun Raiden,
1408,33,330037,Verhöhnung der Sterblichen – Yae Miko,
1409,34,330053,Rosenhexe – Lisa,
1410,35,330058,Schatz im Schlummerland – Dori,
1501,36,330014,Harmlos und süß – Saccharose,
1502,37,330015,Löwenzahnritter – Jean,
1503,38,330038,Wandernder Barde – Venti,
1504,39,330039,Schützender Yaksha – Xiao,
1505,40,330051,Tiefrote Blätter jagen wilde Wellen – Kaedehara Kazuha,
1506,41,330054,Bis in die Ewigkeit driften – Wanderer,
1601,42,330016,Verdeckter Mond – Ningguang,
1602,43,330017,Knospe des Rittertums – Noelle,
1603,44,330040,Besucher bei den Sterblichen – Zhongli,
1604,45,330041,Kreideprinz – Albedo,
1605,46,330042,Held von Hanamizaka – Arataki Itto,
1701,47,330018,Taufrisches Keimblatt – Collei,
1702,48,330043,Wanderer im Grünen – Tighnari,
1703,49,330044,Natürliche Reinheit – Nahida,
1704,50,330056,Knospe der Adepten – Yaoyao,
1705,51,330059,Jenseits der Sterblichkeit – Baizhu,
2101,52,330045,Herrin des Nebelgrases – Kryo-Cicin-Zauberin,
2201,53,330019,Herrscherin des reinen Wassers – Rhodeia,
2202,54,330026,Jungfrau aus Snezhnaya – Spiegelgesandte,
2301,55,330020,Klinge der Abrechnung – Schuldeneintreiber,
2302,56,330046,Abgrundsänger – Abgrundflammen,
2401,57,330047,Elektro-Hypostase,
2501,58,330021,Geniale Maschine – Maguu Kenki,
2601,59,330022,Gipfelstürmer – Steinhaut-Lawachurl,
2701,60,330027,Pilzkönig im tiefen Wald – Gefiederte Pilzbestie,
211011,61,330500,Ganyu – Eintracht,
211021,62,330523,Diona – Eiskalte Pfoten,
211031,63,330501,Kaeya – Grausames Schwert,
211041,64,330502,Chongyun – Atemtechnik,
211051,65,330503,Kamisato Ayaka – Kanten-Senmyou-Segen,
211061,66,330528,Eula – Sprudelnde Kampflust,
211071,67,330540,Shenhe – Mystische Verlassenheit,
211081,68,330552,Qiqi – Auferstehung,
212011,69,330525,Barbara – Glanzvolle Jahreszeit,
212021,70,330504,Xingqiu – Nachgeschmack,
212031,71,330505,Mona – Prophezeiung des Untergangs,
212041,72,330541,Tartaglia – Sprudelndes Wasser,
212051,73,330529,Sangonomiya Kokomi – Tamanooyas Kästchen,
212061,74,330538,Kamisato Ayato – Kyouka Fuushi,
212071,75,330549,Candace – Überlaufende Abendflut,
212081,76,330557,Nilou – Blumenregen des Sternenhimmels,
213011,77,330506,Diluc – Fließende Flamme,
213021,78,330507,Xiangling – Kreuzfeuer,
213031,79,330508,Bennett – Lust auf Abenteuer,
213041,80,330509,Amber – Manuelle Explosion,
213051,81,330510,Yoimiya – Naganohara-Meteorstrom,
213061,82,330530,Klee – Explosives Geschenk,
213071,83,330542,Hu Tao – Feuerrote Wangen,
213081,84,330550,Yanfei – Endgültige Auslegung vorbehalten,
213091,85,330554,Dehya – Erhabenheit der Aufrichtigkeit,
214011,86,330511,Fischl – Sterneverschlinger,
214021,87,330512,Razor – Erwachen,
214031,88,330513,Keqing – Donnernde Strafe,
214041,89,330524,Cyno – Urteil der Federn,
214051,90,330531,Beidou – Donnern am Firmament,
214061,91,330537,Kujou Sara – Sünde des Stolzes,
214071,92,330543,Shougun Raiden – Unzählige Wünsche,
214081,93,330544,Yae Miko – Heiliger Schatten des Schreins,
214091,94,330553,Lisa – Pulsierende Hexe,
