Item,Value,Tag1,Tag2,Tag3,Tag4,Tag5,
Apfel,1,AvatarExp,SkillBook,None,None,None,
Dämmerfrucht,1,AvatarExp,SkillBook,None,None,None,
Champignon,1,AvatarExp,SkillBook,None,None,None,
Zuckerblume,1,AvatarExp,SkillBook,None,None,None,
Möhre,1,AvatarExp,SkillBook,None,None,None,
Rettich,1,AvatarExp,SkillBook,None,None,None,
Goldfischkraut,1,AvatarExp,SkillBook,None,None,None,
Minze,1,AvatarExp,SkillBook,None,None,None,
Weizen,1,AvatarExp,SkillBook,None,None,None,
Weißkohl,1,AvatarExp,SkillBook,None,None,None,
Himmelsanemone,1,AvatarExp,SkillBook,None,None,None,
Kiefernzapfen,1,AvatarExp,SkillBook,None,None,None,
Lotos,1,AvatarExp,SkillBook,None,None,None,
Pferdeschwanz,1,AvatarExp,SkillBook,None,None,None,
Beere,1,AvatarExp,SkillBook,None,None,None,
Eisnebelblumenblüte,1,AvatarExp,SkillBook,None,None,None,
Flammenblumenstaubblatt,1,AvatarExp,SkillBook,None,None,None,
Elektrisierter Kristall,1,WeaponExp,AvatarPromote,None,None,None,
Rohes Fleisch,1,Scoin,WeaponPromote,None,None,None,
Vogelei,1,Scoin,WeaponPromote,None,None,None,
Matsutake,1,AvatarExp,SkillBook,None,None,None,
Rohes Geflügel,1,Scoin,WeaponPromote,None,None,None,
Schmetterlingsflügel,1,Scoin,WeaponPromote,None,None,None,
Krebs,1,Scoin,WeaponPromote,None,None,None,
Tomate,1,AvatarExp,SkillBook,None,None,None,
Kartoffel,1,AvatarExp,SkillBook,None,None,None,
Frosch,1,Scoin,WeaponPromote,None,None,None,
Leuchtmark,1,Scoin,WeaponPromote,None,None,None,
Echsenschwanz,1,Scoin,WeaponPromote,None,None,None,
Fisch,1,Scoin,WeaponPromote,None,None,None,
Kristallkern,1,WeaponExp,AvatarPromote,None,None,None,
Lurchperle,1,WeaponExp,AvatarPromote,None,None,None,
Bambusspross,1,AvatarExp,SkillBook,None,None,None,
„Kaltes Gourmetfleisch“,1,Scoin,WeaponPromote,None,None,None,
Wolfshaken,1,AvatarExp,SkillBook,None,None,None,
Valbeere,1,AvatarExp,SkillBook,None,None,None,
Cecilia,1,AvatarExp,SkillBook,None,None,None,
