Id,CityId,PoolId,QuestId,Type,Rarity,CenterPosition,Title,Description,Target,
10100,1,1001,0,Scene,2,Event_10100,A Small Step for Hilichurls,Hilichurls are building a camp in the wilderness to gather their kin. Defeat them to put an end to this threat.,Defeat all opponents,
10101,1,1001,0,Scene,2,Event_10101,A Small Step for Hilichurls,Hilichurls are building a camp in the wilderness to gather their kin. Defeat them to put an end to this threat.,Defeat all opponents,
10102,1,1001,0,Scene,2,Event_10102,A Small Step for Hilichurls,Hilichurls are building a camp in the wilderness to gather their kin. Defeat them to put an end to this threat.,Defeat all opponents,
10103,1,1001,0,Scene,2,Event_10103,A Small Step for Hilichurls,Hilichurls are building a camp in the wilderness to gather their kin. Defeat them to put an end to this threat.,Defeat all opponents,
10104,1,1001,0,Scene,2,Event_10104,A Small Step for Hilichurls,Hilichurls are building a camp in the wilderness to gather their kin. Defeat them to put an end to this threat.,Defeat all opponents,
10106,1,1001,0,Scene,2,Event_10106,Big Ice-Cold Crisis!,A group of Cryo Slimes appeared in the wilderness. Defeat them to put an end to this threat. Electro attacks might work wonders against them.,Defeat all opponents,
10107,1,1001,0,Scene,2,Event_10107,Crisis of Shields,A group of hilichurls with shields are wandering in the wilderness. Defeat them and put an end to this threat. Pyro attacks should be able to easily burn up their shields.,Defeat all opponents,
10200,1,1002,0,Scene,2,Event_10200,Spreading Evil,An Abyss Mage has been seen performing a ritual on the hilichurls. Defeat them to put an end to this threat.,Defeat all opponents,
10201,1,1002,0,Scene,2,Event_10201,Spreading Evil,An Abyss Mage has been seen performing a ritual on the hilichurls. Defeat them to put an end to this threat.,Defeat all opponents,
10202,1,1002,0,Scene,2,Event_10202,Spreading Evil,An Abyss Mage has been seen performing a ritual on the hilichurls. Defeat them to put an end to this threat.,Defeat all opponents,
10203,1,1002,0,Scene,2,Event_10203,Spreading Evil,An Abyss Mage has been seen performing a ritual on the hilichurls. Defeat them to put an end to this threat.,Defeat all opponents,
10204,1,1002,0,Scene,2,Event_10204,Spreading Evil,An Abyss Mage has been seen performing a ritual on the hilichurls. Defeat them to put an end to this threat.,Defeat all opponents,
10205,1,1002,0,Scene,2,Event_10205,Spreading Evil,An Abyss Mage has been seen performing a ritual on the hilichurls. Defeat them to put an end to this threat.,Defeat all opponents,
10206,1,1002,0,Scene,2,Event_10206,Spreading Evil,An Abyss Mage has been seen performing a ritual on the hilichurls. Defeat them to put an end to this threat.,Defeat all opponents,
10500,1,1002,0,Scene,2,Event_10500,Emergency,An Eye of the Storm has been sighted in the wilderness, threatening the safety of the peripheral areas. Defeat it to put an end to this threat.,Defeat the Eye of the Storm,
10502,1,1002,0,Scene,2,Event_10502,Emergency,A Ruin Guard has been sighted wandering the wilderness, threatening the safety of the surrounding area. Defeat it to put an end to this threat.,Defeat Ruin Guards,
10503,1,1002,0,Scene,2,Event_10503,Emergency,A Ruin Guard has been sighted wandering the wilderness, threatening the safety of the surrounding area. Defeat it to put an end to this threat.,Defeat Ruin Guards,
10504,1,1002,0,Scene,2,Event_10504,Emergency,An Eye of the Storm has been sighted in the wilderness, threatening the safety of the peripheral areas. Defeat it to put an end to this threat.,Defeat the Eye of the Storm,
10505,1,1002,0,Scene,2,Event_10505,Emergency,A Ruin Guard has been sighted wandering the wilderness, threatening the safety of the surrounding area. Defeat it to put an end to this threat.,Defeat Ruin Guards,
10506,1,1002,0,Scene,2,Event_10506,Emergency,A Ruin Guard has been sighted wandering the wilderness, threatening the safety of the surrounding area. Defeat it to put an end to this threat.,Defeat Ruin Guards,
10507,1,1002,0,Scene,2,Event_10507,Emergency,An Eye of the Storm has been sighted in the wilderness, threatening the safety of the peripheral areas. Defeat it to put an end to this threat.,Defeat the Eye of the Storm,
10300,1,1003,0,Scene,2,DUMMY_POS 3001 000276,Increasing Danger,Hilichurls are building towers in the wilderness. Destroy them quickly.,Destroy the hilichurl towers,
10301,1,1003,0,Scene,2,Event_10301,Increasing Danger,Hilichurls are building towers in the wilderness. Destroy them quickly.,Destroy the hilichurl towers,
10302,1,1003,0,Scene,2,Event_10302,Increasing Danger,Hilichurls are building towers in the wilderness. Destroy them quickly.,Destroy the hilichurl towers,
10303,1,1003,0,Scene,2,Event_10303,Increasing Danger,Hilichurls are building towers in the wilderness. Destroy them quickly.,Destroy the hilichurl towers,
10304,1,1003,0,Scene,2,Event_10304,Increasing Danger,Hilichurls are building towers in the wilderness. Destroy them quickly.,Destroy the hilichurl towers,
10305,1,1003,0,Scene,2,Event_10305,Increasing Danger,Hilichurls are building towers in the wilderness. Destroy them quickly.,Destroy the hilichurl towers,
10306,1,1003,0,Scene,2,Event_10306,Increasing Danger,Hilichurls are building towers in the wilderness. Destroy them quickly.,Destroy the hilichurl towers,
10400,1,1003,0,Scene,2,DUMMY_POS 3001 300100163,Pudgy Pyrotechnicians,Hilichurls are manufacturing exploding barrels in the wilderness. Stop them!,Defeat all opponents,
10401,1,1003,0,Scene,2,Event_10401,Pudgy Pyrotechnicians,Hilichurls are manufacturing exploding barrels in the wilderness. Stop them!,Defeat all opponents,
10402,1,1003,0,Scene,2,Event_10402,Pudgy Pyrotechnicians,Hilichurls are manufacturing exploding barrels in the wilderness. Stop them!,Defeat all opponents,
10403,1,1003,0,Scene,2,Event_10403,Pudgy Pyrotechnicians,Hilichurls are manufacturing exploding barrels in the wilderness. Stop them!,Defeat all opponents,
10404,1,1003,0,Scene,2,Event_10404,Pudgy Pyrotechnicians,Hilichurls are manufacturing exploding barrels in the wilderness. Stop them!,Defeat all opponents,
10405,1,1003,0,Scene,2,Event_10405,Pudgy Pyrotechnicians,Hilichurls are manufacturing exploding barrels in the wilderness. Stop them!,Defeat all opponents,
10700,1,1003,0,Scene,2,Event_10700,Dangerous Haul,The hilichurls are escorting a Slime Balloon that is loaded with dangerous cargo. Destroy the hilichurls' Slime Balloon and stop this menace.,Sabotage the slime balloon,
10701,1,1003,0,Scene,2,Event_10701,Dangerous Haul,The hilichurls are escorting a Slime Balloon that is loaded with dangerous cargo. Destroy the hilichurls' Slime Balloon and stop this menace.,Sabotage the slime balloon,
10702,1,1003,0,Scene,2,Event_10702,Dangerous Haul,The hilichurls are escorting a Slime Balloon that is loaded with dangerous cargo. Destroy the hilichurls' Slime Balloon and stop this menace.,Sabotage the slime balloon,
10800,1,1002,0,Scene,2,Event_10800,Full Speed Ahead,Reach the destination within the time limit. Defeating opponents will extend your remaining time slightly.,Reach the destination within the time limit,
10801,1,1002,0,Scene,2,Event_10801,Full Speed Ahead,Reach the destination within the time limit. Defeating opponents will extend your remaining time slightly.,Reach the destination within the time limit,
10900,1,1001,0,Scene,2,Event_10900,Safe Conduct,A hot air balloon carrying cargo seems to have been targeted by monsters. Stop the monsters from seizing the cargo and escort the hot air balloon safely to its destination.,Escort the transport balloon safely to its destination,
11000,1,1003,0,Scene,2,Event_11000,Icy Issues,Kaboom! Hilichurls have ignited their Exploding Barrels... but why are they this cold? Foil their dangerous scheme, and fast!,Defeat all opponents,
11001,1,1003,0,Scene,2,Event_11001,Icy Issues,Kaboom! Hilichurls have ignited their Exploding Barrels... but why are they this cold? Foil their dangerous scheme, and fast!,Defeat all opponents,
11100,1,1002,0,Scene,2,Event_11100,Emergency,A Frostarm Lawachurl has been sighted in the wild, threatening the safety of the surrounding area. Defeat it to put an end to this threat.,Defeat the Frostarm Lawachurl,
11200,1,1002,0,Scene,2,Event_11200,Full Speed Ahead,Reach the destination within the time limit. Defeating opponents will extend your remaining time slightly.,Reach the destination within the time limit,
11300,1,1001,0,Scene,2,Event_11300,Impregnable Defense,Defeat all opponents and protect the Ley Line Monolith.,Complete the challenge by protecting the Ley Line Monolith,
11301,1,1001,0,Scene,2,Event_11301,Impregnable Defense,Defeat all opponents and protect the Ley Line Monolith.,Complete the challenge by protecting the Ley Line Monolith,
11400,1,1001,0,Scene,2,Event_11400,"For the Harbingers!","For the Harbingers..." The Fatui are gathering to whisper and plot some nefarious scheme. They must not be allowed to run amok any longer!,Defeat all opponents,
11401,1,1001,0,Scene,2,Event_11401,"For the Harbingers!","For the Harbingers..." The Fatui are gathering to whisper and plot some nefarious scheme. They must not be allowed to run amok any longer!,Defeat all opponents,
20500,1,2003,2000101,Quest,2,EventTest01,Blocked?,A group of hilichurls took advantage of a blocked road to attack Quinn. Go help him.,Save Quinn,
20501,1,2003,2001101,Quest,2,Event_20501,Blocked?,A group of hilichurls took advantage of a blocked road to attack Anthony. Go help him.,Save Anthony,
20502,1,2003,2001201,Quest,2,Event_20502,Blocked?,A group of hilichurls took advantage of a blocked road to attack Myrana. Go help her.,Save Myrana,
20503,1,2003,2001301,Quest,2,Event_20503,Blocked?,A group of hilichurls took advantage of a blocked road to attack Jack. Go help him.,Save Jack,
20400,1,2003,2000501,Quest,2,Q20005NPC,Lost Key,Wyatt is looking for a key he has lost.,Help Wyatt find his key,
20401,1,2003,2002501,Quest,2,Q20025NPC,Lost Key,Wyatt is looking for a key he has lost.,Help Wyatt find his key,
20402,1,2003,2003501,Quest,2,Q20025NPC,Lost Key,Wyatt is looking for a key he has lost.,Help Wyatt find his key,
20403,1,2003,2001901,Quest,2,Q20005NPC,Lost Key,Wyatt is looking for a key he has lost.,Help Wyatt find his key,
20300,1,2003,2000601,Quest,2,Event102,Food Delivery,Help Sara deliver food to her customer.,Deliver the food to Orlean,
20301,1,2003,2001601,Quest,2,Event20301,Food Delivery,Help Sara deliver food to her customer.,Deliver the food to the customer,
20302,1,2003,2002601,Quest,2,Event20302,Food Delivery,Help Sara deliver food to her customer.,Deliver the food to Draff,
20100,1,2003,2000709,Quest,2,Q20007NPC,Urgent Repairs,Allan's cart was damaged by monsters, gather materials to help him with the repairs.,Help Allan repair his cart,
20101,1,2003,2001709,Quest,2,Q20017NPC,Urgent Repairs,Farrah's cart was damaged by monsters, gather materials to help him with the repairs.,Help Farrah repair his cart,
20102,1,2003,2001809,Quest,2,Q20018NPC,Urgent Repairs,Magar's cart was damaged by monsters, gather materials to help him with the repairs.,Help Magar repair his cart,
20200,1,2003,2000801,Quest,1,Event_20200,Big Pudgy Problem!,Slimes suddenly appeared on the docks of Mondstadt. Put an end to the mess they created by getting rid of them.,Defeat the slimes,
20201,1,2003,2002701,Quest,2,Event_20201,Big Pudgy Problem!,Slimes suddenly appeared at Dawn Winery. Put an end to the mess they created by getting rid of them.,Defeat the slimes,
20202,1,2003,2002801,Quest,2,Event_20202,Big Pudgy Problem!,Slimes suddenly appeared in Springvale. Put an end to the mess they created by getting rid of them.,Defeat the slimes,
