Id,CardId,ItemId,Name,
1101,1,330000,"Plenilune Gaze" Ganyu,
1102,2,330023,"Kätzlein Cocktail" Diona,
1103,3,330001,"Frostwind Swordsman" Kaeya,
1104,4,330002,"Frozen Ardor" Chongyun,
1105,5,330003,"Frostflake Heron" Kamisato Ayaka,
1106,6,330028,"Dance of the Shimmering Wave" Eula,
1107,7,330048,"Lonesome Transcendence" Shenhe,
1108,8,330052,"Icy Resurrection" Qiqi,
1201,9,330025,"Shining Idol" Barbara,
1202,10,330004,"Juvenile Galant" Xingqiu,
1203,11,330005,"Astral Reflection" Mona,
1204,12,330029,"Childe" Tartaglia,
1205,13,330030,"Pearl of Wisdom" Sangonomiya Kokomi,
1206,14,330031,"Pillar of Fortitude" Kamisato Ayato,
1207,15,330049,Golden Vow: Candace,
1208,16,330057,"Dance of Lotuslight" Nilou,
1301,17,330006,"Dark Side of Dawn" Diluc,
1302,18,330007,"Exquisite Delicacy" Xiangling,
1303,19,330008,"Trial by Fire" Bennett,
1304,20,330009,"Outrider" Amber,
1305,21,330010,"Frolicking Flames" Yoimiya,
1306,22,330032,"Fleeing Sunlight" Klee,
1307,23,330033,"Fragrance in Thaw" Hu Tao,
1308,24,330050,Wise Innocence: Yanfei,
1309,25,330055,"Flame-Mane" Dehya,
1401,26,330011,"Fischl, Prinzessin der Verurteilung!" Fischl,
1402,27,330012,"Wolf Boy" Razor,
1403,28,330013,"Driving Thunder" Keqing,
1404,29,330024,"Judicator of Secrets" Cyno,
1405,30,330034,"Uncrowned Lord of the Ocean" Beidou,
1406,31,330035,"Crowfeather Kaburaya" Kujou Sara,
1407,32,330036,"Plane of Euthymia" Raiden Shogun,
1408,33,330037,"Astute Amusement" Yae Miko,
1409,34,330053,"Witch of Purple Rose" Lisa,
1410,35,330058,"Treasure of Dream Garden" Dori,
1501,36,330014,"Harmless Sweetie" Sucrose,
1502,37,330015,"Dandelion Knight" Jean,
1503,38,330038,"Windborne Bard" Venti,
1504,39,330039,"Vigilant Yaksha" Xiao,
1505,40,330051,Scarlet Leaves Pursue Wild Waves: Kaedehara Kazuha,
1506,41,330054,"Eons Adrift" Wanderer,
1601,42,330016,"Eclipsing Star" Ningguang,
1602,43,330017,"Chivalric Blossom" Noelle,
1603,44,330040,"Vago Mundo" Zhongli,
1604,45,330041,"Kreideprinz" Albedo,
1605,46,330042,"Hanamizaka Heroics" Arataki Itto,
1701,47,330018,"Sprout of Rebirth" Collei,
1702,48,330043,"Verdant Strider" Tighnari,
1703,49,330044,"Physic of Purity" Nahida,
1704,50,330056,"Burgeoning Grace" Yaoyao,
1705,51,330059,"Beyond Mortality" Baizhu,
2101,52,330045,"Cicin of the Hollow Mist" Cryo Cicin Mage,
2201,53,330019,"Lady of Clear Waters" Rhodeia,
2202,54,330026,"Snezhnayan Maiden" Mirror Envoy,
2301,55,330020,"Blade of Settlement" Agent,
2302,56,330046,Abyss Lector: Fathomless Flames,
2401,57,330047,Electro Hypostasis,
2501,58,330021,"Ingenious Machine" Maguu Kenki,
2601,59,330022,"Vale-Crosser" Stonehide Lawachurl,
2701,60,330027,"Lord of Fungi" Jadeplume Terrorshroom,
211011,61,330500,Ganyu: Undivided Heart,
211021,62,330523,Diona: Shaken, Not Purred,
211031,63,330501,Kaeya: Cold-Blooded Strike,
211041,64,330502,Chongyun: Steady Breathing,
211051,65,330503,Kamisato Ayaka: Kanten Senmyou Blessing,
211061,66,330528,Eula: Wellspring of War-Lust,
211071,67,330540,Shenhe: Mystical Abandon,
211081,68,330552,Qiqi: Rite of Resurrection,
212011,69,330525,Barbara: Glorious Season,
212021,70,330504,Xingqiu: The Scent Remained,
212031,71,330505,Mona: Prophecy of Submersion,
212041,72,330541,Tartaglia: Hydrospout,
212051,73,330529,Sangonomiya Kokomi: Tamakushi Casket,
212061,74,330538,Kamisato Ayato: Kyouka Fuushi,
212071,75,330549,Candace: The Overflow,
212081,76,330557,"The Starry Skies Their Flowers Rain" Nilou,
213011,77,330506,Diluc: Flowing Flame,
213021,78,330507,Xiangling: Crossfire,
213031,79,330508,Bennett: Grand Expectation,
213041,80,330509,Amber: Bunny Triggered,
213051,81,330510,Yoimiya: Naganohara Meteor Swarm,
213061,82,330530,Klee: Pounding Surprise,
213071,83,330542,Hu Tao: Sanguine Rouge,
213081,84,330550,Yanfei: Right of Final Interpretation,
213091,85,330554,Dehya: Stalwart and True,
214011,86,330511,Fischl: Stellar Predator,
214021,87,330512,Razor: Awakening,
214031,88,330513,Keqing: Thundering Penance,
214041,89,330524,Cyno: Featherfall Judgment,
214051,90,330531,Beidou: Lightning Storm,
214061,91,330537,Kujou Sara: Sin of Pride,
214071,92,330543,Raiden Shogun: Wishes Unnumbered,
214081,93,330544,Yae Miko: The Shrine's Sacred Shade,
214091,94,330553,Lisa: Pulsating Witch,
214101,95,330558,"Discretionary Supplement" Dori,
215011,96,330514,Sucrose: Chaotic Entropy,
215021,97,330515,Jean: Lands of Dandelion,
215031,98,330532,Venti: Embrace of Winds,
215041,99,330533,Xiao: Conqueror of Evil,
215051,100,330551,Kaedehara Kazuha: Poetics of Fuubutsu,
215061,101,330555,Wanderer: Gales of Reverie,
216011,102,330516,Ningguang: Strategic Reserve,
216021,103,330517,Noelle: I Got Your Back,
216031,104,330534,Zhongli: Dominance of Earth,
216041,105,330545,Albedo: Descent of Divinity,
216051,106,330539,Arataki Itto: Arataki Ichiban,
217011,107,330518,Collei: Floral Sidewinder,
217021,108,330535,Tighnari: Keen Sight,
217031,109,330546,Nahida: The Seed of Stored Knowledge,
217041,110,330556,Yaoyao: Beneficent,
217051,111,330559,"All Things Are of the Earth" Baizhu,
221011,112,330547,Cryo Cicin Mage: Cicin's Cold Glare,
222011,113,330519,Flowing,
222021,114,330526,The Mirror's Secret,
223011,115,330520,Stealthy Extraction,
223021,116,330548,Abyss Lector: Embers Rekindled,
224011,117,330536,Electro Hypostasis: Absorbing Prism,
225011,118,330521,Marionette Swordmaster,
226011,119,330522,Forged From Rock,
227011,120,330527,Spore Dust Cloud,
311101,121,331000,Bane of Storm and Tide: Magic Guide,
311102,122,331001,Composed: Sacrificial Fragments,
311103,123,331002,Cloud Atlas: Skyward Atlas,
311104,124,331038,A Thousand Nights' Dawnsong: A Thousand Floating Dreams,
311105,125,331052,Moon's Fullness: Fruit of Fulfillment,
311201,126,331003,Bane of Flame and Water: Raven Bow,
311202,127,331004,Composed: Sacrificial Bow,
311203,128,331005,Echoing Ballad: Skyward Harp,
311204,129,331037,Strong-Willed: Amos' Bow,
311205,130,331039,The Parting Refrain: Elegy for the End,
311206,131,331053,Teachings of the Forest: King's Squire,
311301,132,331006,Mourning Silver Snow: White Iron Greatsword,
311302,133,331007,Composed: Sacrificial Greatsword,
311303,134,331008,Mountain Trail: Wolf's Gravestone,
311304,135,331040,Sky-Rippin: Skyward Pride,
311305,136,331041,Rebellious Guardian: The Bell,
311401,137,331009,Ardent Argent: White Tassel,
311402,138,331010,Evil Shall Never Prevail: Lithic Spear,
311403,139,331011,Carving Black Wings: Skyward Spine,
311404,140,331042,Golden Majesty: Vortex Vanquisher,
311405,141,331043,Timeless Dream: Engulfing Lightning,
311406,142,331054,Stillwood Moonshadow: Moonpiercer,
311501,143,331012,Traveler's Companion: Traveler's Handy Sword,
311502,144,331013,Composed: Sacrificial Sword,
311503,145,331014,Let the Wind Lead: Aquila Favonia,
311504,146,331044,Sky-Piercing: Skyward Blade,
311505,147,331045,Windfall: Favonius Sword,
312001,148,331015,Trail-Tramper: Adventurer's Bandana,
312002,149,331016,Unworried Crown: Lucky Dog's Silver Circlet,
312003,150,331017,Medical Practice: Traveling Doctor's Handkerchief,
312004,151,331018,Wager: Gambler's Earrings,
312005,152,331019,Pre-Prepared: Instructor's Cap,
312006,153,331020,Noble Descent: Exile's Circlet,
312007,154,331035,Bygone Lightning: Ornate Kabuto,
312008,155,331046,Emblem of Severed Fate: Ornate Kabuto,
312009,156,331036,Ironclad Promise: General's Ancient Helm,
312010,157,331047,Tenacity of the Millelith: General's Ancient Helm,
312011,158,331048,Stilling Calamity: Thundering Poise,
312012,159,331049,Masked Twilight: Vermillion Hereafter,
312013,160,331050,Preponderant Recollection: Capricious Visage,
312014,161,331051,Fleeting Iridescence: Shimenawa's Reminiscence,
312015,162,331055,Pearl Crown — Crown of Watatsumi,
312016,163,331056,Memories of the Deep: Ocean-Hued Clam,
312017,164,331057,Proxy Generations: Shadow of the Sand King,
312101,165,331021,Icy Song, Distant Realm: Broken Rime's Echo,
312102,166,331022,Wintry Wandering: Blizzard Strayer,
312201,167,331023,Sunken Dreams of Yore: Wine-Stained Tricorne,
312202,168,331024,Shipborne Afterthought: Heart of Depth,
312301,169,331025,Ashen Lament: Witch's Scorching Hat,
312302,170,331026,Blazing Dissipation: Crimson Witch of Flames,
312401,171,331027,Lightning and Rain: Thunder Summoner's Crown,
312402,172,331028,Plume of the Stormy Skies: Thundering Fury,
312501,173,331029,Verdant Winds: Viridescent Venerer's Diadem,
312502,174,331030,Dream of Broken Leaves: Viridescent Venerer,
312601,175,331031,Jagged Stone: Mask of Solitude Basalt,
312602,176,331032,Of Mountains Mighty: Archaic Petra,
312701,177,331033,Raincaller's Emblem: Laurel Coronet,
312702,178,331034,Knowledge of the Vine: Deepwood Memories,
321001,179,332000,Where All Ships Dock,
321002,180,332001,Athenaeum of the North,
321003,181,332002,Stargazing Amidst Clouds,
321004,182,332003,Manor of Daybreak,
321005,183,332004,Dihua Vantage Point,
321006,184,332005,Gathering of the Devout,
321007,185,332021,Omnipresence Over Mortals,
321008,186,332020,Distant Red Dreams Forlorn,
321009,187,332022,The Pearlescent Palace,
321010,188,332023,The City Where All Wisdom Resides,
321011,189,332024,Abidance of the Forested Path,
321012,190,332025,Abode of Dwelling Demons,
321013,191,332034,Golden House,
321014,192,332036,Gandharva Ville,
321015,193,332038,Stormterror's Lair,
322001,194,332006,Paimon, the Best Guide,
322002,195,332007,Katheryne, Guild Receptionist,
322003,196,332008,Timaeus, Scholar of Alchemy,
322004,197,332009,Wagner, Blacksmith,
322005,198,332010,Chef Mao, Ingenious Gourmet,
322006,199,332011,"Rain Calmer" Tubby,
322007,200,332012,"Pure Patience" Timmie,
322008,201,332013,"Marvelous Merchandise" Liben,
322009,202,332014,Chang the Ninth, Listless Literati,
322010,203,332015,"Knightly Dream" Ellin,
322011,204,332016,"Where We Last Left Off" Iron Tongue Tian,
322012,205,332017,"In the Next Volume" Liu Su,
322013,206,332026,Persistence of Pain: Hanachirusato,
322014,207,332027,Temari-Hiding Intentions: Kid Kujirai,
322015,208,332028,Fulfillment First: Xudong,
322016,209,332029,Purity of Trust: Dunyarzad,
322017,210,332030,Gem of Remembrance: Rana,
