Id,Name,
1,Mondstadt Master,
2,Brother,
3,Sister,
4,Tower Master,
5,Servant,
6,Chief of the Northeastern Village,
7,Chief of the Northwestern Village,
8,Chief of the Southwestern Village,
9,Chief of the South Village,
10,Cheerful Lad,
11,Jam,
12,Dog 1,
13,Dog 2,
14,Dog 3,
15,Dog 4,
21,Guard,
22,Guard,
23,Guard,
24,Guard,
25,Bystander,
26,Bystander,
30,Resource Trader,
31,Weapon Trader,
32,Equipment Trader,
33,Accessory Trader,
34,Soy sauce 1,
35,Soy sauce 2,
36,Venti's Audience 1,
37,Venti's Audience 2,
79,Hassan,
80,Perplexed Treasure Hunter,
81,Perplexed Treasure Hunter,
82,Perplexed Treasure Hunter,
83,Injured Soldier,
84,Injured Soldier,
85,Perplexed Treasure Hunter,
86,Perplexed Treasure Hunter,
87,Perplexed Treasure Hunter,
88,Perplexed Treasure Hunter,
89,Alice,
90,Winery Worker,
91,Winery Worker,
92,Outdoor Gourmet Connoisseur,
93,Quest Test NPC,
94,Weird Statue,
95,Quest Test NPC,
101,Mei,
102,Venti's Test,
103,Gaia's Test,
501,Barbara,
502,Diona,
503,Thoma,
504,Sayu,
505,Gorou,
506,Beidou,
507,Ningguang,
508,Ningguang,
509,Yun Jin,
901,Shopkeeper 01,
902,Shopkeeper 02,
903,Shopkeeper 03,
904,Shopkeeper 04,
905,Mondstadt Bystander 01,
906,Mondstadt Bystander 02,
907,Mondstadt Bystander 03,
908,Mondstadt Bystander 04,
909,Mondstadt Bystander 05,
910,Mondstadt Bystander 06,
911,Mondstadt Bystander 07,
912,Mondstadt Bystander 08,
913,Mondstadt Gate Soldier 01,
914,Mondstadt Gate Soldier 02,
915,Anthony,
916,Quinn,
917,Anna,
918,Beatrice,
919,Quinn,
1001,Venti,
1002,Amber,
1003,Boss,
1004,Kaeya,
30057,Kaeya,
1005,Paimon,
1006,Jean,
30058,Jean,
1007,Lisa,
30059,Lisa,
1008,Barbara,
30060,Barbara,
1009,Diluc,
30061,Diluc,
1010,Stormterror,
1011,Razor,
30062,Razor,
1012,Xiangling,
1013,Kamisato Ayaka,
1014,Kaeya,
1015,Ganyu,
1016,Keqing,
1017,Signora,
1018,Albedo,
30056,Albedo,
1019,Sucrose,
1020,Rosaria,
1021,Hu Tao,
1022,Dainsleif,
1023,Chongyun,
1024,Bennett,
1025,Aether,
1026,Lumine,
1027,Noelle,
1028,Bennett,
1029,Eula,
1030,Yanfei,
1031,Beidou,
1032,Kaedehara Kazuha,
1033,Thoma,
1034,Yae Miko,
1035,Yoimiya,
1036,Raiden Shogun,
1037,Sangonomiya Kokomi,
1038,Kujou Sara,
1039,Gorou,
1040,Sayu,
1041,Chongyun,
1042,Xinyan,
1043,Guoba,
1044,Arataki Itto,
1045,Shenhe,
1046,Yun Jin,
1101,Bystander (A),
1102,Bystander (B),
1103,Bystander (C),
1104,Bystander (D),
1105,Cricket Referee,
1106,Gliding Referee,
1107,Mysterious Seller,
1108,Deaconess,
1109,Lucini Chief Officer,
1110,Injured Soldier,
1111,Injured Soldier,
1112,Injured Soldier,
1113,Injured Soldier,
1114,Injured Soldier,
1115,Injured Soldier,
1116,Confused Bystander,
1117,Slime Breeder,
1118,Distressed Hilichurl,
1119,Rescued Guard,
1120,Test Dialogue,
1121,Test Quest,
1122,Random Bystander (A),
1123,Random Bystander (B),
1124,Random Bystander (C),
1125,Random Bystander (D),
1130,Infiltration Referee,
1131,Infiltration AI1,
1132,Infiltration AI2,
1133,Infiltration AI3,
1134,Infiltration AI4,
1135,Infiltration AI5,
1136,Infiltration AI6,
1137,Infiltration AI7,
1138,Infiltration AI8,
1139,Infiltration AI9,
1140,Infiltration AI10,
1141,Infiltration AI11,
1142,Infiltration AI12,
1143,Infiltration AI13,
1144,Infiltration AI14,
1151,Trapped Citizen,
1160,Green Fellow,
1161,Gotelinde,
1162,Otto,
1163,Miles,
1164,Otto,
1165,Injured Wolf,
1166,Objective Tracker NPC,
1167,Senior Villager,
1168,Angry Villager,
1169,Villager,
1170,Villager,
1171,Frightened Villager,
1172,Injured Villager,
1173,Injured Villager,
1174,Angry Villager,
1175,Angry Villager,
1176,Boreas,
1177,Dvalin,
1178,Abyss Mage,
1179,Charles,
1180,Slime Breeder,
1181,???,
1201,Statue of The Seven,
1202,Statue of The Seven,
1203,Statue of The Seven,
1204,Statue of The Seven,
1205,Statue of The Seven,
1206,Statue of The Seven,
1207,Statue of The Seven,
1208,Statue of The Seven,
1209,Statue of The Seven,
1210,Cyrus,
1211,Stanley,
1212,Jack,
1213,Vile,
1214,Izzard,
1215,Knight of Favonius,
1216,Dr. Livingstone,
1217,City Gate Guard,
1218,Huffman,
1219,Interrogate,
1220,Advanced Infiltration Referee,
1221,Raid AI1,
1222,Raid AI2,
1223,Raid AI3,
1224,Raid AI4,
1225,Raid AI5,
1226,Raid AI6,
1227,Raid AI7,
1228,Raid AI8,
1229,Raid AI9,
1230,Raid AI10,
1231,Raid AI11,
1232,Raid AI12,
1233,Raid AI13,
1234,???,
1235,Red Door,
1236,Red Door,
1237,Red Door,
1238,Black Door,
1239,Black Door,
1240,Knight of Favonius,
1241,Lynn,
1242,Connor,
1243,Paimon,
1244,Mondstadt General Goods Order Board,
1245,Cat's Tail Tavern Message Board,
1246,Cat's Tail Tavern Poster,
1247,Note,
1248,Message Board for Employers and Job Seekers,
1249,Library Rules,
1250,Note,
1251,Billboard,
1252,Note,
1253,Signboard,
1254,Signboard,
1255,Carving Marks,
1256,Farrah,
1257,Hopkins the Marvelous,
1258,Draff,
1259,Allan,
1260,???,
1261,Crowd,
1262,Billboard,
1263,Cart,
1264,Cart,
1265,Cart,
1266,Cart,
1267,Cart,
1268,Statue of The Seven,
1269,Touch,
1270,Touch,
1271,Touch,
1272,Statue of The Seven,
1273,Statue of The Seven,
1274,Statue of The Seven,
1275,Statue of The Seven,
1276,Statue of The Seven,
1277,Statue of The Seven,
1278,Statue of The Seven,
1279,Statue of The Seven,
1280,Statue of The Seven,
1281,Statue of The Seven,
1305,Action-Test Paimon 1,
1401,Beatrice,
1403,Quinn,
1404,Quinn,
1405,Anna,
1408,Anthony,
1409,Cyrus,
1410,Cyrus,
1411,Stanley,
1412,Stanley,
1413,Jack,
1414,Jack,
1417,Wagner,
1419,Sara,
1421,Michelle,
1423,Blanche,
1425,Flora,
1427,Donna,
1429,Grace,
1430,Grace,
1431,Margaret,
1433,Huffman,
1435,Marjorie,
1437,Swan,
1439,Lawrence,
1441,Guy,
1443,Otto,
1445,Aramis,
1447,Raymond,
1449,Miles,
1451,Monroe,
1453,Susie,
1455,Norma,
1457,Athos,
1459,Porthos,
1461,Nimrod,
1463,Eury,
1465,Charles,
1467,Patton,
1469,Alfry,
1471,Victoria,
1473,Jilliana,
1475,Payne,
1477,Nelson,
1479,Lynn,
1480,NPC Animation Test 1 - Male,
1481,NPC Animation Test 2 - Female,
1482,NPC Animation Test 3 - Female,
1483,Otto,
1485,Raptor,
1486,Paimon,
1487,Anastasia,
1501,Fatui Guard,
1502,Fatui Captain,
1503,Timid Guard,
1504,Greedy Guard,
1505,Hilichurl,
1506,Hilichurl,
1507,Hilichurl,
1508,Greedy Guard 3,
1509,Timid Guard 4,
1510,Fatui Guard 5,
1511,Fatui Guard 6,
1512,Katheryne,
1513,Owl Statue,
1514,Strange Vase,
1517,Viktor,
1519,Luke,
1521,Glory,
1523,Six-Fingered José,
1525,Vile,
1527,Elzer,
1529,Connor,
1531,Adelinde,
1533,Tunner,
1535,Ernest,
1537,Draff,
1539,Allan,
1541,Brook,
1543,Hopkins the Marvelous,
1545,Marla,
1547,Ylgr,
1549,Farrah,
1551,Wyatt,
1553,Godwin,
1555,Dr. Edith,
1557,Ulfr,
1559,Lorgar,
1561,Mack,
1563,Dr. Livingstone,
1565,Ella Musk,
1567,Timmie,
1569,Arthur,
1570,Panicked Myrana,
1571,Terrified Magar,
1572,Terrified Kersh,
1573,Terrified Schuster,
1574,Troubled Telfair,
1575,Timid Morrow,
1576,Short-Tempered Wallit,
