Item,Value,Tag1,Tag2,Tag3,Tag4,Tag5,
Manzana,1,AvatarExp,SkillBook,None,None,None,
Solsettia,1,AvatarExp,SkillBook,None,None,None,
Champiñón,1,AvatarExp,SkillBook,None,None,None,
Flor dulce,1,AvatarExp,SkillBook,None,None,None,
Zanahoria,1,AvatarExp,SkillBook,None,None,None,
Rábano,1,AvatarExp,SkillBook,None,None,None,
Flor dorada,1,AvatarExp,SkillBook,None,None,None,
Menta,1,AvatarExp,SkillBook,None,None,None,
Trigo,1,AvatarExp,SkillBook,None,None,None,
Repollo,1,AvatarExp,SkillBook,None,None,None,
Loto plateado,1,AvatarExp,SkillBook,None,None,None,
Piñón,1,AvatarExp,SkillBook,None,None,None,
Cabeza de loto,1,AvatarExp,SkillBook,None,None,None,
Cola de caballo,1,AvatarExp,SkillBook,None,None,None,
Baya,1,AvatarExp,SkillBook,None,None,None,
Pistilo de flor helada,1,AvatarExp,SkillBook,None,None,None,
Pistilo de flor llameante,1,AvatarExp,SkillBook,None,None,None,
Electrocristal,1,WeaponExp,AvatarPromote,None,None,None,
Carne cruda,1,Scoin,WeaponPromote,None,None,None,
Huevo de pájaro,1,Scoin,WeaponPromote,None,None,None,
Matsutake,1,AvatarExp,SkillBook,None,None,None,
Carne de ave,1,Scoin,WeaponPromote,None,None,None,
Alas de mariposa,1,Scoin,WeaponPromote,None,None,None,
Cangrejo,1,Scoin,WeaponPromote,None,None,None,
Tomate,1,AvatarExp,SkillBook,None,None,None,
Papa,1,AvatarExp,SkillBook,None,None,None,
Rana,1,Scoin,WeaponPromote,None,None,None,
Coraza fluorescente,1,Scoin,WeaponPromote,None,None,None,
Cola de lagarto,1,Scoin,WeaponPromote,None,None,None,
Pescado,1,Scoin,WeaponPromote,None,None,None,
Núcleo de cristal,1,WeaponExp,AvatarPromote,None,None,None,
Perla de locha,1,WeaponExp,AvatarPromote,None,None,None,
Brote de bambú,1,AvatarExp,SkillBook,None,None,None,
Carne congelada,1,Scoin,WeaponPromote,None,None,None,
Gancho de lobo,1,AvatarExp,SkillBook,None,None,None,
Valbaya,1,AvatarExp,SkillBook,None,None,None,
Cecilia,1,AvatarExp,SkillBook,None,None,None,
Margarita voladora,1,AvatarExp,SkillBook,None,None,None,
Seta filanemo,1,AvatarExp,SkillBook,None,None,None,
Lucetta,1,AvatarExp,SkillBook,None,None,None,
Lirio cala,1,AvatarExp,SkillBook,None,None,None,
Semilla de diente de león,1,AvatarExp,SkillBook,None,None,None,
Chile de Jueyun,1,AvatarExp,SkillBook,None,None,None,
Jade noctilucoso,1,WeaponExp,AvatarPromote,None,None,None,
Flor de seda,1,AvatarExp,SkillBook,None,None,None,
Lirio de cristal,1,AvatarExp,SkillBook,None,None,None,
Flor chingxin,1,AvatarExp,SkillBook,None,None,None,
Caracola estelar,1,Scoin,WeaponPromote,None,None,None,
Campanita de cristal,1,AvatarExp,SkillBook,None,None,None,
Cor lapis,1,WeaponExp,AvatarPromote,None,None,None,
Pedazo de hierro,1,WeaponExp,AvatarPromote,None,None,None,
Pedazo de hierro blanco,1,WeaponExp,AvatarPromote,None,None,None,
Pedazo de cristal,1,WeaponExp,AvatarPromote,None,None,None,
Pedazo de cristal mágico,1,WeaponExp,AvatarPromote,None,None,None,
