Id,Name,
10000001,Kate,
10000002,Kamisato Ayaka,
10000003,Jean,
10000005,Voyageur,
10000006,Lisa,
10000007,Voyageuse,
10000014,Barbara,
10000015,Kaeya,
10000016,Diluc,
10000020,Razor,
10000021,Amber,
10000022,Venti,
10000023,Xiangling,
10000024,Beidou,
10000025,Xingqiu,
10000026,Xiao,
10000027,Ningguang,
10000029,Klee,
10000030,Zhongli,
10000031,Fischl,
10000032,Bennett,
10000033,Tartaglia,
10000034,Noëlle,
10000035,Qiqi,
10000036,Chongyun,
10000037,Ganyu,
10000038,Albedo,
10000039,Diona,
10000041,Mona,
10000042,Keqing,
10000043,Sucrose,
10000044,Xinyan,
10000045,Rosalia,
10000046,Hu Tao,
10000047,Kaedehara Kazuha,
10000048,Yanfei,
10000049,Yoimiya,
10000050,Thomas,
10000051,Eula,
10000052,Shogun Raiden,
10000053,Sayu,
10000054,Sangonomiya Kokomi,
10000055,Gorou,
10000056,Kujou Sara,
10000057,Arataki Itto,
10000058,Yae Miko,
10000059,Shikanoin Heizou,
10000060,Yelan,
10000061,Kirara,
10000062,Aloy,
10000063,Shenhe,
10000064,Yun Jin,
10000065,Kuki Shinobu,
10000066,Kamisato Ayato,
10000067,Collei,
10000068,Dori,
10000069,Tighnari,
10000070,Nilou,
10000071,Cyno,
10000072,Candace,
10000073,Nahida,
10000074,Layla,
10000075,Nomade,
10000076,Faruzan,
10000077,Yaoyao,
10000078,Alhaitham,
10000079,Dehya,
10000080,Mika,
10000081,Kaveh,
10000082,Baizhu,
10000083,Lynette,
10000084,Lyney,
10000085,Fréminet,
11000008,Test d'équipe nº4,
11000009,Test de scène,
11000010,Modèle nu nº1,
11000011,Homme nu,
11000013,Test multijoueur,
11000017,Test de modèle homme adulte,
11000018,Test de modèle femme adulte,
11000019,Test de modèle fille,
11000025,Akuliya,
11000026,Yaoyao (test),
11000027,Test de modèle fille - Machine nº2,
11000028,Fille Boîte blanche,
11000030,Jeune fille avec épée à deux mains,
11000031,Test d'arme A,
11000032,Test d'arme B,
11000033,Test d'arme C,
11000034,Test d'arme D,
11000035,Femme adulte avec lance,
11000036,Test de femme avec épée à une main,
11000037,Rx Boîte blanche,
11000038,Test de modèle garçon,
