Id,CityId,PoolId,QuestId,Type,Rarity,CenterPosition,Title,Description,Target,
10100,1,1001,0,Scene,2,Event_10100,Un petit pas pour les Brutocollinus,Un groupe de Brutocollinus est en train de construire un nouveau camp dans la nature dans l'intention de rassembler leurs congénères. Éliminez-les pour mettre fin à la menace qu'ils représentent.,Éliminez tous les monstres.,
10101,1,1001,0,Scene,2,Event_10101,Un petit pas pour les Brutocollinus,Un groupe de Brutocollinus est en train de construire un nouveau camp dans la nature dans l'intention de rassembler leurs congénères. Éliminez-les pour mettre fin à la menace qu'ils représentent.,Éliminez tous les monstres.,
10102,1,1001,0,Scene,2,Event_10102,Un petit pas pour les Brutocollinus,Un groupe de Brutocollinus est en train de construire un nouveau camp dans la nature dans l'intention de rassembler leurs congénères. Éliminez-les pour mettre fin à la menace qu'ils représentent.,Éliminez tous les monstres.,
10103,1,1001,0,Scene,2,Event_10103,Un petit pas pour les Brutocollinus,Un groupe de Brutocollinus est en train de construire un nouveau camp dans la nature dans l'intention de rassembler leurs congénères. Éliminez-les pour mettre fin à la menace qu'ils représentent.,Éliminez tous les monstres.,
10104,1,1001,0,Scene,2,Event_10104,Un petit pas pour les Brutocollinus,Un groupe de Brutocollinus est en train de construire un nouveau camp dans la nature dans l'intention de rassembler leurs congénères. Éliminez-les pour mettre fin à la menace qu'ils représentent.,Éliminez tous les monstres.,
10106,1,1001,0,Scene,2,Event_10106,Dangereux Cryoblobs !,Un groupe de Cryoblobs est apparu dans la nature. Éliminez-les pour mettre fin à la menace qu'ils représentent. Les attaquer avec l'élément Électro pourrait peut-être déclencher un effet spécial.,Éliminez tous les monstres.,
10107,1,1001,0,Scene,2,Event_10107,Dangereux boucliers,Un groupe de Brutocollinus aux boucliers de bois est apparu dans la nature. Éliminez-les pour mettre fin à la menace qu'ils représentent. Les attaquer avec l'élément Pyro pourrait peut-être facilement détruire leur boulier.,Éliminez tous les monstres.,
10200,1,1002,0,Scene,2,Event_10200,Propagation du mal,Un Mage de l'Abîme est en train de conduire un rituel avec des Brutocollinus. Éliminez-les tous pour mettre fin à la menace qu'ils représentent.,Éliminez tous les monstres.,
10201,1,1002,0,Scene,2,Event_10201,Propagation du mal,Un Mage de l'Abîme est en train de conduire un rituel avec des Brutocollinus. Éliminez-les tous pour mettre fin à la menace qu'ils représentent.,Éliminez tous les monstres.,
10202,1,1002,0,Scene,2,Event_10202,Propagation du mal,Un Mage de l'Abîme est en train de conduire un rituel avec des Brutocollinus. Éliminez-les tous pour mettre fin à la menace qu'ils représentent.,Éliminez tous les monstres.,
10203,1,1002,0,Scene,2,Event_10203,Propagation du mal,Un Mage de l'Abîme est en train de conduire un rituel avec des Brutocollinus. Éliminez-les tous pour mettre fin à la menace qu'ils représentent.,Éliminez tous les monstres.,
10204,1,1002,0,Scene,2,Event_10204,Propagation du mal,Un Mage de l'Abîme est en train de conduire un rituel avec des Brutocollinus. Éliminez-les tous pour mettre fin à la menace qu'ils représentent.,Éliminez tous les monstres.,
10205,1,1002,0,Scene,2,Event_10205,Propagation du mal,Un Mage de l'Abîme est en train de conduire un rituel avec des Brutocollinus. Éliminez-les tous pour mettre fin à la menace qu'ils représentent.,Éliminez tous les monstres.,
10206,1,1002,0,Scene,2,Event_10206,Propagation du mal,Un Mage de l'Abîme est en train de conduire un rituel avec des Brutocollinus. Éliminez-les tous pour mettre fin à la menace qu'ils représentent.,Éliminez tous les monstres.,
10500,1,1002,0,Scene,2,Event_10500,Situation critique,Un Noyau de tempête est apparu dans la nature. Éliminez-le pour mettre fin à la menace qu'il représente.,Éliminez le Noyau de tempête.,
10502,1,1002,0,Scene,2,Event_10502,Situation critique,Un Gardien des ruines est apparu et erre dans la nature. Éliminez-le pour mettre fin à la menace qu'il représente.,Éliminez le Gardien des ruines.,
10503,1,1002,0,Scene,2,Event_10503,Situation critique,Un Gardien des ruines est apparu et erre dans la nature. Éliminez-le pour mettre fin à la menace qu'il représente.,Éliminez le Gardien des ruines.,
10504,1,1002,0,Scene,2,Event_10504,Situation critique,Un Noyau de tempête est apparu dans la nature. Éliminez-le pour mettre fin à la menace qu'il représente.,Éliminez le Noyau de tempête.,
