Id,CardId,ItemId,Name,
1101,1,330000,Ganyu · Défense fervente,
1102,2,330023,Diona · Cocktail façon Queue de Chat,
1103,3,330001,Kaeya · Chevalier du froid,
1104,4,330002,Chongyun · Corps de glace et cœur de feu,
1105,5,330003,Kamisato Ayaka · Héron de givre,
1106,6,330028,Eula · Vague déferlante,
1107,7,330048,Shenhe · Transcendance solitaire,
1108,8,330052,Qiqi · Renaissance gelée,
1201,9,330025,Barbara · Star de la chanson,
1202,10,330004,Xingqiu · Jeune galant,
1203,11,330005,Mona · Réflexion astrale,
1204,12,330029,Tartaglia · Jeune Sire,
1205,13,330030,Sangonomiya Kokomi · Perle de connaissance,
1206,14,330031,Kamisato Ayato · Pilier de vaillance,
1207,15,330049,Candace · Serment doré,
1208,16,330057,Nilou · Danseuse du lotus lumineux,
1301,17,330006,Diluc · Ombre de l'Aurore,
1302,18,330007,Xiangling · Cordon-bleu du peuple,
1303,19,330008,Bennett · Prince de la guigne,
1304,20,330009,Amber · Éclaireuse,
1305,21,330010,Yoimiya · Flamme gambadante,
1306,22,330032,Klee · Soleil fuyant,
1307,23,330033,Hu Tao · Fragrance nivale,
1308,24,330050,Yanfei · Sage innocence,
1309,25,330055,Dehya · Crinière ardente,
1401,26,330011,Fischl · Princesse du châtiment !,
1402,27,330012,Razor · Enfant-loup,
1403,28,330013,Keqing · Ardeur du tonnerre,
1404,29,330024,Cyno · Juge des secrets,
1405,30,330034,Beidou · Reine des mers sans couronne,
1406,31,330035,Kujou Sara · Kaburaya de plume de corvidé,
1407,32,330036,Shogun Raiden · Plan euthymique,
1408,33,330037,Yae Miko · Frivolité ingénieuse,
1409,34,330053,Lisa · Sorcière à la rose,
1410,35,330058,Dori · Trésor du jardin onirique,
1501,36,330014,Sucrose · Alchimiste 100 % naturelle,
1502,37,330015,Jean · Chevalier au Pissenlit,
1503,38,330038,Venti · Barde itinérant,
1504,39,330039,Xiao · Gardien Yaksha,
1505,40,330051,Kaedehara Kazuha · Tourbillon de feuilles écarlates,
1506,41,330054,Nomade · L'éternellement égaré,
1601,42,330016,Ningguang · Megrez de l'éclipse,
1602,43,330017,Noëlle · Fleur chevaleresque,
1603,44,330040,Zhongli · Vagabond du monde mortel,
1604,45,330041,Albedo · Kreideprinz,
1605,46,330042,Arataki Itto · Héros de Hanamizaka,
1701,47,330018,Collei · Germe de renaissance,
1702,48,330043,Tighnari · Marcheur verdoyant,
1703,49,330044,Nahida · Physique de pureté,
1704,50,330056,Yaoyao · Grâce fleurissante,
1705,51,330059,Baizhu · Transcendant la mortalité,
2101,52,330045,Luciole de brume - Mage cryoluciole,
2201,53,330019,Maîtresse des eaux : Rhodeia,
2202,54,330026,Suivante snezhnayienne : Envoyée miroir,
2301,55,330020,Lame de règlement : Usurier,
2302,56,330046,Chantre de l'Abîme - Flamme abyssale,
2401,57,330047,Hypostase Électro,
2501,58,330021,Mécanisme ingénieux : Lame oni,
2601,59,330022,Traverseur de vallée : Chef Brutorocheux,
2701,60,330027,Seigneur des Fongus : Champieffroi panaché,
211011,61,330500,Ganyu : Cœur indivisible,
211021,62,330523,Diona : On the rocks,
211031,63,330501,Kaeya : Épée de la cruauté,
211041,64,330502,Chongyun : Respiration stable,
211051,65,330503,Kamisato Ayaka : Bénédiction de Kanten Senmyou,
211061,66,330528,Eula : Esprit belligérant,
