Item,Value,Tag1,Tag2,Tag3,Tag4,Tag5,
Pomme,1,AvatarExp,SkillBook,None,None,None,
Pomme crépusculaire,1,AvatarExp,SkillBook,None,None,None,
Champignon,1,AvatarExp,SkillBook,None,None,None,
Fleur sucrante,1,AvatarExp,SkillBook,None,None,None,
Carotte,1,AvatarExp,SkillBook,None,None,None,
Radis,1,AvatarExp,SkillBook,None,None,None,
Gueule-de-loup,1,AvatarExp,SkillBook,None,None,None,
Menthe,1,AvatarExp,SkillBook,None,None,None,
Brin de blé,1,AvatarExp,SkillBook,None,None,None,
Chou,1,AvatarExp,SkillBook,None,None,None,
Lotus d'argent,1,AvatarExp,SkillBook,None,None,None,
Pomme de pin,1,AvatarExp,SkillBook,None,None,None,
Fruit du lotus,1,AvatarExp,SkillBook,None,None,None,
Queue de cheval,1,AvatarExp,SkillBook,None,None,None,
Baie,1,AvatarExp,SkillBook,None,None,None,
Corolle de fleur de brume,1,AvatarExp,SkillBook,None,None,None,
Pistil de fleur enflammée,1,AvatarExp,SkillBook,None,None,None,
Électrocristal,1,WeaponExp,AvatarPromote,None,None,None,
Viande crue,1,Scoin,WeaponPromote,None,None,None,
Œuf d'oiseau,1,Scoin,WeaponPromote,None,None,None,
Matsutake,1,AvatarExp,SkillBook,None,None,None,
Volaille,1,Scoin,WeaponPromote,None,None,None,
Ailes de papillon,1,Scoin,WeaponPromote,None,None,None,
Crabe,1,Scoin,WeaponPromote,None,None,None,
Tomate,1,AvatarExp,SkillBook,None,None,None,
Pomme de terre,1,AvatarExp,SkillBook,None,None,None,
Grenouille,1,Scoin,WeaponPromote,None,None,None,
Abdomen luminescent,1,Scoin,WeaponPromote,None,None,None,
Queue de lézard,1,Scoin,WeaponPromote,None,None,None,
Poisson,1,Scoin,WeaponPromote,None,None,None,
Noyau cristallin,1,WeaponExp,AvatarPromote,None,None,None,
Perle de loche,1,WeaponExp,AvatarPromote,None,None,None,
Pousse de bambou,1,AvatarExp,SkillBook,None,None,None,
Viande congelée,1,Scoin,WeaponPromote,None,None,None,
Baie à crochet,1,AvatarExp,SkillBook,None,None,None,
Tombaie,1,AvatarExp,SkillBook,None,None,None,
Cécilia,1,AvatarExp,SkillBook,None,None,None,
Chrysanthème à aubes,1,AvatarExp,SkillBook,None,None,None,
Champignon anémophile,1,AvatarExp,SkillBook,None,None,None,
Herbe à lampe,1,AvatarExp,SkillBook,None,None,None,
Lys calla,1,AvatarExp,SkillBook,None,None,None,
Graines de pissenlit,1,AvatarExp,SkillBook,None,None,None,
Piment de Jueyun,1,AvatarExp,SkillBook,None,None,None,
Jade noctiluque,1,WeaponExp,AvatarPromote,None,None,None,
Fleur de soie,1,AvatarExp,SkillBook,None,None,None,
Lys verni,1,AvatarExp,SkillBook,None,None,None,
Fleur de Qingxin,1,AvatarExp,SkillBook,None,None,None,
Conque d'étoile,1,Scoin,WeaponPromote,None,None,None,
Muguet bleu,1,AvatarExp,SkillBook,None,None,None,
Cœur de lapis,1,WeaponExp,AvatarPromote,None,None,None,
Morceau de fer,1,WeaponExp,AvatarPromote,None,None,None,
Morceau de fer blanc,1,WeaponExp,AvatarPromote,None,None,None,
Morceau de cristal,1,WeaponExp,AvatarPromote,None,None,None,
Éclat de cristal magique,1,WeaponExp,AvatarPromote,None,None,None,
Minerai d'argétoile,1,WeaponExp,AvatarPromote,None,None,None,
Morceau d'améthyste,1,WeaponExp,AvatarPromote,None,None,None,
Scarabuto,1,Scoin,WeaponPromote,None,None,None,
Fleur de cerisier,1,AvatarExp,SkillBook,None,None,None,
Moelle cristalline,1,WeaponExp,AvatarPromote,None,None,None,
Dendrobium sanglant,1,AvatarExp,SkillBook,None,None,None,
Herbe à sanglots,1,AvatarExp,SkillBook,None,None,None,
Ganoderma marin,1,AvatarExp,SkillBook,None,None,None,
Perle de corail,1,WeaponExp,AvatarPromote,None,None,None,
Fruit d'Amakumo,1,AvatarExp,SkillBook,None,None,None,
Champignon fluorescent,1,AvatarExp,SkillBook,None,None,None,
Herbe marine,1,AvatarExp,SkillBook,None,None,None,
Melon lavande,1,AvatarExp,SkillBook,None,None,None,
Champitoile,1,AvatarExp,SkillBook,None,None,None,
Champignon sacramental,1,AvatarExp,SkillBook,None,None,None,
Padisachidée,1,AvatarExp,SkillBook,None,None,None,
Nilotpalotus,1,AvatarExp,SkillBook,None,None,None,
Fruit harra,1,AvatarExp,SkillBook,None,None,None,
Kalpalotus,1,AvatarExp,SkillBook,None,None,None,
Pêche zaytun,1,AvatarExp,SkillBook,None,None,None,
Rose sumérienne,1,AvatarExp,SkillBook,None,None,None,
Quandong,1,AvatarExp,SkillBook,None,None,None,
Noix d'ajilenakh,1,AvatarExp,SkillBook,None,None,None,
Scarabée,1,Scoin,WeaponPromote,None,None,None,
Champitoile activé,1,AvatarExp,SkillBook,None,None,None,
Champitoile calciné,1,AvatarExp,SkillBook,None,None,None,
Viparyas,1,AvatarExp,SkillBook,None,None,None,
Bave de Blob,1,Scoin,WeaponPromote,None,None,None,
Mucus de Blob,2,Scoin,WeaponPromote,None,None,None,
Essence de Blob,4,Scoin,WeaponPromote,None,None,None,
Masque endommagé,1,Scoin,WeaponPromote,None,None,None,
Masque sale,2,Scoin,WeaponPromote,None,None,None,
Masque sinistre,4,Scoin,WeaponPromote,None,None,None,
Parchemin divinatoire,1,AvatarExp,SkillBook,None,None,None,
Parchemin sigillé,2,AvatarExp,SkillBook,None,None,None,
Parchemin maudit,4,AvatarExp,SkillBook,None,None,None,
Pointe de flèche robuste,1,WeaponExp,AvatarPromote,None,None,None,
Pointe de flèche aiguisée,2,WeaponExp,AvatarPromote,None,None,None,
Pointe de flèche usée,4,WeaponExp,AvatarPromote,None,None,None,
Corne lourde,1,Scoin,WeaponPromote,None,None,None,
Corne en bronze noir,2,Scoin,WeaponPromote,None,None,None,
Corne à cristal noir,4,Scoin,WeaponPromote,None,None,None,
Branche morte des lignes énergétiques,1,AvatarExp,SkillBook,None,None,None,
Feuilles mortes des lignes énergétiques,2,AvatarExp,SkillBook,None,None,None,
Pousse des lignes énergétiques,4,AvatarExp,SkillBook,None,None,None,
Dispositif du chaos,1,Scoin,WeaponPromote,None,None,None,
Circuit du chaos,2,Scoin,WeaponPromote,None,None,None,
Noyau du chaos,4,Scoin,WeaponPromote,None,None,None,
Pollen d'herbe brumeuse,1,AvatarExp,SkillBook,None,None,None,
Herbe brumeuse,2,AvatarExp,SkillBook,None,None,None,
Mèches d'herbe brumeuse,4,AvatarExp,SkillBook,None,None,None,
Dague de chasse rituelle,1,WeaponExp,AvatarPromote,None,None,None,
Dague rituelle de l'Usurier,2,WeaponExp,AvatarPromote,None,None,None,
Grande dague de l'Inspecteur,4,WeaponExp,AvatarPromote,None,None,None,
Insigne de nouvelle recrue,1,Scoin,WeaponPromote,None,None,None,
Insigne de sergent,2,Scoin,WeaponPromote,None,None,None,
Insigne d'officier,4,Scoin,WeaponPromote,None,None,None,
Insigne des Pilleurs,1,Scoin,WeaponPromote,None,None,None,
