Id,Name,
1,Mondstadt Master,
2,Kakak,
3,Kakak,
11,Jam,
21,Penjaga,
22,Penjaga,
23,Penjaga,
24,Penjaga,
83,Prajurit Terluka,
84,Prajurit Terluka,
94,Patung Aneh,
501,Barbara,
502,Diona,
503,Thoma,
504,Sayu,
505,Gorou,
506,Beidou,
507,Ningguang,
508,Ningguang,
509,Yun Jin,
915,Anthony,
916,Quinn,
917,Anna,
1001,Venti,
1002,Amber,
1003,Boss,
1004,Kaeya,
30057,Kaeya,
1005,Paimon,
1006,Jean,
30058,Jean,
1007,Lisa,
30059,Lisa,
1008,Barbara,
30060,Barbara,
1009,Diluc,
30061,Diluc,
1010,Stormterror,
1011,Razor,
30062,Razor,
1012,Xiangling,
1013,Kamisato Ayaka,
1014,Kaeya,
1015,Ganyu,
1016,Keqing,
1017,Signora,
1018,Albedo,
30056,Albedo,
1019,Sucrose,
1020,Rosaria,
1021,Hu Tao,
1022,Dainsleif,
1023,Chongyun,
1024,Bennett,
1025,Aether,
1026,Lumine,
1027,Noelle,
1028,Bennett,
1029,Eula,
1030,Yanfei,
1031,Beidou,
1032,Kaedehara Kazuha,
1033,Thoma,
1034,Yae Miko,
1035,Yoimiya,
1036,Raiden Shogun,
1037,Sangonomiya Kokomi,
1038,Kujou Sara,
1039,Gorou,
1040,Sayu,
1041,Chongyun,
1042,Xinyan,
1043,Guoba,
1044,Arataki Itto,
1045,Shenhe,
1046,Yun Jin,
1110,Prajurit Terluka,
1111,Prajurit Terluka,
1112,Prajurit Terluka,
1113,Prajurit Terluka,
1114,Prajurit Terluka,
1115,Prajurit Terluka,
1117,Peternak Slime,
1118,Hilichurl Stres,
1151,Penduduk yang Terjebak,
1160,Orang Baju Hijau,
1161,Gettlinde,
1162,Otto,
1163,Miles,
1164,Otto,
1165,Serigala Terluka,
1168,Penduduk Emosi,
1172,Penduduk Terluka,
1173,Penduduk Terluka,
1174,Penduduk Emosi,
1175,Penduduk Emosi,
1176,Boreas,
1177,Dvalin,
1178,Abyss Mage,
1179,Charles,
1180,Peternak Slime,
1181,???,
1201,Patung The Seven,
1202,Patung The Seven,
1203,Patung The Seven,
1204,Patung The Seven,
1205,Patung The Seven,
1206,Patung The Seven,
1207,Patung The Seven,
1208,Patung The Seven,
1209,Patung The Seven,
1210,Cyrus,
1211,Stanley,
1212,Jack,
1213,Vile,
1214,Izzard,
1215,Knights of Favonius,
1216,Dr. Livingstone,
1217,Penjaga Gerbang,
1218,Huffman,
1219,Interogasi,
1220,Juri Penyelinap Tingkat Lanjutan,
1221,Raid AI1,
1222,Raid AI2,
1223,Raid AI3,
1224,Raid AI4,
1225,Raid AI5,
1226,Raid AI6,
1227,Raid AI7,
1228,Raid AI8,
1229,Raid AI9,
1230,Raid AI10,
1231,Raid AI11,
1232,Raid AI12,
1233,Raid AI13,
1234,???,
1235,Gerbang Merah,
1236,Gerbang Merah,
1237,Gerbang Merah,
1238,Gerbang Hitam,
1239,Gerbang Hitam,
1240,Knights of Favonius,
1241,Lynn,
1242,Connor,
1243,Paimon,
1244,Papan Pesanan Barang Toko Mondstadt General Goods,
1245,Papan Pesan Cat's Tail,
1246,Poster Cat's Tail,
1247,Catatan,
1248,Papan Lowongan Pekerjaan,
1249,Peraturan Perpustakaan,
1250,Catatan,
1251,Papan Pesan,
1252,Catatan,
1253,Papan Tanda,
1254,Papan Tanda,
1255,Ukiran Simbol,
1256,Farrah,
1258,Draff,
1259,Allan,
1260,???,
1261,Kerumunan,
1262,Papan Pesan,
1263,Gerobak,
1264,Gerobak,
1265,Gerobak,
1266,Gerobak,
1267,Gerobak,
1268,Patung The Seven,
1269,Sentuh,
1270,Sentuh,
1271,Sentuh,
1272,Patung The Seven,
1273,Patung The Seven,
1274,Patung The Seven,
1275,Patung The Seven,
1276,Patung The Seven,
1277,Patung The Seven,
1278,Patung The Seven,
1279,Patung The Seven,
1280,Patung The Seven,
1281,Patung The Seven,
1305,Tes Gerakan Paimon 1,
1401,Beatrice,
1403,Quinn,
1404,Quinn,
1405,Anna,
1408,Anthony,
1409,Cyrus,
1410,Cyrus,
1411,Stanley,
1412,Stanley,
1413,Jack,
1414,Jack,
1417,Wagner,
1419,Sara,
1421,Michelle,
1423,Blanche,
1425,Flora,
1427,Donna,
1429,Grace,
1430,Grace,
1431,Margaret,
1433,Huffman,
1435,Marjorie,
1437,Swan,
1439,Lawrence,
1441,Guy,
1443,Otto,
1445,Aramis,
1447,Raymond,
1449,Miles,
1451,Monroe,
1453,Susie,
1455,Norma,
1457,Athos,
1459,Porthos,
1461,Nimrod,
1463,Eury,
1465,Charles,
1467,Patton,
1469,Alfry,
1471,Victoria,
1473,Jilliana,
1475,Payne,
1477,Nelson,
1479,Lynn,
1480,NPC Tes Animasi 1 - Pria,
1481,NPC Tes Animasi 2 - Wanita,
1482,NPC Tes Animasi 3 - Wanita,
1483,Otto,
1485,Raptor,
1486,Paimon,
1487,Anastasia,
1501,Penjaga Fatui,
1502,Kapten Fatui,
1503,Penjaga Pemalu,
1504,Penjaga Serakah,
1505,Hilichurl,
1506,Hilichurl,
1507,Hilichurl,
1508,Penjaga Serakah 3,
1509,Penjaga Pemalu 4,
1510,Penjaga Fatui 5,
1511,Penjaga Fatui 6,
1512,Katheryne,
1513,Patung Burung Hantu,
1514,Vas Aneh,
1517,Viktor,
1519,Luke,
1521,Glory,
1523,Six-Fingered José,
1525,Vile,
1527,Elzer,
1529,Connor,
1531,Adelinde,
1533,Tunner,
1535,Ernest,
1537,Draff,
1539,Allan,
1541,Brook,
1543,Hopkins the Marvelous,
1545,Marla,
1547,Ylgr,
1549,Farrah,
1551,Wyatt,
1553,Godwin,
1555,Dr. Edith,
1557,Ulfr,
1559,Lorgar,
1561,Mack,
1563,Dr. Livingstone,
1565,Ella Musk,
