Item,Value,Tag1,Tag2,Tag3,Tag4,Tag5,
Apple,1,AvatarExp,SkillBook,None,None,None,
Sunsettia,1,AvatarExp,SkillBook,None,None,None,
Mushroom,1,AvatarExp,SkillBook,None,None,None,
Sweet Flower,1,AvatarExp,SkillBook,None,None,None,
Carrot,1,AvatarExp,SkillBook,None,None,None,
Radish,1,AvatarExp,SkillBook,None,None,None,
Snapdragon,1,AvatarExp,SkillBook,None,None,None,
Mint,1,AvatarExp,SkillBook,None,None,None,
Wheat,1,AvatarExp,SkillBook,None,None,None,
Cabbage,1,AvatarExp,SkillBook,None,None,None,
Silver Lotus,1,AvatarExp,SkillBook,None,None,None,
Pinecone,1,AvatarExp,SkillBook,None,None,None,
Lotus Head,1,AvatarExp,SkillBook,None,None,None,
Horsetail,1,AvatarExp,SkillBook,None,None,None,
Berry,1,AvatarExp,SkillBook,None,None,None,
Mist Flower Corolla,1,AvatarExp,SkillBook,None,None,None,
Flaming Flower Stamen,1,AvatarExp,SkillBook,None,None,None,
Electro Crystal,1,WeaponExp,AvatarPromote,None,None,None,
Raw Meat,1,Scoin,WeaponPromote,None,None,None,
Bird Egg,1,Scoin,WeaponPromote,None,None,None,
Matsutake,1,AvatarExp,SkillBook,None,None,None,
Fowl,1,Scoin,WeaponPromote,None,None,None,
Butterfly Wings,1,Scoin,WeaponPromote,None,None,None,
Crab,1,Scoin,WeaponPromote,None,None,None,
Tomato,1,AvatarExp,SkillBook,None,None,None,
Potato,1,AvatarExp,SkillBook,None,None,None,
Frog,1,Scoin,WeaponPromote,None,None,None,
Luminescent Spine,1,Scoin,WeaponPromote,None,None,None,
Lizard Tail,1,Scoin,WeaponPromote,None,None,None,
Fish,1,Scoin,WeaponPromote,None,None,None,
Crystal Core,1,WeaponExp,AvatarPromote,None,None,None,
Loach Pearl,1,WeaponExp,AvatarPromote,None,None,None,
Bamboo Shoot,1,AvatarExp,SkillBook,None,None,None,
Chilled Meat,1,Scoin,WeaponPromote,None,None,None,
Wolfhook,1,AvatarExp,SkillBook,None,None,None,
Valberry,1,AvatarExp,SkillBook,None,None,None,
Cecilia,1,AvatarExp,SkillBook,None,None,None,
Windwheel Aster,1,AvatarExp,SkillBook,None,None,None,
Philanemo Mushroom,1,AvatarExp,SkillBook,None,None,None,
Small Lamp Grass,1,AvatarExp,SkillBook,None,None,None,
Calla Lily,1,AvatarExp,SkillBook,None,None,None,
Dandelion Seed,1,AvatarExp,SkillBook,None,None,None,
Jueyun Chili,1,AvatarExp,SkillBook,None,None,None,
Noctilucous Jade,1,WeaponExp,AvatarPromote,None,None,None,
Silk Flower,1,AvatarExp,SkillBook,None,None,None,
Glaze Lily,1,AvatarExp,SkillBook,None,None,None,
Qingxin,1,AvatarExp,SkillBook,None,None,None,
Starconch,1,Scoin,WeaponPromote,None,None,None,
Violetgrass,1,AvatarExp,SkillBook,None,None,None,
Cor Lapis,1,WeaponExp,AvatarPromote,None,None,None,
Iron Chunk,1,WeaponExp,AvatarPromote,None,None,None,
White Iron Chunk,1,WeaponExp,AvatarPromote,None,None,None,
Crystal Chunk,1,WeaponExp,AvatarPromote,None,None,None,
Magical Crystal Chunk,1,WeaponExp,AvatarPromote,None,None,None,
Starsilver,1,WeaponExp,AvatarPromote,None,None,None,
Amethyst Lump,1,WeaponExp,AvatarPromote,None,None,None,
Onikabuto,1,Scoin,WeaponPromote,None,None,None,
Sakura Bloom,1,AvatarExp,SkillBook,None,None,None,
Crystal Marrow,1,WeaponExp,AvatarPromote,None,None,None,
Dendrobium,1,AvatarExp,SkillBook,None,None,None,
Naku Weed,1,AvatarExp,SkillBook,None,None,None,
Sea Ganoderma,1,AvatarExp,SkillBook,None,None,None,
Sango Pearl,1,WeaponExp,AvatarPromote,None,None,None,
Amakumo Fruit,1,AvatarExp,SkillBook,None,None,None,
Fluorescent Fungus,1,AvatarExp,SkillBook,None,None,None,
Seagrass,1,AvatarExp,SkillBook,None,None,None,
Lavender Melon,1,AvatarExp,SkillBook,None,None,None,
Starshroom,1,AvatarExp,SkillBook,None,None,None,
Rukkhashava Mushroom,1,AvatarExp,SkillBook,None,None,None,
Padisarah,1,AvatarExp,SkillBook,None,None,None,
Nilotpala Lotus,1,AvatarExp,SkillBook,None,None,None,
Harra Fruit,1,AvatarExp,SkillBook,None,None,None,
Kalpalata Lotus,1,AvatarExp,SkillBook,None,None,None,
Zaytun Peach,1,AvatarExp,SkillBook,None,None,None,
Sumeru Rose,1,AvatarExp,SkillBook,None,None,None,
Henna Berry,1,AvatarExp,SkillBook,None,None,None,
Ajilenakh Nut,1,AvatarExp,SkillBook,None,None,None,
Scarab,1,Scoin,WeaponPromote,None,None,None,
Activated Starshroom,1,AvatarExp,SkillBook,None,None,None,
Scorched Starshroom,1,AvatarExp,SkillBook,None,None,None,
Viparyas,1,AvatarExp,SkillBook,None,None,None,
Mysterious Meat,1,Scoin,WeaponPromote,None,None,None,
Eel Meat,1,Scoin,WeaponPromote,None,None,None,
Onion,1,AvatarExp,SkillBook,None,None,None,
Condessence Crystal,1,WeaponExp,AvatarPromote,None,None,None,
Sand Grease Pupa,1,Scoin,WeaponPromote,None,None,None,
