Id,CityId,PoolId,QuestId,Type,Rarity,CenterPosition,Title,Description,Target,
10100,1,1001,0,Scene,2,Event_10100,Un piccolo passo per gli Hilichurl,Gli Hilichurl stanno mettendo su un accampamento tra le selve per riunirsi. Sconfiggili per porre fine alla minaccia.,Sconfiggi tutti gli avversari,
10101,1,1001,0,Scene,2,Event_10101,Un piccolo passo per gli Hilichurl,Gli Hilichurl stanno mettendo su un accampamento tra le selve per riunirsi. Sconfiggili per porre fine alla minaccia.,Sconfiggi tutti gli avversari,
10102,1,1001,0,Scene,2,Event_10102,Un piccolo passo per gli Hilichurl,Gli Hilichurl stanno mettendo su un accampamento tra le selve per riunirsi. Sconfiggili per porre fine alla minaccia.,Sconfiggi tutti gli avversari,
10103,1,1001,0,Scene,2,Event_10103,Un piccolo passo per gli Hilichurl,Gli Hilichurl stanno mettendo su un accampamento tra le selve per riunirsi. Sconfiggili per porre fine alla minaccia.,Sconfiggi tutti gli avversari,
10104,1,1001,0,Scene,2,Event_10104,Un piccolo passo per gli Hilichurl,Gli Hilichurl stanno mettendo su un accampamento tra le selve per riunirsi. Sconfiggili per porre fine alla minaccia.,Sconfiggi tutti gli avversari,
10106,1,1001,0,Scene,2,Event_10106,Grande crisi glaciale!,Un gruppo di Melmosi di Cryo è comparso tra le selve. Sconfiggilo per porre fine alla minaccia. Gli attacchi di Electro fanno miracoli contro di loro.,Sconfiggi tutti gli avversari,
10107,1,1001,0,Scene,2,Event_10107,Crisi di scudi,Una banda di Hilichurl dotati di scudi sta vagando tra le selve. Sconfiggili per porre fine alla minaccia. Con gli attacchi di Pyro dovresti riuscire a bruciare facilmente i loro scudi.,Sconfiggi tutti gli avversari,
10200,1,1002,0,Scene,2,Event_10200,Il male si diffonde,Un Mago dell'Abisso è stato visto mentre eseguiva un rituale sugli Hilichurl. Sconfiggili per porre fine alla minaccia.,Sconfiggi tutti gli avversari,
10201,1,1002,0,Scene,2,Event_10201,Il male si diffonde,Un Mago dell'Abisso è stato visto mentre eseguiva un rituale sugli Hilichurl. Sconfiggili per porre fine alla minaccia.,Sconfiggi tutti gli avversari,
10202,1,1002,0,Scene,2,Event_10202,Il male si diffonde,Un Mago dell'Abisso è stato visto mentre eseguiva un rituale sugli Hilichurl. Sconfiggili per porre fine alla minaccia.,Sconfiggi tutti gli avversari,
10203,1,1002,0,Scene,2,Event_10203,Il male si diffonde,Un Mago dell'Abisso è stato visto mentre eseguiva un rituale sugli Hilichurl. Sconfiggili per porre fine alla minaccia.,Sconfiggi tutti gli avversari,
10204,1,1002,0,Scene,2,Event_10204,Il male si diffonde,Un Mago dell'Abisso è stato visto mentre eseguiva un rituale sugli Hilichurl. Sconfiggili per porre fine alla minaccia.,Sconfiggi tutti gli avversari,
10205,1,1002,0,Scene,2,Event_10205,Il male si diffonde,Un Mago dell'Abisso è stato visto mentre eseguiva un rituale sugli Hilichurl. Sconfiggili per porre fine alla minaccia.,Sconfiggi tutti gli avversari,
10206,1,1002,0,Scene,2,Event_10206,Il male si diffonde,Un Mago dell'Abisso è stato visto mentre eseguiva un rituale sugli Hilichurl. Sconfiggili per porre fine alla minaccia.,Sconfiggi tutti gli avversari,
