Item,Value,Tag1,Tag2,Tag3,Tag4,Tag5,
Mela,1,AvatarExp,SkillBook,None,None,None,
Tramontino,1,AvatarExp,SkillBook,None,None,None,
Fungo,1,AvatarExp,SkillBook,None,None,None,
Fiordolce,1,AvatarExp,SkillBook,None,None,None,
Carota,1,AvatarExp,SkillBook,None,None,None,
Ravanello,1,AvatarExp,SkillBook,None,None,None,
Bocca di leone,1,AvatarExp,SkillBook,None,None,None,
Menta,1,AvatarExp,SkillBook,None,None,None,
Frumento,1,AvatarExp,SkillBook,None,None,None,
Cavolo,1,AvatarExp,SkillBook,None,None,None,
Loto argentato,1,AvatarExp,SkillBook,None,None,None,
Pigna,1,AvatarExp,SkillBook,None,None,None,
Frutto di loto,1,AvatarExp,SkillBook,None,None,None,
Equiseto,1,AvatarExp,SkillBook,None,None,None,
Bacca,1,AvatarExp,SkillBook,None,None,None,
Corolla di Fiordinebbia,1,AvatarExp,SkillBook,None,None,None,
Pistillo di Fiorardente,1,AvatarExp,SkillBook,None,None,None,
Cristallo di Electro,1,WeaponExp,AvatarPromote,None,None,None,
Pezzo di carne cruda,1,Scoin,WeaponPromote,None,None,None,
Uovo d'uccello,1,Scoin,WeaponPromote,None,None,None,
Matsutake,1,AvatarExp,SkillBook,None,None,None,
Pollame,1,Scoin,WeaponPromote,None,None,None,
Ali di farfalla,1,Scoin,WeaponPromote,None,None,None,
Granchio,1,Scoin,WeaponPromote,None,None,None,
Pomodoro,1,AvatarExp,SkillBook,None,None,None,
Patata,1,AvatarExp,SkillBook,None,None,None,
Rana,1,Scoin,WeaponPromote,None,None,None,
Addome luminescente,1,Scoin,WeaponPromote,None,None,None,
Coda di lucertola,1,Scoin,WeaponPromote,None,None,None,
Pesce,1,Scoin,WeaponPromote,None,None,None,
Nucleo cristallino,1,WeaponExp,AvatarPromote,None,None,None,
Perla di cobite,1,WeaponExp,AvatarPromote,None,None,None,
Germoglio di bambù,1,AvatarExp,SkillBook,None,None,None,
Pezzo di carne congelata,1,Scoin,WeaponPromote,None,None,None,
Bacca uncinata,1,AvatarExp,SkillBook,None,None,None,
Baccaduta,1,AvatarExp,SkillBook,None,None,None,
Cecilia,1,AvatarExp,SkillBook,None,None,None,
Asteria del vento,1,AvatarExp,SkillBook,None,None,None,
Fungo anemofilo,1,AvatarExp,SkillBook,None,None,None,
Lampadulina,1,AvatarExp,SkillBook,None,None,None,
