Id,Name,
10000001,ケイト,
10000002,神里綾華,
10000003,ジン,
10000005,旅人,
10000006,リサ,
10000007,旅人,
10000014,バーバラ,
10000015,ガイア,
10000016,ディルック,
10000020,レザー,
10000021,アンバー,
10000022,ウェンティ,
10000023,香菱,
10000024,北斗,
10000025,行秋,
10000026,魈,
10000027,凝光,
10000029,クレー,
10000030,鍾離,
10000031,フィッシュル,
10000032,ベネット,
10000033,タルタリヤ,
10000034,ノエル,
10000035,七七,
10000036,重雲,
10000037,甘雨,
10000038,アルベド,
10000039,ディオナ,
10000041,モナ,
10000042,刻晴,
10000043,スクロース,
10000044,辛炎,
10000045,ロサリア,
10000046,胡桃,
10000047,楓原万葉,
10000048,煙緋,
10000049,宵宮,
10000050,トーマ,
10000051,エウルア,
10000052,雷電将軍,
10000053,早柚,
10000054,珊瑚宮心海,
10000055,ゴロー,
10000056,九条裟羅,
10000057,荒瀧一斗,
10000058,八重神子,
10000059,鹿野院平蔵,
10000060,夜蘭,
10000061,綺良々,
10000062,アーロイ,
10000063,申鶴,
10000064,雲菫,
10000065,久岐忍,
10000066,神里綾人,
10000067,コレイ,
10000068,ドリー,
10000069,ティナリ,
10000070,ニィロウ,
10000071,セノ,
10000072,キャンディス,
10000073,ナヒーダ,
10000074,レイラ,
10000075,放浪者,
10000076,ファルザン,
10000077,ヨォーヨ,
10000078,アルハイゼン,
10000079,ディシア,
10000080,ミカ,
10000081,カーヴェ,
10000082,白朮,
10000083,リネット,
10000084,リネ,
10000085,フレミネ,
11000008,テストチーム4,
11000009,シーンテスト,
11000010,モデル1,
11000011,男性,
11000013,マルチプレイテスト,
11000017,成人男性ボディテスト,
11000018,成人女性ボディテスト,
11000019,少女ボディテスト,
11000025,アクリヤ,
11000026,ヨォーヨ（テスト）,
11000027,少女ボディテスト 2号機,
11000028,ホワイトボックス少女,
11000030,大剣少女,
11000031,武器テストA,
11000032,武器テストB,
11000033,武器テストC,
11000034,武器テストD,
11000035,ランスの戦士,
11000036,片手剣の女テスト,
11000037,Rxホワイトボックス,
11000038,少年ボディテスト,
11000039,成人男性テスト,
11000040,女性主人公通常攻撃,
11000041,男性主人公通常攻撃,
11000042,重雲（テスト）,
11000043,お試しキャラ,
11000044,七七（テスト）,
11000045,ディオナ,
11101,無鋒の剣,
11201,銀の剣,
11301,冷刃,
11302,黎明の神剣,
11303,旅道の剣,
11304,暗鉄剣,
11305,チ虎魚の刀,
11306,飛天御剣,
11401,西風剣,
11402,笛の剣,
11403,祭礼の剣,
11404,旧貴族長剣,
11405,匣中龍吟,
11406,斬岩·試作,
11407,鉄蜂の刺し,
11408,黒岩の長剣,
11409,黒剣,
11410,ダークアレイの閃光,
11411,,
11412,降臨の剣,
11413,腐植の剣,
11414,天目影打,
11415,シナバースピンドル,
11416,籠釣瓶一心,
11417,原木刀,
11418,サイフォスの月明かり,
11419,「一心伝」名刀,
11420,「一心伝」名刀,
11421,「一心伝」名刀,
11422,東花坊時雨,
11424,狼牙,
11425,海淵のフィナーレ,
11426,サーンドルの渡し守,
11501,風鷹剣,
11502,天空の刃,
11503,蒼古なる自由への誓い,
11504,斬山の刃,
11505,磐岩結緑,
11506,磐岩の緑,
11507,虚構,
11508,,
11509,霧切の廻光,
11510,波乱月白経津,
11511,聖顕の鍵,
11512,萃光の裁葉,
12101,訓練用大剣,
12201,傭兵の重剣,
12301,鉄影段平,
12302,龍血を浴びた剣,
12303,白鉄の大剣,
12304,石英大剣,
12305,理屈責め,
12306,飛天大御剣,
12401,西風大剣,
12402,鐘の剣,
12403,祭礼の大剣,
12404,旧貴族大剣,
12405,雨裁,
12406,古華·試作,
12407,白影の剣,
12408,黒岩の斬刀,
12409,螭龍の剣,
12410,千岩古剣,
12411,雪葬の星銀,
12412,銜玉の海皇,
12414,桂木斬長正,
12415,マカイラの水色,
12416,惡王丸,
12417,森林のレガリア,
12418,鉄彩の花,
12424,話死合い棒,
12425,タイダル·シャドー,
12501,天空の傲,
12502,狼の末路,
12503,松韻の響く頃,
12504,無工の剣,
12505,美玉魚,
12506,異史,
12508,,
12509,,
12510,赤角石塵滅砕,
12511,葦海の標,
13101,新米の長槍,
13201,鉄尖槍,
13301,白纓槍,
13302,鉾槍,
13303,黒纓槍,
13304,「旗竿」,
13401,匣中滅龍,
13402,星鎌·試作,
13403,流月の針,
13404,黒岩の突槍,
13405,死闘の槍,
13406,千岩長槍,
13407,西風長槍,
13408,旧貴族猟槍,
13409,ドラゴンスピア,
13414,喜多院十文字槍,
13415,「漁獲」,
13416,斬波のひれ長,
13417,ムーンピアサー,
13419,風信の矛,
13424,フィヨルドの歌,
13425,正義の報酬,
13501,護摩の杖,
13502,天空の脊,
13503,,
13504,破天の槍,
13505,和璞鳶,
13506,レジサイド,
13507,息災,
13509,草薙の稲光,
13511,赤砂の杖,
14101,生徒ノート,
14201,ポケット魔導書,
14301,魔導緒論,
14302,龍殺しの英傑譚,
14303,異世界旅行記,
14304,翡玉法珠,
14305,特級の宝玉,
14306,琥珀の玥,
14401,西風秘典,
14402,流浪楽章,
14403,祭礼の断片,
14404,旧貴族秘法録,
14405,匣中日月,
14406,金珀·試作,
14407,万国諸海の図譜,
14408,黒岩の緋玉,
14409,昭心,
14410,ダークアレイの酒と詩,
14411,,
14412,冬忍びの実,
14413,ドドコの物語,
14414,白辰の輪,
14415,誓いの明瞳,
14416,彷徨える星,
14417,満悦の実,
14424,古祠の瓏,
14425,純水流華,
14501,天空の巻,
14502,四風原典,
14503,散逸した叙事詩,
14504,浮世の錠,
14505,碧落の瓏,
14506,不滅の月華,
14508,,
14509,神楽の真意,
14511,千夜に浮かぶ夢,
14512,トゥライトゥーラの記憶,
15101,狩猟弓,
15201,歴戦の狩猟弓,
15301,鴉羽の弓,
15302,シャープシューターの誓い,
15303,リカーブボウ,
15304,弾弓,
15305,文使い,
15306,黒檀の弓,
15401,西風猟弓,
15402,絶弦,
15403,祭礼の弓,
15404,旧貴族長弓,
15405,弓蔵,
15406,澹月·試作,
15407,リングボウ,
15408,黒岩の戦弓,
15409,蒼翠の狩猟弓,
15410,ダークアレイの狩人,
15411,落霞,
15412,幽夜のワルツ,
15413,風花の頌歌,
15414,破魔の弓,
15415,プレデター,
15416,曚雲の月,
15417,王の近侍,
15418,竭沢,
15419,トキの嘴,
15424,烈日の後嗣,
15425,静寂の唄,
15501,天空の翼,
15502,アモスの弓,
15503,終焉を嘆く詩,
15504,昆吾の堕龍,
15505,高価なオーブ,
15506,壊れた鏡,
15507,冬極の白星,
15508,若水,
15509,飛雷の鳴弦,
15511,狩人の道,
15512,始まりの大魔術,
20001,,
10002,,
10003,,
10004,,
10005,,
10006,,
10008,,
