Id,CityId,PoolId,QuestId,Type,Rarity,CenterPosition,Title,Description,Target,
10100,1,1001,0,Scene,2,Event_10100,ヒルチャールの一歩,ヒルチャールが野外に新たな集落を作っている。ヒルチャールが多く集まる前に、全ての魔物を倒してこの脅威をなくそう。,全ての魔物を倒す,
10101,1,1001,0,Scene,2,Event_10101,ヒルチャールの一歩,ヒルチャールが野外に新たな集落を作っている。ヒルチャールが多く集まる前に、全ての魔物を倒してこの脅威をなくそう。,全ての魔物を倒す,
10102,1,1001,0,Scene,2,Event_10102,ヒルチャールの一歩,ヒルチャールが野外に新たな集落を作っている。ヒルチャールが多く集まる前に、全ての魔物を倒してこの脅威をなくそう。,全ての魔物を倒す,
10103,1,1001,0,Scene,2,Event_10103,ヒルチャールの一歩,ヒルチャールが野外に新たな集落を作っている。ヒルチャールが多く集まる前に、全ての魔物を倒してこの脅威をなくそう。,全ての魔物を倒す,
10104,1,1001,0,Scene,2,Event_10104,ヒルチャールの一歩,ヒルチャールが野外に新たな集落を作っている。ヒルチャールが多く集まる前に、全ての魔物を倒してこの脅威をなくそう。,全ての魔物を倒す,
10106,1,1001,0,Scene,2,Event_10106,冷たいまるい群れの危機！,氷スライムの群れが野外に出現した。スライムたちを倒して、脅威をなくそう。「雷」元素で攻撃すると、より効果的かも。,全ての魔物を倒す,
10107,1,1001,0,Scene,2,Event_10107,盾持ちの危機,木盾を持ったヒルチャールが野外に出現した。ヒルチャールを倒して、脅威をなくそう。「炎」元素で攻撃すると、簡単に木盾を壊せるかも。,全ての魔物を倒す,
10200,1,1002,0,Scene,2,Event_10200,拡張する邪悪,アビスの魔術師がヒルチャールにあやしい儀式を行っている。全ての魔物を倒して、脅威をなくそう。,全ての魔物を倒す,
10201,1,1002,0,Scene,2,Event_10201,拡張する邪悪,アビスの魔術師がヒルチャールにあやしい儀式を行っている。全ての魔物を倒して、脅威をなくそう。,全ての魔物を倒す,
10202,1,1002,0,Scene,2,Event_10202,拡張する邪悪,アビスの魔術師がヒルチャールにあやしい儀式を行っている。全ての魔物を倒して、脅威をなくそう。,全ての魔物を倒す,
10203,1,1002,0,Scene,2,Event_10203,拡張する邪悪,アビスの魔術師がヒルチャールにあやしい儀式を行っている。全ての魔物を倒して、脅威をなくそう。,全ての魔物を倒す,
10204,1,1002,0,Scene,2,Event_10204,拡張する邪悪,アビスの魔術師がヒルチャールにあやしい儀式を行っている。全ての魔物を倒して、脅威をなくそう。,全ての魔物を倒す,
10205,1,1002,0,Scene,2,Event_10205,拡張する邪悪,アビスの魔術師がヒルチャールにあやしい儀式を行っている。全ての魔物を倒して、脅威をなくそう。,全ての魔物を倒す,
10206,1,1002,0,Scene,2,Event_10206,拡張する邪悪,アビスの魔術師がヒルチャールにあやしい儀式を行っている。全ての魔物を倒して、脅威をなくそう。,全ての魔物を倒す,
10500,1,1002,0,Scene,2,Event_10500,緊急受命,狂風のコアが野外に出現し、周囲地域の安全を脅かしている。目標を倒そう。,狂風のコアを倒す,
