Item,Value,Tag1,Tag2,Tag3,Tag4,Tag5,
リンゴ,1,AvatarExp,SkillBook,None,None,None,
夕暮れの実,1,AvatarExp,SkillBook,None,None,None,
キノコ,1,AvatarExp,SkillBook,None,None,None,
スイートフラワー,1,AvatarExp,SkillBook,None,None,None,
ニンジン,1,AvatarExp,SkillBook,None,None,None,
ダイコン,1,AvatarExp,SkillBook,None,None,None,
キンギョソウ,1,AvatarExp,SkillBook,None,None,None,
ミント,1,AvatarExp,SkillBook,None,None,None,
小麦,1,AvatarExp,SkillBook,None,None,None,
キャベツ,1,AvatarExp,SkillBook,None,None,None,
アネモネ,1,AvatarExp,SkillBook,None,None,None,
ナッツ,1,AvatarExp,SkillBook,None,None,None,
ハスの花托,1,AvatarExp,SkillBook,None,None,None,
馬尾,1,AvatarExp,SkillBook,None,None,None,
ラズベリー,1,AvatarExp,SkillBook,None,None,None,
霧氷花の花蕊,1,AvatarExp,SkillBook,None,None,None,
烈焔花の花蕊,1,AvatarExp,SkillBook,None,None,None,
電気水晶,1,WeaponExp,AvatarPromote,None,None,None,
獣肉,1,Scoin,WeaponPromote,None,None,None,
鳥の卵,1,Scoin,WeaponPromote,None,None,None,
松茸,1,AvatarExp,SkillBook,None,None,None,
鳥肉,1,Scoin,WeaponPromote,None,None,None,
蝶々の羽,1,Scoin,WeaponPromote,None,None,None,
カニ,1,Scoin,WeaponPromote,None,None,None,
トマト,1,AvatarExp,SkillBook,None,None,None,
ジャガイモ,1,AvatarExp,SkillBook,None,None,None,
カエル,1,Scoin,WeaponPromote,None,None,None,
発光髄,1,Scoin,WeaponPromote,None,None,None,
トカゲのしっぽ,1,Scoin,WeaponPromote,None,None,None,
魚肉,1,Scoin,WeaponPromote,None,None,None,
晶核,1,WeaponExp,AvatarPromote,None,None,None,
サンショウウオの宝玉,1,WeaponExp,AvatarPromote,None,None,None,
タケノコ,1,AvatarExp,SkillBook,None,None,None,
「冷製鮮肉」,1,Scoin,WeaponPromote,None,None,None,
ググプラム,1,AvatarExp,SkillBook,None,None,None,
ヴァルベリー,1,AvatarExp,SkillBook,None,None,None,
セシリアの花,1,AvatarExp,SkillBook,None,None,None,
風車アスター,1,AvatarExp,SkillBook,None,None,None,
慕風のマッシュルーム,1,AvatarExp,SkillBook,None,None,None,
イグサ,1,AvatarExp,SkillBook,None,None,None,
ドドリアン,1,AvatarExp,SkillBook,None,None,None,
蒲公英の種,1,AvatarExp,SkillBook,None,None,None,
絶雲の唐辛子,1,AvatarExp,SkillBook,None,None,None,
夜泊石,1,WeaponExp,AvatarPromote,None,None,None,
霓裳花,1,AvatarExp,SkillBook,None,None,None,
琉璃百合,1,AvatarExp,SkillBook,None,None,None,
清心,1,AvatarExp,SkillBook,None,None,None,
星螺,1,Scoin,WeaponPromote,None,None,None,
