Id,Name,
10000001,케이트,
10000002,카미사토 아야카,
10000003,진,
10000005,여행자,
10000006,리사,
10000007,여행자,
10000014,바바라,
10000015,케이아,
10000016,다이루크,
10000020,레이저,
10000021,엠버,
10000022,벤티,
10000023,향릉,
10000024,북두,
10000025,행추,
10000026,소,
10000027,응광,
10000029,클레,
10000030,종려,
10000031,피슬,
10000032,베넷,
10000033,타르탈리아,
10000034,노엘,
10000035,치치,
10000036,중운,
10000037,감우,
10000038,알베도,
10000039,디오나,
10000041,모나,
10000042,각청,
10000043,설탕,
10000044,신염,
10000045,로자리아,
10000046,호두,
10000047,카에데하라 카즈하,
10000048,연비,
10000049,요이미야,
10000050,토마,
10000051,유라,
10000052,라이덴 쇼군,
10000053,사유,
10000054,산고노미야 코코미,
10000055,고로,
10000056,쿠죠 사라,
10000057,아라타키 이토,
10000058,야에 미코,
10000059,시카노인 헤이조,
10000060,야란,
10000061,키라라,
10000062,에일로이,
10000063,신학,
10000064,운근,
10000065,쿠키 시노부,
10000066,카미사토 아야토,
10000067,콜레이,
10000068,도리,
10000069,타이나리,
10000070,닐루,
10000071,사이노,
10000072,캔디스,
10000073,나히다,
10000074,레일라,
10000075,방랑자,
10000076,파루잔,
10000077,요요,
10000078,알하이탐,
10000079,데히야,
10000080,미카,
10000081,카베,
10000082,백출,
10000083,리넷,
10000084,리니,
10000085,프레미네,
10000086,라이오슬리,
10000087,느비예트,
11000008,파티 테스트 4호,
11000009,배경 테스트,
11000010,모델 1호,
11000011,발가벗은 남자,
11000013,다인 모드 테스트,
11000017,성년 남성 체형 테스트,
11000018,성년 여성 체형 테스트,
11000019,소녀 체형 테스크,
11000025,아쿠에리아,
11000026,요요(테스트),
11000027,소녀 체형테스트-2호기,
11000028,화이트박스 소녀,
11000030,대검소녀,
11000031,무기 테스트 A,
11000032,무기 테스트 B,
11000033,무기 테스트 C,
11000034,무기 테스트 D,
11000035,창의 성인 여성,
11000036,한손검 성인 여성 테스트,
11000037,Rx 화이트박스,
11000038,소년 체형 테스트,
11000039,성년 남성 체형 테스트,
11000040,여주인공 New 일반 공격,
11000041,남주인공 New 일반 공격,
11000042,중운(테스트),
11000043,테스트 캐릭터,
11000044,치치(테스트),
11000045,디오나(테스트),
11101,무인검,
11201,실버 소드,
11301,차가운 칼날,
11302,여명신검,
11303,여행자의 검,
11304,암철검,
11305,흘호 생선회칼,
11306,비천어검,
