Id,CityId,PoolId,QuestId,Type,Rarity,CenterPosition,Title,Description,Target,
10100,1,1001,0,Scene,2,Event_10100,Um Pequeno Passo de Hilichurl,Um grupo de Hilichurls estabeleceu um acampamento do lado de fora da cidade para reunir ainda mais Hilichurls. Derrote-o e ponha um fim a essa ameaça.,Elimine todos os Monstros,
10101,1,1001,0,Scene,2,Event_10101,Um Pequeno Passo de Hilichurl,Um grupo de Hilichurls estabeleceu um acampamento do lado de fora da cidade para reunir ainda mais Hilichurls. Derrote-o e ponha um fim a essa ameaça.,Elimine todos os Monstros,
10102,1,1001,0,Scene,2,Event_10102,Um Pequeno Passo de Hilichurl,Um grupo de Hilichurls estabeleceu um acampamento do lado de fora da cidade para reunir ainda mais Hilichurls. Derrote-o e ponha um fim a essa ameaça.,Elimine todos os Monstros,
10103,1,1001,0,Scene,2,Event_10103,Um Pequeno Passo de Hilichurl,Um grupo de Hilichurls estabeleceu um acampamento do lado de fora da cidade para reunir ainda mais Hilichurls. Derrote-o e ponha um fim a essa ameaça.,Elimine todos os Monstros,
10104,1,1001,0,Scene,2,Event_10104,Um Pequeno Passo de Hilichurl,Um grupo de Hilichurls estabeleceu um acampamento do lado de fora da cidade para reunir ainda mais Hilichurls. Derrote-o e ponha um fim a essa ameaça.,Elimine todos os Monstros,
10106,1,1001,0,Scene,2,Event_10106,Uma Crise Gelada!,Um grupo de Slimes Cryo apareceu no campo. Derrote-os para acabar com essa ameaça. Ataques Electro são extremamente efetivos contra eles.,Elimine todos os Monstros,
10107,1,1001,0,Scene,2,Event_10107,A Crise dos Escudos,Um grupo de Hilichurls com escudos está vagando na natureza. Derrote-os e ponha fim a essa ameaça. Os ataques de Pyro devem ser capazes de queimar facilmente seus escudos.,Elimine todos os Monstros,
10200,1,1002,0,Scene,2,Event_10200,Expansão do Mal,Um Feiticeiro do Abismo foi visto fazendo rituais em Hilichurls. Derrote-o e ponha um fim a essa ameaça.,Elimine todos os Monstros,
10201,1,1002,0,Scene,2,Event_10201,Expansão do Mal,Um Feiticeiro do Abismo foi visto fazendo rituais em Hilichurls. Derrote-o e ponha um fim a essa ameaça.,Elimine todos os Monstros,
10202,1,1002,0,Scene,2,Event_10202,Expansão do Mal,Um Feiticeiro do Abismo foi visto fazendo rituais em Hilichurls. Derrote-o e ponha um fim a essa ameaça.,Elimine todos os Monstros,
10203,1,1002,0,Scene,2,Event_10203,Expansão do Mal,Um Feiticeiro do Abismo foi visto fazendo rituais em Hilichurls. Derrote-o e ponha um fim a essa ameaça.,Elimine todos os Monstros,
10204,1,1002,0,Scene,2,Event_10204,Expansão do Mal,Um Feiticeiro do Abismo foi visto fazendo rituais em Hilichurls. Derrote-o e ponha um fim a essa ameaça.,Elimine todos os Monstros,
10205,1,1002,0,Scene,2,Event_10205,Expansão do Mal,Um Feiticeiro do Abismo foi visto fazendo rituais em Hilichurls. Derrote-o e ponha um fim a essa ameaça.,Elimine todos os Monstros,
10206,1,1002,0,Scene,2,Event_10206,Expansão do Mal,Um Feiticeiro do Abismo foi visto fazendo rituais em Hilichurls. Derrote-o e ponha um fim a essa ameaça.,Elimine todos os Monstros,
10500,1,1002,0,Scene,2,Event_10500,Em Tempos de Perigo,Um Olho da Tempestade foi avistado na natureza, ameaçando a segurança das áreas ao redor. Derrote-o para acabar com esta ameaça.,Elimine o Olho da Tempestade,
10502,1,1002,0,Scene,2,Event_10502,Em Tempos de Perigo,Foram vistos Guardas das Ruínas rondando a natureza, ameaçando a segurança da área. Derrote-os e ponha um fim a essa ameaça.,Elimine o Guarda das Ruínas,
10503,1,1002,0,Scene,2,Event_10503,Em Tempos de Perigo,Foram vistos Guardas das Ruínas rondando a natureza, ameaçando a segurança da área. Derrote-os e ponha um fim a essa ameaça.,Elimine o Guarda das Ruínas,
10504,1,1002,0,Scene,2,Event_10504,Em Tempos de Perigo,Um Olho da Tempestade foi avistado na natureza, ameaçando a segurança das áreas ao redor. Derrote-o para acabar com esta ameaça.,Elimine o Olho da Tempestade,
10505,1,1002,0,Scene,2,Event_10505,Em Tempos de Perigo,Foram vistos Guardas das Ruínas rondando a natureza, ameaçando a segurança da área. Derrote-os e ponha um fim a essa ameaça.,Elimine o Guarda das Ruínas,
10506,1,1002,0,Scene,2,Event_10506,Em Tempos de Perigo,Foram vistos Guardas das Ruínas rondando a natureza, ameaçando a segurança da área. Derrote-os e ponha um fim a essa ameaça.,Elimine o Guarda das Ruínas,
10507,1,1002,0,Scene,2,Event_10507,Em Tempos de Perigo,Um Olho da Tempestade foi avistado na natureza, ameaçando a segurança das áreas ao redor. Derrote-o para acabar com esta ameaça.,Elimine o Olho da Tempestade,
10300,1,1003,0,Scene,2,DUMMY_POS 3001 000276,Perigo ao Escalar,Os Hilichurls estão construindo uma torre na natureza. Destrua a torre o mais rápido possível.,Destrua as Torres dos Hilichurls,
10301,1,1003,0,Scene,2,Event_10301,Perigo ao Escalar,Os Hilichurls estão construindo torres na natureza. Destrua as torres o mais rápido possível.,Destrua as Torres dos Hilichurls,
10302,1,1003,0,Scene,2,Event_10302,Perigo ao Escalar,Os Hilichurls estão construindo torres na natureza. Destrua as torres o mais rápido possível.,Destrua as Torres dos Hilichurls,
10303,1,1003,0,Scene,2,Event_10303,Perigo ao Escalar,Os Hilichurls estão construindo torres na natureza. Destrua as torres o mais rápido possível.,Destrua as Torres dos Hilichurls,
10304,1,1003,0,Scene,2,Event_10304,Perigo ao Escalar,Os Hilichurls estão construindo torres na natureza. Destrua as torres o mais rápido possível.,Destrua as Torres dos Hilichurls,
10305,1,1003,0,Scene,2,Event_10305,Perigo ao Escalar,Os Hilichurls estão construindo torres na natureza. Destrua as torres o mais rápido possível.,Destrua as Torres dos Hilichurls,
10306,1,1003,0,Scene,2,Event_10306,Perigo ao Escalar,Os Hilichurls estão construindo torres na natureza. Destrua as torres o mais rápido possível.,Destrua as Torres dos Hilichurls,
10400,1,1003,0,Scene,2,DUMMY_POS 3001 300100163,Itens Redondos Inflamáveis,Os Hilichurls estão produzindo barris explosivos na natureza. Elimine-os rápido!,Elimine todos os Monstros,
10401,1,1003,0,Scene,2,Event_10401,Itens Redondos Inflamáveis,Os Hilichurls estão produzindo barris explosivos na natureza. Elimine-os rápido!,Elimine todos os Monstros,
10402,1,1003,0,Scene,2,Event_10402,Itens Redondos Inflamáveis,Os Hilichurls estão produzindo barris explosivos na natureza. Elimine-os rápido!,Elimine todos os Monstros,
10403,1,1003,0,Scene,2,Event_10403,Itens Redondos Inflamáveis,Os Hilichurls estão produzindo barris explosivos na natureza. Elimine-os rápido!,Elimine todos os Monstros,
10404,1,1003,0,Scene,2,Event_10404,Itens Redondos Inflamáveis,Os Hilichurls estão produzindo barris explosivos na natureza. Elimine-os rápido!,Elimine todos os Monstros,
10405,1,1003,0,Scene,2,Event_10405,Itens Redondos Inflamáveis,Os Hilichurls estão produzindo barris explosivos na natureza. Elimine-os rápido!,Elimine todos os Monstros,
10700,1,1003,0,Scene,2,Event_10700,Aparição de Transporte Perigoso,Os Hilichurls estão levando um Balão de Slime que está carregando uma carga perigosa. Destrua o Balão de Slime dos Hilichurls e elimine a ameaça.,Destrua o Balão de Slime,
10701,1,1003,0,Scene,2,Event_10701,Aparição de Transporte Perigoso,Os Hilichurls estão levando um Balão de Slime que está carregando uma carga perigosa. Destrua o Balão de Slime dos Hilichurls e elimine a ameaça.,Destrua o Balão de Slime,
10702,1,1003,0,Scene,2,Event_10702,Aparição de Transporte Perigoso,Os Hilichurls estão levando um Balão de Slime que está carregando uma carga perigosa. Destrua o Balão de Slime dos Hilichurls e elimine a ameaça.,Destrua o Balão de Slime,
10800,1,1002,0,Scene,2,Event_10800,A Toda Velocidade,Alcance o destino dentro do tempo limite. Derrotar inimigos prolongará um pouco seu tempo restante.,Alcançar o destino dentro do tempo limite,
10801,1,1002,0,Scene,2,Event_10801,A Toda Velocidade,Alcance o destino dentro do tempo limite. Derrotar inimigos prolongará um pouco seu tempo restante.,Alcançar o destino dentro do tempo limite,
10900,1,1001,0,Scene,2,Event_10900,Condutas para um Transporte Seguro,Um balão de ar quente transportando carga parece ter sido alvo de monstros. Impeça os monstros de roubarem a carga e escolte o balão de ar quente com segurança até seu destino.,Escolte o balão de transporte em segurança até o seu destino,
11000,1,1003,0,Scene,2,Event_11000,Um Dilema Frio como Gelo,Oh não! Os Hilichurls detonaram um Barril Explosivo! Mas... Como é que está tão frio assim? Derrote eles rapidamente e ponha um fim a essa ameaça!,Elimine todos os Monstros,
11001,1,1003,0,Scene,2,Event_11001,Um Dilema Frio como Gelo,Oh não! Os Hilichurls detonaram um Barril Explosivo! Mas... Como é que está tão frio assim? Derrote eles rapidamente e ponha um fim a essa ameaça!,Elimine todos os Monstros,
11100,1,1002,0,Scene,2,Event_11100,Em Tempos de Perigo,Um Lawachurl dos Braços Congelantes está rondando na natureza, ameaçando a seguranças dos arredores. Derrote ele e ponha um fim a essa ameaça.,Derrotar Lawachurl dos Braços Congelantes,
11200,1,1002,0,Scene,2,Event_11200,A Toda Velocidade,Alcance o destino dentro do tempo limite. Derrotar inimigos prolongará um pouco seu tempo restante.,Alcançar o destino dentro do tempo limite,
11300,1,1001,0,Scene,2,Event_11300,A Melhor das Defesas,Derrote todos os inimigos e proteja o Monolith das Linha Ley.,Conclua o desafio ao proteger o Monolith de Linhas Ley,
11301,1,1001,0,Scene,2,Event_11301,A Melhor das Defesas,Derrote todos os inimigos e proteja o Monolith das Linha Ley.,Conclua o desafio ao proteger o Monolith de Linhas Ley,
11400,1,1001,0,Scene,2,Event_11400,"Pelos Mensageiros!","Pelos Mensageiros..." Parece que os Fatui estão conspirando para fazer algo perigoso juntos. Você não pode deixar que eles façam isso de maneira alguma!,Elimine todos os inimigos,
