Id,CardId,ItemId,Name,
1101,1,330000,Defensora Devota - Ganyu,
1102,2,330023,Coquetel da Cauda do Gato - Diona,
1103,3,330001,Espadachim do Vento Congelante - Kaeya,
1104,4,330002,Pegadas na Neve - Chongyun,
1105,5,330003,Garça da Geada - Kamisato Ayaka,
1106,6,330028,Dança da Onda Quebradora - Eula,
1107,7,330048,Transcendência Solitária - Shenhe,
1108,8,330052,Qiqi - Ressurreição Gélida,
1201,9,330025,Ídolo Radiante - Barbara,
1202,10,330004,Galante Juvenil - Xingqiu,
1203,11,330005,Reflexão Astral - Mona,
1204,12,330029,Tartaglia, Childe,
1205,13,330030,Pérolas de Sabedoria - Sangonomiya Kokomi,
1206,14,330031,Pilar da Fortaleza - Kamisato Ayato,
1207,15,330049,Promessa Dourada - Candace,
1208,16,330057,"Dança da Luz de Lótus" Nilou,
1301,17,330006,O Lado Negro do Alvorecer - Diluc,
1302,18,330007,Mestre da Culinária - Xiangling,
1303,19,330008,Julgamento por Fogo - Bennett,
1304,20,330009,Aventureira - Amber,
1305,21,330010,Dança das Chamas - Yoimiya,
1306,22,330032,Sol Fugitivo - Klee,
1307,23,330033,Fragrância de Ameixa Descongelada - Hutao,
1308,24,330050,Inocência Sábia - Yanfei,
1309,25,330055,"Leoa Flamejante" Dehya,
1401,26,330011,Princesa dos Pecados - Fischl,
1402,27,330012,Lobo Jovem - Razor,
1403,28,330013,Trovão Condutor - Keqing,
1404,29,330024,Juiz dos Segredos - Cyno,
1405,30,330034,Rainha do Mar Sem Coroa - Beidou,
1406,31,330035,Flecha de Penas de Corvo - Kujou Sara,
1407,32,330036,Plano da Eutimia - Shogun Raiden,
1408,33,330037,Diversão Astuta - Yae Miko,
1409,34,330053,Lisa - Bruxa das Rosas,
1410,35,330058,"Tesouro do Jardim dos Sonhos" Dori,
1501,36,330014,Doçura Inofensiva - Sucrose,
1502,37,330015,Cavaleira de Dandelion - Jean,
1503,38,330038,Bardo Itinerante - Venti,
1504,39,330039,Guardião Yaksha - Xiao,
1505,40,330051,Folhas Escarlates Procuram Ondas Selvagens - Kaedehara Kazuha,
1506,41,330054,"Caminhante Eterno" Andarilho,
1601,42,330016,Estrela em Eclipse - Ningguang,
1602,43,330017,Flor da Cavalaria - Noelle,
1603,44,330040,Andarilho do Reino Mortal - Zhongli,
1604,45,330041,Albedo - Príncipe do Giz,
1605,46,330042,Heroísmo de Hanamizaka - Arataki Itto,
1701,47,330018,Broto de Renascimento - Collei,
