Item,Value,Tag1,Tag2,Tag3,Tag4,Tag5,
Maçã,1,AvatarExp,SkillBook,None,None,None,
Fruto do Pôr do Sol,1,AvatarExp,SkillBook,None,None,None,
Cogumelo,1,AvatarExp,SkillBook,None,None,None,
Flor Doce,1,AvatarExp,SkillBook,None,None,None,
Cenoura,1,AvatarExp,SkillBook,None,None,None,
Rabanete Branco,1,AvatarExp,SkillBook,None,None,None,
Flor Crânio de Dragão,1,AvatarExp,SkillBook,None,None,None,
Menta,1,AvatarExp,SkillBook,None,None,None,
Trigo,1,AvatarExp,SkillBook,None,None,None,
Repolho,1,AvatarExp,SkillBook,None,None,None,
Lótus de Prata,1,AvatarExp,SkillBook,None,None,None,
Pinha,1,AvatarExp,SkillBook,None,None,None,
Cabeças de Lótus,1,AvatarExp,SkillBook,None,None,None,
Rabo de Cavalo,1,AvatarExp,SkillBook,None,None,None,
Baga,1,AvatarExp,SkillBook,None,None,None,
Flor da Neblina,1,AvatarExp,SkillBook,None,None,None,
Flor Flamejante (Estame),1,AvatarExp,SkillBook,None,None,None,
Cristal Eletrificado,1,WeaponExp,AvatarPromote,None,None,None,
Carne Crua,1,Scoin,WeaponPromote,None,None,None,
Ovo de Pássaro,1,Scoin,WeaponPromote,None,None,None,
Matsutake,1,AvatarExp,SkillBook,None,None,None,
Carne de Ave,1,Scoin,WeaponPromote,None,None,None,
Asas de Borboleta,1,Scoin,WeaponPromote,None,None,None,
Caranguejo,1,Scoin,WeaponPromote,None,None,None,
Tomate,1,AvatarExp,SkillBook,None,None,None,
Batata,1,AvatarExp,SkillBook,None,None,None,
Sapo,1,Scoin,WeaponPromote,None,None,None,
Espinha Luminescente,1,Scoin,WeaponPromote,None,None,None,
Cauda de Lagarto,1,Scoin,WeaponPromote,None,None,None,
Peixe,1,Scoin,WeaponPromote,None,None,None,
Núcleo de Cristal,1,WeaponExp,AvatarPromote,None,None,None,
Pérola de Peixes,1,WeaponExp,AvatarPromote,None,None,None,
Broto de Bambu,1,AvatarExp,SkillBook,None,None,None,
Carne Fresca Fria,1,Scoin,WeaponPromote,None,None,None,
Gancho do Lobo,1,AvatarExp,SkillBook,None,None,None,
