Id,Name,
10000001,Кейт,
10000002,Аяка,
10000003,Джинн,
10000005,Путешественник,
10000006,Лиза,
10000007,Путешественница,
10000014,Барбара,
10000015,Кэйа,
10000016,Дилюк,
10000020,Рэйзор,
10000021,Эмбер,
10000022,Венти,
10000023,Сян Лин,
10000024,Бэй Доу,
10000025,Син Цю,
10000026,Сяо,
10000027,Нин Гуан,
10000029,Кли,
10000030,Чжун Ли,
10000031,Фишль,
10000032,Беннет,
10000033,Тарталья,
10000034,Ноэлль,
10000035,Ци Ци,
10000036,Чун Юнь,
10000037,Гань Юй,
10000038,Альбедо,
10000039,Диона,
10000041,Мона,
10000042,Кэ Цин,
10000043,Сахароза,
10000044,Синь Янь,
10000045,Розария,
10000046,Ху Тао,
10000047,Кадзуха,
10000048,Янь Фэй,
10000049,Ёимия,
10000050,Тома,
10000051,Эола,
10000052,Райдэн,
10000053,Саю,
10000054,Кокоми,
10000055,Горо,
10000056,Сара,
10000057,Итто,
10000058,Яэ Мико,
10000059,Хэйдзо,
10000060,Е Лань,
10000061,Кирара,
10000062,Элой,
10000063,Шэнь Хэ,
10000064,Юнь Цзинь,
10000065,Синобу,
10000066,Аято,
10000067,Коллеи,
10000068,Дори,
10000069,Тигнари,
10000070,Нилу,
10000071,Сайно,
10000072,Кандакия,
10000073,Нахида,
10000074,Лайла,
10000075,Странник,
10000076,Фарузан,
10000077,Яо Яо,
10000078,Аль-Хайтам,
10000079,Дэхья,
10000080,Мика,
10000081,Кавех,
10000082,Бай Чжу,
10000083,Линетт,
10000084,Лини,
10000085,Фремине,
11000008,队伍测试4号,
11000009,场景测试,
11000010,裸模1号,
11000011,裸男,
11000013,联机测试,
11000017,成男体型测试,
11000018,成女体型测试,
11000019,少女体型测试,
11000025,Акулия,
11000026,Яо Яо (тест),
11000027,少女体型测试-二号机,
11000028,Девушка с Белой Шкатулкой,
11000030,Девушка с двуручным мечом,
11000031,后武器测试A,
11000032,后武器测试B,
11000033,后武器测试C,
11000034,后武器测试D,
11000035,长枪成女,
11000036,单手剑成女测试,
11000037,Rx White-Box,
11000038,少男体型测试,
11000039,成男体型测试,
11000040,女主新普攻,
11000041,男主新普攻,
11000042,重云（测试）,
11000043,Тестовый персонаж,
11000044,七七（测试）,
11000045,迪奥娜(测试),
11101,Тупой меч,
11201,Серебряный меч,
11301,Холодное лезвие,
11302,Предвестник зари,
11303,Меч путешественника,
11304,Тёмный железный меч,
11305,Филейный нож,
11306,Меч небесного всадника,
11401,Меч Фавония,
11402,Меч-флейта,
11403,Церемониальный меч,
11404,Меч аристократов,
11405,Драконий рык,
11406,Прототип: Злоба,
11407,Стальное жало,
11408,Черногорский длинный меч,
11409,Чёрный меч,
11410,Вспышка во тьме,
11411,,
11412,Меч нисхождения,
11413,Осквернённое желание,
11414,Амэнома Кагэути,
11415,Киноварное веретено,
11416,Кагоцурубэ Иссин,
11417,Деревянный клинок,
11418,Лунное сияние ксифоса,
11419,Легендарный клинок Иссин,
11420,Легендарный клинок Иссин,
11421,Легендарный клинок Иссин,
11422,Токабо сигурэ,
11424,Волчий клык,
11425,Грандиозный финал глубин,
11426,Перевозчик Флёв Сандр,
11501,Меч Сокола,
11502,Небесный меч,
11503,Клятва свободы,
11504,Кромсатель пиков,
11505,Драгоценный омут,
11506,Древний Нефритовый Резак,
11507,Одна Сторона,
11508,,
11509,Рассекающий туман,
11510,Харан гэппаку фуцу,
11511,Ключ Хадж-нисут,
11512,Свет лиственного разреза,
12101,Двуручный меч богатыря,
12201,Лучший друг наёмника,
12301,Металлическая тень,
12302,Меч драконьей крови,
12303,Меч из белого железа,
12304,Кварц,
12305,Дубина переговоров,
12306,Большой меч небесного всадника,
12401,Двуручный меч Фавония,
12402,Меч-колокол,
12403,Церемониальный двуручный меч,
12404,Королевский двуручный меч,
12405,Дождерез,
12406,Прототип: Архаичный,
12407,Белая тень,
12408,Черногорская бритва,
12409,Меч драконьей кости,
12410,Каменный меч,
12411,Заснеженное звёздное серебро,
12412,Благодатный владыка вод,
12414,Кацурагикири Нагамаса,
12415,Аквамарин Махайры,
12416,Акуомару,
12417,Регалия леса,
12418,Цветок в латах,
12424,Говорящая палица,
12425,Тень волны,
12501,Небесное величие,
12502,Волчья погибель,
12503,Песнь разбитых сосен,
12504,Некованый,
12505,Древний Нефритовый Двуручный Меч,
12506,Другая Сторона,
12508,,
12509,,
12510,Краснорогий камнеруб,
12511,Маяк тростникового моря,
13101,Копьё новичка,
