Id,CardId,ItemId,Name,
1101,1,330000,«Взгляд полнолуния» Гань Юй,
1102,2,330023,«Кошкин Коктейль» Диона,
1103,3,330001,«Зимний клинок» Кэйа,
1104,4,330002,«Морозная пылкость» Чун Юнь,
1105,5,330003,«Инеевая цапля» Камисато Аяка,
1106,6,330028,«Танец морской пены» Эола,
1107,7,330048,«Одиночество превосходства» Шэнь Хэ,
1108,8,330052,Ледяное воскрешение: Ци Ци,
1201,9,330025,«Сияющая Звёздочка» Барбара,
1202,10,330004,«Галантный юноша» Син Цю,
1203,11,330005,«Звёздное отражение» Мона,
1204,12,330029,Чайльд Тарталья,
1205,13,330030,«Жемчужина мудрости» Сангономия Кокоми,
1206,14,330031,«Оплот стойкости» Камисато Аято,
1207,15,330049,Позолоченная клятва: Кандакия,
1208,16,330057,«Танец лотоса» Нилу,
1301,17,330006,«Тёмный Рассвет» Дилюк,
1302,18,330007,«Миллион вкусов» Сян Лин,
1303,19,330008,«Испытание огнём» Беннет,
1304,20,330009,Скаут Эмбер,
1305,21,330010,«Пляшущие огоньки» Ёимия,
1306,22,330032,«Ускользающее солнце» Кли,
1307,23,330033,«Весенний аромат» Ху Тао,
1308,24,330050,Непорочная мудрость: Янь Фэй,
1309,25,330055,Пламенная грива: Дэхья,
1401,26,330011,«Принцесса осуждения» Фишль,
1402,27,330012,«Инстинкт стаи» Рэйзор,
1403,28,330013,«Раскаты Грома» Кэ Цин,
1404,29,330024,«Вершитель таинств» Сайно,
1405,30,330034,«Владычица морей» Бэй Доу,
1406,31,330035,«Кабурая вороньего пера» Сара Кудзё,
1407,32,330036,«Царство эвтюмии» Сёгун Райдэн,
1408,33,330037,«Озорное лукавство» Яэ Мико,
1409,34,330053,Пурпурная ведьма: Лиза,
1410,35,330058,«Сокровище сада снов» Дори,
1501,36,330014,«Безобидная карамелька» Сахароза,
1502,37,330015,«Рыцарь Одуванчик» Джинн,
1503,38,330038,«Поэт ветров» Венти,
1504,39,330039,«Защитник Якса» Сяо,
1505,40,330051,Багряные листья и неистовые волны: Каэдэхара Кадзуха,
1506,41,330054,Затерявшийся в вечности: Странник,
1601,42,330016,«Лунное затмение» Нин Гуан,
1602,43,330017,«Нераспустившийся цветок» Ноэлль,
1603,44,330040,«Бренный скиталец» Чжун Ли,
1604,45,330041,Принц мела: Альбедо,
1605,46,330042,«Герой Ханамидзаки» Аратаки Итто,
1701,47,330018,«Росток возрождения» Коллеи,
1702,48,330043,«Зелёный странник» Тигнари,
1703,49,330044,«Средоточие чистоты» Нахида,
1704,50,330056,Бутон изящества: Яо Яо,
1705,51,330059,«Преодоление бренности» Бай Чжу,
2101,52,330045,Туманный зов: маг Крио цицинов,
2201,53,330019,«Хозяйка вод» Родия,
2202,54,330026,«Посланница водной глади» Зеркальная дева Фатуи,
2301,55,330020,«Клинок расплаты» агент Фатуи,
2302,56,330046,Чтец Бездны: Пламя бездны,
2401,57,330047,Электро гипостазис,
2501,58,330021,«Искусная машина» магу кэнки,
2601,59,330022,«Горный скиталец» лавачурл с каменным панцирем,
2701,60,330027,«Грибной повелитель» Пернатый плесенник,
211011,61,330500,«Неразделённое сердце» Гань Юй,
211021,62,330523,«Взболтать, но не мурлыкать» Диона,
211031,63,330501,«Клинок холодной крови» Кэйа,
211041,64,330502,«Ровное дыхание» Чун Юнь,
211051,65,330503,Камисато Аяка: Благословение кантэн сэммё,
211061,66,330528,Эола: Прилив войны,
211071,67,330540,Шэнь Хэ: Забытое таинство,
211081,68,330552,Ци Ци: Возвращение к жизни,
212011,69,330525,Барбара: Урожайный сезон,
212021,70,330504,Син Цю: Запах дождя по утрам,
212031,71,330505,Мона: Пророчество потопа,
212041,72,330541,Тарталья: Гидро излив,
212051,73,330529,Сангономия Кокоми: Шкатулка тамакуси,
212061,74,330538,Камисато Аято: Кёка фуси,
212071,75,330549,Кандакия: Затопляющий прилив,
212081,76,330557,«Дождь лепестков звёздного неба» Нилу,
213011,77,330506,Дилюк: Палящая комета,
213021,78,330507,Сян Лин: Перекрёстный огонь,
213031,79,330508,Беннет: Мечты о приключениях,
213041,80,330509,Эмбер: Зайчик активирован,
213051,81,330510,Ёимия: Падающие звёзды Наганохары,
213061,82,330530,Кли: «Тук-тук, кто там?»,
213071,83,330542,Ху Тао: Кровавая сангина,
213081,84,330550,Янь Фэй: Право толкования,
213091,85,330554,Дэхья: Непоколебимая искренность,
214011,86,330511,Фишль: Ворон, клюющий звёзды,
214021,87,330512,Рэйзор: Пробуждение,
214031,88,330513,Кэ Цин: Небесное покаяние,
214041,89,330524,Сайно: Суд пера,
214051,90,330531,Бэй Доу: «Гром и молния»,
