Item,Value,Tag1,Tag2,Tag3,Tag4,Tag5,
Яблоко,1,AvatarExp,SkillBook,None,None,None,
Закатник,1,AvatarExp,SkillBook,None,None,None,
Гриб,1,AvatarExp,SkillBook,None,None,None,
Цветок-сахарок,1,AvatarExp,SkillBook,None,None,None,
Морковь,1,AvatarExp,SkillBook,None,None,None,
Редис,1,AvatarExp,SkillBook,None,None,None,
Львиный зев,1,AvatarExp,SkillBook,None,None,None,
Мята,1,AvatarExp,SkillBook,None,None,None,
Пшеница,1,AvatarExp,SkillBook,None,None,None,
Капуста,1,AvatarExp,SkillBook,None,None,None,
Серебряный лотос,1,AvatarExp,SkillBook,None,None,None,
Сосновая шишка,1,AvatarExp,SkillBook,None,None,None,
Чашечка лотоса,1,AvatarExp,SkillBook,None,None,None,
Конский хвост,1,AvatarExp,SkillBook,None,None,None,
Ягода,1,AvatarExp,SkillBook,None,None,None,
Туманный цветок (венчик),1,AvatarExp,SkillBook,None,None,None,
Пылающий цветок (тычинка),1,AvatarExp,SkillBook,None,None,None,
Электро кристалл,1,WeaponExp,AvatarPromote,None,None,None,
Сырое мясо,1,Scoin,WeaponPromote,None,None,None,
Яйцо,1,Scoin,WeaponPromote,None,None,None,
Мацутакэ,1,AvatarExp,SkillBook,None,None,None,
Мясо птицы,1,Scoin,WeaponPromote,None,None,None,
Крылья бабочки,1,Scoin,WeaponPromote,None,None,None,
Краб,1,Scoin,WeaponPromote,None,None,None,
Помидор,1,AvatarExp,SkillBook,None,None,None,
Картофель,1,AvatarExp,SkillBook,None,None,None,
Лягушка,1,Scoin,WeaponPromote,None,None,None,
Светящееся брюшко,1,Scoin,WeaponPromote,None,None,None,
Хвост ящерицы,1,Scoin,WeaponPromote,None,None,None,
Рыба,1,Scoin,WeaponPromote,None,None,None,
Кристальное ядро,1,WeaponExp,AvatarPromote,None,None,None,
Жемчужина аксолотля,1,WeaponExp,AvatarPromote,None,None,None,
Побеги бамбука,1,AvatarExp,SkillBook,None,None,None,
Цельномороженое мясо,1,Scoin,WeaponPromote,None,None,None,
Волчий крюк,1,AvatarExp,SkillBook,None,None,None,
Валяшка,1,AvatarExp,SkillBook,None,None,None,
Сесилия,1,AvatarExp,SkillBook,None,None,None,
Ветряная астра,1,AvatarExp,SkillBook,None,None,None,
Гриб филанемо,1,AvatarExp,SkillBook,None,None,None,
Трава-светяшка,1,AvatarExp,SkillBook,None,None,None,
Лилия калла,1,AvatarExp,SkillBook,None,None,None,
Семена одуванчика,1,AvatarExp,SkillBook,None,None,None,
Заоблачный перчик,1,AvatarExp,SkillBook,None,None,None,
Полуночный нефрит,1,WeaponExp,AvatarPromote,None,None,None,
Шелковица,1,AvatarExp,SkillBook,None,None,None,
Глазурная лилия,1,AvatarExp,SkillBook,None,None,None,
Цветок цинсинь,1,AvatarExp,SkillBook,None,None,None,
Звёздная ракушка,1,Scoin,WeaponPromote,None,None,None,
Стеклянные колокольчики,1,AvatarExp,SkillBook,None,None,None,
Кор ляпис,1,WeaponExp,AvatarPromote,None,None,None,
Обломок железа,1,WeaponExp,AvatarPromote,None,None,None,
Обломок белого железа,1,WeaponExp,AvatarPromote,None,None,None,
Обломок кристалла,1,WeaponExp,AvatarPromote,None,None,None,
Магический кристальный обломок,1,WeaponExp,AvatarPromote,None,None,None,
Руда звёздного серебра,1,WeaponExp,AvatarPromote,None,None,None,
Кусок аметиста,1,WeaponExp,AvatarPromote,None,None,None,
Оникабуто,1,Scoin,WeaponPromote,None,None,None,
Цвет сакуры,1,AvatarExp,SkillBook,None,None,None,
Кристальный костный мозг,1,WeaponExp,AvatarPromote,None,None,None,
Кровоцвет,1,AvatarExp,SkillBook,None,None,None,
Трава наку,1,AvatarExp,SkillBook,None,None,None,
Морской гриб,1,AvatarExp,SkillBook,None,None,None,
Жемчужина Санго,1,WeaponExp,AvatarPromote,None,None,None,
Плод облачной травы,1,AvatarExp,SkillBook,None,None,None,
Светящийся гриб,1,AvatarExp,SkillBook,None,None,None,
Морская водоросль,1,AvatarExp,SkillBook,None,None,None,
Фиалковая дыня,1,AvatarExp,SkillBook,None,None,None,
Гриб-звезда,1,AvatarExp,SkillBook,None,None,None,
Грибы руккхашава,1,AvatarExp,SkillBook,None,None,None,
Падисара,1,AvatarExp,SkillBook,None,None,None,
Лотос нилотпала,1,AvatarExp,SkillBook,None,None,None,
Фрукт харра,1,AvatarExp,SkillBook,None,None,None,
Лотос кальпалата,1,AvatarExp,SkillBook,None,None,None,
Персик зайтун,1,AvatarExp,SkillBook,None,None,None,
Сумерская роза,1,AvatarExp,SkillBook,None,None,None,
Красноплодник,1,AvatarExp,SkillBook,None,None,None,
Орехи аджиленах,1,AvatarExp,SkillBook,None,None,None,
Скарабей,1,Scoin,WeaponPromote,None,None,None,
Оживлённый гриб-звезда,1,AvatarExp,SkillBook,None,None,None,
Обожжённый гриб-звезда,1,AvatarExp,SkillBook,None,None,None,
Випариас,1,AvatarExp,SkillBook,None,None,None,
Слизь слайма,1,Scoin,WeaponPromote,None,None,None,
Выделения слайма,2,Scoin,WeaponPromote,None,None,None,
Концентрат слайма,4,Scoin,WeaponPromote,None,None,None,
Разбитая маска,1,Scoin,WeaponPromote,None,None,None,
Грязная маска,2,Scoin,WeaponPromote,None,None,None,
Зловещая маска,4,Scoin,WeaponPromote,None,None,None,
Свиток божественной магии,1,AvatarExp,SkillBook,None,None,None,
Свиток печати,2,AvatarExp,SkillBook,None,None,None,
Свиток запретного проклятья,4,AvatarExp,SkillBook,None,None,None,
Прочный наконечник стрелы,1,WeaponExp,AvatarPromote,None,None,None,
Острый наконечник стрелы,2,WeaponExp,AvatarPromote,None,None,None,
