Id,CardId,ItemId,Name,
1101,1,330000,ผู้พิทักษ์แห่งจันทรา - Ganyu,
1102,2,330023,เหมียวน้อยบาร์เทนเดอร์ - Diona,
1103,3,330001,นักดาบสายลมยะเยือก - Kaeya,
1104,4,330002,ร่องรอยในหิมะ - Chongyun,
1105,5,330003,กระเรียนขาวกลางหิมะ - Kamisato Ayaka,
1106,6,330028,ระบำแห่งเกลียวคลื่น - Eula,
1107,7,330048,ห้วงคำนึงแสนอ้างว้าง - Shenhe,
1108,8,330052,ความหนาวเย็นคืนชีพ - Qiqi,
1201,9,330025,ดาราจรัสแสง - Barbara,
1202,10,330004,Guhua Feiyun - Xingqiu,
1203,11,330005,เงาสะท้อนดวงดาว - Mona,
1204,12,330029,"Childe" Tartaglia,
1205,13,330030,ไข่มุกแห่งปัญญา - Sangonomiya Kokomi,
1206,14,330031,เล่ห์เหลี่ยมแห่งเกียรติยศ - Kamisato Ayato,
1207,15,330049,บุหลันดั้นปฏิญาณ - Candace,
1208,16,330057,ระบำนิโลตบลพรายแสง - Nilou,
1301,17,330006,เงาแห่งรุ่งอรุณ - Diluc,
1302,18,330007,สุดยอดนักทำอาหาร - Xiangling,
1303,19,330008,ไฟแห่งโชคชะตา - Bennett,
1304,20,330009,อัศวินลาดตระเวน - Amber,
1305,21,330010,ประกายเพลิงเริงระบำ - Yoimiya,
1306,22,330032,ดวงอาทิตย์ที่หลบหนี - Klee,
1307,23,330033,กลิ่นหอมของลูกพลัม - Hu Tao,
1308,24,330050,ความไร้เดียงสาอันแสนแยบยล - Yanfei,
1309,25,330055,ราชสีห์ขนเพลิง - Dehya,
1401,26,330011,เจ้าหญิงแห่งการลงทัณฑ์!! - Fischl!,
1402,27,330012,ลูกหมาป่า - Razor,
1403,28,330013,ผู้บงการสายฟ้า - Keqing,
1404,29,330024,การพิพากษาอันซ่อนเร้น - Cyno,
1405,30,330034,ราชินีไร้บัลลังก์แห่งท้องทะเล - Beidou,
1406,31,330035,ศรคำรามแห่งรัตติกาล - Kujou Sara,
1407,32,330036,ดินแดนแห่งใจที่บริสุทธิ์ - Raiden Shogun,
1408,33,330037,ยิ้มเล่ห์กลยลโลกา - Yae Miko,
1409,34,330053,แม่มดกุหลาบ - Lisa,
1410,35,330058,ห้วงฝันมหาเงินตรา - Dori,
1501,36,330014,ความหวานที่ไร้พิษสง - Sucrose,
1502,37,330015,อัศวิน Dandelion - Jean,
1503,38,330038,กวีแห่งสายลม - Venti,
1504,39,330039,ยักษาผู้พิทักษ์ - Xiao,
1505,40,330051,ใบไม้แดงแห่งกระแสคลื่น - Kaedehara Kazuha,
1506,41,330054,กัปกัลป์อสงไขย - ผู้พเนจร,
1601,42,330016,Tianquan ผู้บดบังดวงเดือน - Ningguang,
1602,43,330017,ดอกไม้ที่หาญกล้า - Noelle,
1603,44,330040,ผู้พเนจรแห่งแดนมนุษย์ - Zhongli,
1604,45,330041,องค์ชายชอล์กขาว - Albedo,
1605,46,330042,ขาใหญ่ประจำ Hanamizaka - Arataki Itto,
1701,47,330018,ต้นกล้าเมื่อคราแรกแย้ม - Collei,
1702,48,330043,ย่างก้าวในแดนไพร - Tighnari,
1703,49,330044,พฤกษาช้อยวิสุทธิ์ - Nahida,
1704,50,330056,เกสรน้อยเจ้าปัญญา - Yaoyao,
1705,51,330059,หลอมจิตรวมชีพ - Baizhu,
2101,52,330045,ม่านหมอกจุติ - Cryo Cicin Mage,
2201,53,330019,จ้าวแห่งธาราใส - Rhodeia,
2202,54,330026,Snezhnayan Maiden - ผู้ใช้งานกระจกวาริน,
2301,55,330020,ใบมีดแห่งการชำระ - Agent,
2302,56,330046,Abyss Lector - Fathomless Flames,
2401,57,330047,Electro Hypostasis,
2501,58,330021,กลไกสารพัดนึก - Maguu Kenki,
2601,59,330022,เส้นทางยอดเขานับพัน - Stonehide Lawachurl,
2701,60,330027,ราชาเห็ด - Jadeplume Terrorshroom,
211011,61,330500,Ganyu - Undivided Heart,
211021,62,330523,Diona - Shaken, Not Purred,
211031,63,330501,Kaeya - Cold-Blooded Strike,
211041,64,330502,Chongyun - Steady Breathing,
211051,65,330503,Kamisato Ayaka - Kanten Senmyou Norito,
211061,66,330528,Eula - Wellspring of War-Lust,
211071,67,330540,Shenhe - Mystical Abandon,
211081,68,330552,Qiqi - Rite of Resurrection,
212011,69,330525,Barbara - Glorious Season,
212021,70,330504,Xingqiu - The Scent Remained,
212031,71,330505,Mona - Prophecy of Submersion,
212041,72,330541,Tartaglia - Hydrospout,
212051,73,330529,Sangonomiya Kokomi - Tamakushi Casket,
212061,74,330538,Kamisato Ayato - Kyouka Fuushi,
212071,75,330549,Candace - The Overflow,
212081,76,330557,Nilou - The Starry Skies Their Flowers Rain,
213011,77,330506,Diluc - Flowing Flame,
213021,78,330507,Xiangling - Crossfire,
213031,79,330508,Bennett - Grand Expectation,
213041,80,330509,Amber - Bunny Triggered,
213051,81,330510,Yoimiya - Naganohara Meteor Swarm,
213061,82,330530,Klee - Pounding Surprise,
213071,83,330542,Hu Tao -Sanguine Rouge,
213081,84,330550,Yanfei - Right of Final Interpretation,
213091,85,330554,Dehya - Stalwart and True,
214011,86,330511,Fischl - Stellar Predator,
214021,87,330512,Razor - Awakening,
214031,88,330513,Keqing - Thundering Penance,
214041,89,330524,Cyno - Featherfall Judgment,
214051,90,330531,Beidou - Lightning Storm,
214061,91,330537,Kujou Sara: Sin of Pride,
214071,92,330543,Raiden Shogun - Wishes Unnumbered,
214081,93,330544,Yae Miko - The Shrine's Sacred Shade,
214091,94,330553,Lisa - Pulsating Witch,
214101,95,330558,Dori - Discretionary Supplement,
215011,96,330514,Sucrose - Chaotic Entropy,
215021,97,330515,Jean - Lands of Dandelion,
215031,98,330532,Venti - Embrace of Winds,
215041,99,330533,Xiao - Conqueror of Evil,
215051,100,330551,Kaedehara Kazuha - Poetics of Fuubutsu,
215061,101,330555,ผู้พเนจร - Gales of Reverie,
216011,102,330516,Ningguang - Strategic Reserve,
216021,103,330517,Noelle - I Got Your Back,
216031,104,330534,Zhongli - Dominance of Earth,
216041,105,330545,Albedo - Descent of Divinity,
216051,106,330539,Arataki Itto - Arataki Ichiban,
217011,107,330518,Collei - Floral Sidewinder,
217021,108,330535,Tighnari - Keen Sight,
217031,109,330546,Nahida - The Seed of Stored Knowledge,
217041,110,330556,Yaoyao - Beneficent,
217051,111,330559,Baizhu - All Things Are of the Earth,
221011,112,330547,Cryo Cicin Mage - สายตายะเยือกจาก Cicin,
222011,113,330519,กระแสน้ำปะทุหลั่งริน,
222021,114,330526,ความลับที่ซ่อนเร้นในกระจก,
223011,115,330520,การไถหนี้ลับ,
223021,116,330548,Abyss Lector - ไฟมอดที่ลุกโชนใหม่,
224011,117,330536,Electro Hypostasis - Absorbing Prism,
225011,118,330521,ร่างปรมาจารย์ดาบ,
226011,119,330522,ร่างแกร่งจากศิลา,
227011,120,330527,ม่านสปอร์คละคลุ้ง,
311101,121,331000,Bane of Storm and Tide - Magic Guide,
311102,122,331001,Composed - Sacrificial Fragments,
311103,123,331002,Cloud Atlas - Skyward Atlas,
311104,124,331038,A Thousand Nights' Dawnsong - A Thousand Floating Dreams,
311105,125,331052,จันทราเต็มดวง - Fruit of Fulfillment,
311201,126,331003,Bane of Flame and Water - Raven Bow,
311202,127,331004,Composed - Sacrificial Bow,
311203,128,331005,บทกวีสะท้อนก้อง - Skyward Harp,
311204,129,331037,Strong-Willed - Amos' Bow,
311205,130,331039,The Parting Refrain - Elegy for the End,
311206,131,331053,Teachings of the Forest - King's Squire,
311301,132,331006,ความยำเกรงหิมะสีเงิน - White Iron Greatsword,
311302,133,331007,Composed - Sacrificial Greatsword,
311303,134,331008,เฝ้าระวังตามแนวเขา - Wolf's Gravestone,
311304,135,331040,Sky-Rippin - Skyward Pride,
311305,136,331041,Rebellious Guardian - The Bell,
311401,137,331009,ม่านพู่ขาวปลายแหลม - White Tassel,
311402,138,331010,หนักแน่นดังขุนเขา - Lithic Spear,
311403,139,331011,ปีกสีดำที่พันเกี่ยว - Skyward Spine,
311404,140,331042,Golden Majesty - Vortex Vanquisher,
311405,141,331043,Timeless Dream - Engulfing Lightning,
311406,142,331054,Stillwood Moonshadow - Moonpiercer,
311501,143,331012,มิตรคู่ใจนักเดินทาง - Traveler's Handy Sword,
311502,144,331013,Composed - Sacrificial Sword,
311503,145,331014,ขอสายลมจงนำพาคุณไป - Aquila Favonia,
311504,146,331044,Sky-Piercing - Skyward Blade,
311505,147,331045,Windfall - Favonius Sword,
312001,148,331015,เสาะหาทุกสารทิศ - Adventurer's Bandana,
312002,149,331016,มงกุฎไร้กังวล - Lucky Dog's Silver Circlet,
312003,150,331017,ฝึกฝนทางแพทย์ - Traveling Doctor's Handkerchief,
312004,151,331018,ขันต่อติดลม - Gambler's Earrings,
312005,152,331019,เตรียมตัวให้พร้อม - Instructor's Cap,
312006,153,331020,ทายาทชนชั้นสูง - Exile's Circlet,
312007,154,331035,แสงสว่างในวันวาน - Ornate Kabuto,
312008,155,331046,สัญลักษณ์แห่งชะตาสะบั้น - Ornate Kabuto,
312009,156,331036,สาบานมิเปลี่ยนผัน - General's Ancient Helm,
312010,157,331047,แรงยืนหยัดของทหาร Millelith - General's Ancient Helm,
312011,158,331048,ภัยร้ายสั่นสะท้าน - Thundering Poise,
312012,159,331049,หมอกสนธยา - Vermillion Hereafter,
312013,160,331050,สำนึกอันยาวนาน - Capricious Visage,
312014,161,331051,สีสันที่ดับสูญ - Shimenawa's Reminiscence,
312015,162,331055,มงกุฎไข่มุก — Crown of Watatsumi,
312016,163,331056,ความทรงจำในห้วงสมุทร - Ocean-Hued Clam,
312017,164,331057,ผู้ส่งมอบแทน - Shadow of the Sand King,
312101,165,331021,บทเพลงน้ำแข็งสะท้อนโลกา - Broken Rime's Echo,
312102,166,331022,เร่ร่อนกลางเหมันต์ - Blizzard Strayer,
312201,167,331023,จมดิ่งในห้วงนิทราเก่า - Wine-Stained Tricorne,
312202,168,331024,เสี้ยวคะนึงต้านคลื่น - Heart of Depth,
312301,169,331025,บทเพลงอาลัยมอดไหม้ - Witch's Scorching Hat,
312302,170,331026,ห้วงคิดแผดเผามลายสิ้น - Crimson Witch of Flames,
312401,171,331027,พายุฝนอสนีบาต - Thunder Summoner's Crown,
312402,172,331028,ขนนกกลางฟ้าฝนคะนอง - Thundering Fury,
312501,173,331029,สายลมเขียวชอุ่ม - Viridescent Venerer's Diadem,
312502,174,331030,ห้วงฝันกลางแมกไม้ - Viridescent Venerer,
312601,175,331031,ผานิลคดเคี้ยว - Mask of Solitude Basalt,
312602,176,331032,ชะง่อนผาเสียดฟ้า - Archaic Petra,
312701,177,331033,ลวดลายเรียกสายฝน - Laurel Coronet,
312702,178,331034,เถาแห่งปัญญา - Deepwood Memories,
321001,179,332000,ท่าเทียบเรือนับพันลำ,
321002,180,332001,ห้องสมุดแดนเหนือ,
321003,181,332002,นั่งชมดวงดาราในศาลาสูงเทียบเมฆ,
321004,182,332003,คฤหาสน์แห่งรุ่งอรุณ,
321005,183,332004,จุดสังเกตการณ์ Dihua,
321006,184,332005,ผู้มีจิตศรัทธามารวมกันที่นี่,
321007,185,332021,พันมือร้อยเนตรในโลกหล้า,
321008,186,332020,ความฝันสีแดงเข้มจากโลกอันแสนไกล,
321009,187,332022,ศาลเจ้าประกายมุก,
321010,188,332023,เมืองแห่งปัญญาทั้งปวง,
321011,189,332024,หนทางสู่ห้วงป่าลึก,
321012,190,332025,ที่ซุกซ่อนของโยไก,
321013,191,332034,คฤหาสน์ทองคำ,
321014,192,332036,Gandharva Ville,
321015,193,332038,Stormterror's Lair,
322001,194,332006,ไกด์นำทางที่เจ๋งที่สุด - Paimon,
322002,195,332007,พนักงานต้อนรับของกิลด์ - Katheryne,
322003,196,332008,นักเล่นแร่แปรธาตุ - Timaeus,
322004,197,332009,เจ้าของร้านตีเหล็ก - Wagner,
322005,198,332010,อร่อยแสงพุ่ง - เชฟ Mao,
322006,199,332011,ฟ้าหลังฝน - Tubby,
322007,200,332012,ผู้ปกปักความวิสุทธิ์ - Timmie,
322008,201,332013,ร้านสินค้าหายาก - Liben,
322009,202,332014,บัณฑิตผู้สิ้นหวัง - Chang ที่เก้า,
322010,203,332015,ใฝ่ฝันสู่อัศวิน - Ellin,
322011,204,332016,ต่อความเดิมจากคราวก่อน - Tian จอมคารมคมคาย,
322012,205,332017,โปรดติดตามตอนต่อไป - Liu Su,
322013,206,332026,ขจัดเคราะห์บรรเทาภัย - Hanachirusato,
322014,207,332027,เจตจำนงแห่ง Temari - Kujirai,
322015,208,332028,กินอิ่มค่อยว่ากัน - Xudong,
322016,209,332029,ศรัทธาอันจริงใจ - Dunyarzad,
322017,210,332030,สมบัติแห่งความทรงจำ - Rana,
322018,211,332033,หลอมตีร้อยศาสตราวุธ - Master Zhang,
322019,212,332035,ก้าวข้ามกำแพงสูง - Setaria,
322020,213,332037,ศิลปะแห่งเครื่องเคลือบ - Yayoi Nanatsuki,
323001,214,332018,หมุนวนนิรันดร์ - Parametric Transformation,
323002,215,332019,ใช้ยามฉุกเฉิน - อาหารพกพา,
323003,216,332031,สายลมลึกลับ - Red Feather Fan,
323004,217,332032,ภาษาที่เข้าใจได้ - Treasure-Seeking Seelie,
330001,218,333050,ลานสวนในกาลเก่า,
330002,219,333051,พันธสัญญาแห่งศิลาหินผา,
330003,220,333053,ระบำสุขสำราญ,
330004,221,333055,สายลมโชยแห่งอิสรภาพ,
330005,222,333057,In Every House a Stove,
331101,223,333000,Elemental Resonance: Woven Ice,
331102,224,333001,Elemental Resonance: Shattering Ice,
331201,225,333002,Elemental Resonance: Woven Waters,
331202,226,333003,Elemental Resonance: Soothing Water,
331301,227,333004,Elemental Resonance: Woven Flames,
331302,228,333005,Elemental Resonance: Fervent Flames,
331401,229,333006,Elemental Resonance: Woven Thunder,
331402,230,333007,Elemental Resonance: High Voltage,
331501,231,333008,Elemental Resonance: Woven Winds,
331502,232,333009,Elemental Resonance: Impetuous Winds,
331601,233,333010,Elemental Resonance: Woven Stone,
331602,234,333011,Elemental Resonance: Enduring Rock,
331701,235,333012,Elemental Resonance: Woven Weeds,
331702,236,333013,Elemental Resonance: Sprawling Greenery,
331801,237,333037,บทกวีอิสระ,
331802,238,333038,สัญญาพันผูกชั่วนิรันดร์,
331803,239,333039,ฝันเลื่อนลอยของสรรพสิ่ง,
331804,240,333040,ปัญญารื่นเริงของเหล่าวิญญาณ,
332001,241,333014,เพื่อนคู่หูที่ดีที่สุด!,
332002,242,333015,ได้เวลาเปลี่ยนกะแล้ว,
332003,243,333016,ลงหมดหน้าตัก,
332004,244,333017,วางกลยุทธ์แยบยล,
332005,245,333018,ฉันคนนี้ยังไม่แพ้สักหน่อย!,
332006,246,333019,ให้ฉันจัดการเอง!,
332007,247,333020,ยามเมื่อนกพิสุทธิ์หวนกลับ,
332008,248,333021,เส้นทางดวงดารา,
332009,249,333022,ทดลองเล่นแร่แปรธาตุ,
332010,250,333023,ปรมาจารย์ศาสตราวุธ,
332011,251,333024,วิหารสมบัติศักดิ์สิทธิ์,
332012,252,333025,การตัดเย็บ Bunny,
332013,253,333026,ไปดีมาดีน้า,
332014,254,333027,เหล่าวิญญาณร้ายหนีหาย,
