Id,CityId,PoolId,QuestId,Type,Rarity,CenterPosition,Title,Description,Target,
10100,1,1001,0,Scene,2,Event_10100,Dağ Yabanileri İçin Küçük Bir Adım,Dağ yabanileri, diğer dağ yabanilerini toplamak için bir kamp kuruyor. Bu tehlikeye son vermek için onları yen.,Tüm düşmanları yen.,
10101,1,1001,0,Scene,2,Event_10101,Dağ Yabanileri İçin Küçük Bir Adım,Dağ yabanileri, diğer dağ yabanilerini toplamak için bir kamp kuruyor. Bu tehlikeye son vermek için onları yen.,Tüm düşmanları yen.,
10102,1,1001,0,Scene,2,Event_10102,Dağ Yabanileri İçin Küçük Bir Adım,Dağ yabanileri, diğer dağ yabanilerini toplamak için bir kamp kuruyor. Bu tehlikeye son vermek için onları yen.,Tüm düşmanları yen.,
10103,1,1001,0,Scene,2,Event_10103,Dağ Yabanileri İçin Küçük Bir Adım,Dağ yabanileri, diğer dağ yabanilerini toplamak için bir kamp kuruyor. Bu tehlikeye son vermek için onları yen.,Tüm düşmanları yen.,
10104,1,1001,0,Scene,2,Event_10104,Dağ Yabanileri İçin Küçük Bir Adım,Dağ yabanileri, diğer dağ yabanilerini toplamak için bir kamp kuruyor. Bu tehlikeye son vermek için onları yen.,Tüm düşmanları yen.,
10106,1,1001,0,Scene,2,Event_10106,Büyük Dondurucu Kriz!,Bir Buz Bodurlopu grubu ortaya çıktı. Bu tehlikeye son vermek için onları yen. Elektrik saldırıları bu bodurloplara karşı oldukça işe yarayabilir.,Tüm düşmanları yen.,
10107,1,1001,0,Scene,2,Event_10107,Kalkan Krizi,Kalkanlı bir dağ yabanisi grubu geziniyor. Bu tehlikeye son vermek için onları yen. Ateş saldırıları, kalkanlarını kolaylıkla yakacaktır.,Tüm düşmanları yen.,
10200,1,1002,0,Scene,2,Event_10200,Yayılan Kötülük,Bir Hiçlik Büyücüsü, dağ yabanileri üzerinde bir ayin yapıyor. Bu tehlikeye son vermek için onları yen.,Tüm düşmanları yen.,
10201,1,1002,0,Scene,2,Event_10201,Yayılan Kötülük,Bir Hiçlik Büyücüsü, dağ yabanileri üzerinde bir ayin yapıyor. Bu tehlikeye son vermek için onları yen.,Tüm düşmanları yen.,
10202,1,1002,0,Scene,2,Event_10202,Yayılan Kötülük,Bir Hiçlik Büyücüsü, dağ yabanileri üzerinde bir ayin yapıyor. Bu tehlikeye son vermek için onları yen.,Tüm düşmanları yen.,
10203,1,1002,0,Scene,2,Event_10203,Yayılan Kötülük,Bir Hiçlik Büyücüsü, dağ yabanileri üzerinde bir ayin yapıyor. Bu tehlikeye son vermek için onları yen.,Tüm düşmanları yen.,
10204,1,1002,0,Scene,2,Event_10204,Yayılan Kötülük,Bir Hiçlik Büyücüsü, dağ yabanileri üzerinde bir ayin yapıyor. Bu tehlikeye son vermek için onları yen.,Tüm düşmanları yen.,
10205,1,1002,0,Scene,2,Event_10205,Yayılan Kötülük,Bir Hiçlik Büyücüsü, dağ yabanileri üzerinde bir ayin yapıyor. Bu tehlikeye son vermek için onları yen.,Tüm düşmanları yen.,
10206,1,1002,0,Scene,2,Event_10206,Yayılan Kötülük,Bir Hiçlik Büyücüsü, dağ yabanileri üzerinde bir ayin yapıyor. Bu tehlikeye son vermek için onları yen.,Tüm düşmanları yen.,
