Id,CardId,ItemId,Name,
1101,1,330000,"Dolunay Gözcüsü" Ganyu,
1102,2,330023,"Kätzlein Kokteyli" Diona,
1103,3,330001,"Buzdaki Kılıç Ustası" Kaeya,
1104,4,330002,"Donmuş Ateş" Chongyun,
1105,5,330003,"Buz Balıkçılı" Kamisato Ayaka,
1106,6,330028,"Işıltılı Dalganın Dansı" Eula,
1107,7,330048,"Yalnızlığın Ötesi" Shenhe,
1108,8,330052,"Buzul Diriliş" Qiqi,
1201,9,330025,"Işıltılı İdol" Barbara,
1202,10,330004,"Gençliğin Baharı" Xingqiu,
1203,11,330005,"Astral Yansıma" Mona,
1204,12,330029,"Asilzade" Tartaglia,
1205,13,330030,"Bilgelik İncisi" Sangonomiya Kokomi,
1206,14,330031,"Metanet Abidesi" Kamisato Ayato,
1207,15,330049,Altın Yemin: Candace,
1208,16,330057,"Nilüfer Işığı Dansı" Nilou,
1301,17,330006,"Şafağın Karanlık Yüzü" Diluc,
1302,18,330007,"Enfes Lezzet" Xiangling,
1303,19,330008,"Ateşle İmtihan" Bennett,
1304,20,330009,"Kaşif" Amber,
1305,21,330010,"Neşeli Alevler" Yoimiya,
1306,22,330032,"Kaçan Güneş Işığı" Klee,
1307,23,330033,"Erik Çiçeği" Hu Tao,
1308,24,330050,Masum Bilgelik: Yanfei,
1309,25,330055,"Alevli Yele" Dehya,
1401,26,330011,"Fischl, Adalet Prensesi!" Fischl,
1402,27,330012,"Kurt Çocuk" Razor,
1403,28,330013,"Yıldırım Efendisi" Keqing,
1404,29,330024,"Sırlar Hakimi" Cyno,
1405,30,330034,"Okyanusun Taçsız Efendisi" Beidou,
1406,31,330035,"Karga Tüylü Kaburaya" Kujou Sara,
1407,32,330036,"Zihnin Dinlenme Yeri" Şogun Raiden,
1408,33,330037,"Akıl Oyunları" Yae Miko,
1409,34,330053,"Mor Gül Cadısı" Lisa,
1410,35,330058,"Rüya Bahçesi Hazinesi" Dori,
1501,36,330014,"Masum Şeker" Sucrose,
1502,37,330015,"Karahindiba Şövalyesi" Jean,
1503,38,330038,"Rüzgarın Ozanı" Venti,
1504,39,330039,"Bekçi Yaksha" Xiao,
1505,40,330051,Hırçın Dalgaları Kovalayan Kızıl Yapraklar: Kaedehara Kazuha,
1506,41,330054,"Sonsuzluğa Sürüklenme" Avare,
1601,42,330016,"Örten Yıldız" Ningguang,
1602,43,330017,"Şövalye Çiçeği" Noelle,
1603,44,330040,"Fani Dünya Gezgini" Zhongli,
1604,45,330041,"Kreideprinz" Albedo,
1605,46,330042,"Hanamizaka Kahramanlığı" Arataki Itto,
1701,47,330018,"Yeniden Doğuş Filizi" Collei,
1702,48,330043,"Yeşil Yolgezer" Tighnari,
1703,49,330044,"Saflık Abidesi" Nahida,
1704,50,330056,"Zarafet Filizleri" Yaoyao,
1705,51,330059,"Ölümsüzlüğün Ötesi" Baizhu,
2101,52,330045,"Çukur Sisi Cicini" Buz Cicin Büyücüsü,
2201,53,330019,"Berrak Suların Leydisi" Rhodeia,
2202,54,330026,"Snezhnayalı Hanım" Ayna Elçisi,
2301,55,330020,"Hesaplaşma Kılıcı" Tetikçi,
2302,56,330046,Hiçlik Vaizi: Derin Alevler,
2401,57,330047,Elektrik Hipostazı,
2501,58,330021,"Dahi Makina" Maguu Kenki,
2601,59,330022,"Vadigezen" Taş Sırtlı Dağ Reisi,
2701,60,330027,"Mantarların Efendisi" Yeşimkuyruk Mantar Kuşu,
211011,61,330500,Ganyu: Tek Yürek,
211021,62,330523,Diona: Buzul Mırlama,
211031,63,330501,Kaeya: Soğukkanlı Vuruş,
211041,64,330502,Chongyun: Nefes Tekniği,
211051,65,330503,Kamisato Ayaka: Kanten Senmyou Lütfu,
211061,66,330528,Eula: Savaş Arzusu Dehlizi,
211071,67,330540,Shenhe: Unutulmuş Gizem,
211081,68,330552,Qiqi: Canlandırma Ayini,
212011,69,330525,Barbara: Muhteşem Sezon,
212021,70,330504,Xingqiu: Yağmur Kokusu,
212031,71,330505,Mona: Batışın Kehaneti,
212041,72,330541,Tartaglia: Su Patlaması,
212051,73,330529,Sangonomiya Kokomi: Tamanooya'nın Sepeti,
212061,74,330538,Kamisato Ayato: Kyouka Fuushi,
212071,75,330549,Candace: Taşkın,
212081,76,330557,"Yıldızlı Göğün Çiçek Yağmuru" Nilou,
213011,77,330506,Diluc: Akan Alev,
213021,78,330507,Xiangling: Çapraz Ateş,
213031,79,330508,Bennett: Büyük Umutlar,
213041,80,330509,Amber: Tavşan Tetiği,
213051,81,330510,Yoimiya: Naganohara Meteor Yağmuru,
213061,82,330530,Klee: Ezici Sürpriz,
213071,83,330542,Hu Tao: Kanlı Canlı,
213081,84,330550,Yanfei: Son Karar Hakkı,
213091,85,330554,Dehya: Cesur ve Dürüst,
214011,86,330511,Fischl: Yıldız Yiyen Kuzgun,
214021,87,330512,Razor: Uyanış,
214031,88,330513,Keqing: Yıldırım Cezası,
214041,89,330524,Cyno: Tüy Yargısı,
214051,90,330531,Beidou: Şimşek Fırtınası,
214061,91,330537,Kujou Sara: Kibir,
214071,92,330543,Şogun Raiden: Sayısız Dilek,
214081,93,330544,Yae Miko: Tapınağın Kutsal Gölgesi,
214091,94,330553,Lisa: Titreşen Cadı,
214101,95,330558,"İsteğe Bağlı Takviye" Dori,
215011,96,330514,Sucrose: Entropi Yasası,
215021,97,330515,Jean: Karahindiba Toprakları,
215031,98,330532,Venti: Rüzgarların Kucaklaması,
215041,99,330533,Xiao: Şer Fatihi,
215051,100,330551,Kaedehara Kazuha: Fuubutsu Şiirleri,
215061,101,330555,Avare: Bora Rüyası,
216011,102,330516,Ningguang: Stratejik Rezerv,
216021,103,330517,Noelle: Bana Güven,
216031,104,330534,Zhongli: Toprak Hakimiyeti,
216041,105,330545,Albedo: Kutsallığın Çöküşü,
216051,106,330539,Arataki Itto: Arataki Ichiban,
217011,107,330518,Collei: Yandan Uçan Yapraklar,
217021,108,330535,Tighnari: Keskin Görüş,
217031,109,330546,Nahida: Saklanmış Bilgi Tohumu,
217041,110,330556,Yaoyao: Cömert,
217051,111,330559,"Her Şey Topraktan Doğar" Baizhu,
221011,112,330547,Buz Cicin Büyücüsü: Donduran Cicin Bakışı,
222011,113,330519,Akış,
222021,114,330526,Aynadaki Sır,
223011,115,330520,Gizli Ödeme,
223021,116,330548,Hiçlik Vaizi: Yeniden Alevlenen Korlar,
224011,117,330536,Elektrik Hipostazı: Soğuran Prizma,
225011,118,330521,Kukla Kılıç Ustası,
226011,119,330522,Kayadan Dövülmüş,
227011,120,330527,Spor Toz Bulutu,
311101,121,331000,Fırtına ve Dalganın Laneti: Büyü Rehberi,
311102,122,331001,Soğukkanlı: Kurban Kanunları,
