Item,Value,Tag1,Tag2,Tag3,Tag4,Tag5,
Elma,1,AvatarExp,SkillBook,None,None,None,
Güneriği,1,AvatarExp,SkillBook,None,None,None,
Mantar,1,AvatarExp,SkillBook,None,None,None,
Tatlı Çiçek,1,AvatarExp,SkillBook,None,None,None,
Havuç,1,AvatarExp,SkillBook,None,None,None,
Turp,1,AvatarExp,SkillBook,None,None,None,
Aslanağzı,1,AvatarExp,SkillBook,None,None,None,
Nane,1,AvatarExp,SkillBook,None,None,None,
Buğday,1,AvatarExp,SkillBook,None,None,None,
Lahana,1,AvatarExp,SkillBook,None,None,None,
Gümüş Nilüfer,1,AvatarExp,SkillBook,None,None,None,
Çam Kozalağı,1,AvatarExp,SkillBook,None,None,None,
Nilüfer Başı,1,AvatarExp,SkillBook,None,None,None,
Atkuyruğu,1,AvatarExp,SkillBook,None,None,None,
Böğürtlen,1,AvatarExp,SkillBook,None,None,None,
Sis Çiçeği Tepeciği,1,AvatarExp,SkillBook,None,None,None,
Alev Çiçeği Tomurcuğu,1,AvatarExp,SkillBook,None,None,None,
Elektrik Kristali,1,WeaponExp,AvatarPromote,None,None,None,
Çiğ Et,1,Scoin,WeaponPromote,None,None,None,
Kuş Yumurtası,1,Scoin,WeaponPromote,None,None,None,
Matsutake,1,AvatarExp,SkillBook,None,None,None,
Kuş Eti,1,Scoin,WeaponPromote,None,None,None,
Kelebek Kanatları,1,Scoin,WeaponPromote,None,None,None,
Yengeç,1,Scoin,WeaponPromote,None,None,None,
Domates,1,AvatarExp,SkillBook,None,None,None,
Patates,1,AvatarExp,SkillBook,None,None,None,
Kurbağa,1,Scoin,WeaponPromote,None,None,None,
Ateşböceği Sırtı,1,Scoin,WeaponPromote,None,None,None,
Kertenkele Kuyruğu,1,Scoin,WeaponPromote,None,None,None,
Balık,1,Scoin,WeaponPromote,None,None,None,
Kristal Çekirdek,1,WeaponExp,AvatarPromote,None,None,None,
Çopra İncisi,1,WeaponExp,AvatarPromote,None,None,None,
Bambu Filizi,1,AvatarExp,SkillBook,None,None,None,
Dondurulmuş Et,1,Scoin,WeaponPromote,None,None,None,
Kurt Çengeli,1,AvatarExp,SkillBook,None,None,None,
Valyemiş,1,AvatarExp,SkillBook,None,None,None,
Sesilya,1,AvatarExp,SkillBook,None,None,None,
Rüzgargülü Çiçeği,1,AvatarExp,SkillBook,None,None,None,
Filanemo Mantarı,1,AvatarExp,SkillBook,None,None,None,
Küçük Lamba Otu,1,AvatarExp,SkillBook,None,None,None,
Gelin Çiçeği,1,AvatarExp,SkillBook,None,None,None,
Karahindiba Tohumu,1,AvatarExp,SkillBook,None,None,None,
Jueyun Biberi,1,AvatarExp,SkillBook,None,None,None,
Gece Parlayan Yeşim,1,WeaponExp,AvatarPromote,None,None,None,
İpek Çiçeği,1,AvatarExp,SkillBook,None,None,None,
Parlak Zambak,1,AvatarExp,SkillBook,None,None,None,
Qingxin,1,AvatarExp,SkillBook,None,None,None,
Yıldız Kabuğu,1,Scoin,WeaponPromote,None,None,None,
Mor Ot,1,AvatarExp,SkillBook,None,None,None,
Cor Lapis,1,WeaponExp,AvatarPromote,None,None,None,
Demir Parçası,1,WeaponExp,AvatarPromote,None,None,None,
Beyaz Demir Parçası,1,WeaponExp,AvatarPromote,None,None,None,
Kristal Parçası,1,WeaponExp,AvatarPromote,None,None,None,
Büyülü Kristal Parçası,1,WeaponExp,AvatarPromote,None,None,None,
Gümüş Yıldız,1,WeaponExp,AvatarPromote,None,None,None,
Ametist Parçası,1,WeaponExp,AvatarPromote,None,None,None,
Hayalet Böcek,1,Scoin,WeaponPromote,None,None,None,
Kiraz Çiçeği,1,AvatarExp,SkillBook,None,None,None,
Kristal Özü,1,WeaponExp,AvatarPromote,None,None,None,
Kan Çiçeği,1,AvatarExp,SkillBook,None,None,None,
Gözyaşı Otu,1,AvatarExp,SkillBook,None,None,None,
Deniz Mantarı,1,AvatarExp,SkillBook,None,None,None,
Sango İncisi,1,WeaponExp,AvatarPromote,None,None,None,
Amakumo Meyvesi,1,AvatarExp,SkillBook,None,None,None,
Fosforlu Mantar,1,AvatarExp,SkillBook,None,None,None,
Yosun,1,AvatarExp,SkillBook,None,None,None,
Eflatun Kavun,1,AvatarExp,SkillBook,None,None,None,
Yıldız Mantarı,1,AvatarExp,SkillBook,None,None,None,
Rukkhashava Mantarları,1,AvatarExp,SkillBook,None,None,None,
Padisarah,1,AvatarExp,SkillBook,None,None,None,
Nilotpala Nilüferi,1,AvatarExp,SkillBook,None,None,None,
Harra Meyvesi,1,AvatarExp,SkillBook,None,None,None,
Kalpalata Nilüferi,1,AvatarExp,SkillBook,None,None,None,
Zaytun Şeftalisi,1,AvatarExp,SkillBook,None,None,None,
Sumeru Gülü,1,AvatarExp,SkillBook,None,None,None,
Henna Yemişi,1,AvatarExp,SkillBook,None,None,None,
Ajilenakh Yemişi,1,AvatarExp,SkillBook,None,None,None,
Firavun Böceği,1,Scoin,WeaponPromote,None,None,None,
Etkin Yıldız Mantarı,1,AvatarExp,SkillBook,None,None,None,
Yanık Yıldız Mantarı,1,AvatarExp,SkillBook,None,None,None,
Viparyas,1,AvatarExp,SkillBook,None,None,None,
