Id,CardId,ItemId,Name,
1101,1,330000,Người Bảo Vệ Tận Tâm - Ganyu,
1102,2,330023,Đặc Chế Quán Rượu Đuôi Mèo - Diona,
1103,3,330001,Hàn Phong Kiếm Sĩ - Kaeya,
1104,4,330002,Bóng Hình Băng Giá - Chongyun,
1105,5,330003,Bạch Hạc Sương Hoa - Kamisato Ayaka,
1106,6,330028,Vũ Điệu Bọt Biển - Eula,
1107,7,330048,Thiên Thể Cô Độc - Shenhe,
1108,8,330052,Đêm Hồn Về Lạnh Giá - Qiqi,
1201,9,330025,Thần Tượng Tỏa Sáng - Barbara,
1202,10,330004,Cổ Hoa Phi Vân - Xingqiu,
1203,11,330005,Thủy Kính Thiên Tinh - Mona,
1204,12,330029,Childe - Tartaglia,
1205,13,330030,Trí Tuệ Trân Châu - Sangonomiya Kokomi,
1206,14,330031,Trụ Cột Vững Vàng - Kamisato Ayato,
1207,15,330049,Thề Nguyện Ánh Kim - Candace,
1208,16,330057,Vũ Điệu Ánh Sen - Nilou,
1301,17,330006,Mặt Tối Của Bình Minh - Diluc,
1302,18,330007,Vạn Dân Bách Vị - Xiangling,
1303,19,330008,Thử Thách Của Vận Mệnh - Bennett,
1304,20,330009,Kỵ Sĩ Trinh Thám - Amber,
1305,21,330010,Vũ Điệu Bão Lửa - Yoimiya,
1306,22,330032,Mặt Trời Chạy Trốn - Klee,
1307,23,330033,Tuyết Tễ Mai Hương - Hu Tao,
1308,24,330050,Cơ Trí Ngây Thơ - Yanfei,
1309,25,330055,Sư Tử Lửa - Dehya,
1401,26,330011,Công Chúa Định Tội - Fischl,
1402,27,330012,Thiếu Niên Sói - Razor,
1403,28,330013,Sấm Chớp Trước Cơn Mưa - Keqing,
1404,29,330024,Phán Quyết Ẩn Mật - Cyno,
1405,30,330034,Long Vương Không Vương Miện - Beidou,
1406,31,330035,Hắc Vũ Tiễn - Kujou Sara,
1407,32,330036,Nhất Tâm Tịnh Thổ - Raiden Shogun,
1408,33,330037,Tiếu Ngạo Thế Gian - Yae Miko,
1409,34,330053,Ma Nữ Tường Vi - Lisa,
1410,35,330058,Kho Báu Vườn Mơ - Dori,
1501,36,330014,Độ Ngọt Vô Hại - Sucrose,
1502,37,330015,Kỵ Sĩ Bồ Công Anh - Jean,
1503,38,330038,Nhà Thơ Có Màu Của Gió - Venti,
1504,39,330039,Hộ Pháp Dạ Xoa - Xiao,
1505,40,330051,Lá Đỏ Đuổi Sóng - Kaedehara Kazuha,
1506,41,330054,Đoạn Tuyệt Thế Gian - Kẻ Lang Thang,
1601,42,330016,Yểm Nguyệt Thiên Quyền - Ningguang,
1602,43,330017,Đóa Hoa Chưa Vinh Danh - Noelle,
1603,44,330040,Du Ngoạn Trần Thế - Zhongli,
1604,45,330041,Kreideprinz - Albedo,
1605,46,330042,Quái Kiệt Hanamizaka - Arataki Itto,
1701,47,330018,Mầm Non Tái Sinh - Collei,
1702,48,330043,Dạo Bước Rừng Xanh - Tighnari,
1703,49,330044,Kết Tinh Bạch Thảo - Nahida,
1704,50,330056,Nhụy Hoa Hoạt Bát - Yaoyao,
1705,51,330059,Sinh Tử Giao Hòa - Baizhu,
2101,52,330045,Sương Mù Kêu Gọi - Thuật Sĩ Cicin Băng,
2201,53,330019,Lãnh Chúa Nước Trong - Rhodeia,
2202,54,330026,Quý Cô Snezhnaya - Sứ Giả Kính,
2301,55,330020,Lưỡi Dao Tính Sổ - Người Xử Lý Nợ,
2302,56,330046,Học Sĩ Vực Sâu - Uyên Hỏa,
2401,57,330047,Lôi Nguyên Bản,
2501,58,330021,Biến Hóa Khôn Lường - Maguu Kenki,
2601,59,330022,Vượt Ngàn Ngọn Núi - Vua Mũ Đá Hilichurl,
2701,60,330027,Vua Nấm - Nấm Thúy Linh,
211011,61,330500,Ganyu - Duy Thử Nhất Tâm,
211021,62,330523,Diona - Vuốt Mèo Lắc Đá,
211031,63,330501,Kaeya - Lãnh Huyết Kiếm,
211041,64,330502,Chongyun - Hơi Thở Bình Yên,
211051,65,330503,Kamisato Ayaka - Lời Chúc Kanten Senmyou,
211061,66,330528,Eula - Lòng Hiếu Chiến Trỗi Dậy,
211071,67,330540,Shenhe - Vong Huyền,
211081,68,330552,Qiqi - Khởi Tử Hồi Sinh,
212011,69,330525,Barbara - Mùa Huy Hoàng,
212021,70,330504,Xingqiu - Mùi Hương Vương Vấn,
212031,71,330505,Mona - Tiên Tri Chìm Đắm,
212041,72,330541,Tartaglia - Bắn Nước,
212051,73,330529,Sangonomiya Kokomi - Rương Báu Tamakushi,
212061,74,330538,Kamisato Ayato - Kyouka Fuushi,
212071,75,330549,Candace - Thủy Triều Dâng Trào,
212081,76,330557,Nilou - Mưa Hoa Trời Sao,
213011,77,330506,Diluc - Lòng Như Lửa Đốt,
213021,78,330507,Xiangling - Hỏa Lực Đan Chéo,
213031,79,330508,Bennett - Tầm Nhìn Phiêu Lưu,
213041,80,330509,Amber - Thỏ Xông Lên,
213051,81,330510,Yoimiya - Chòm Sao Băng Naganohara,
213061,82,330530,Klee - Món Quà Bằng Bằng,
213071,83,330542,Hu Tao - Huyết Chi Táo Hỏa,
213081,84,330550,Yanfei - Quyền Quyết Định Cuối Cùng,
213091,85,330554,Dehya - Kiên Cường Chính Trực,
214011,86,330511,Fischl - Ác Điểu Nuốt Sao,
214021,87,330512,Razor - Thức Tỉnh,
214031,88,330513,Keqing - Sự Trừng Phạt Sấm Sét,
214041,89,330524,Cyno - Lạc Vũ Phán Quyết,
214051,90,330531,Beidou - Sấm Sét Đầy Trời,
214061,91,330537,Kujou Sara - Bản Ngã,
214071,92,330543,Raiden Shogun - Ngàn Vạn Ước Nguyện,
214081,93,330544,Yae Miko - Bóng Râm Đền Thần,
214091,94,330553,Lisa - Rung Động Của Ma Nữ,
214101,95,330558,Dori - Bổ Sung Tùy Ý,
215011,96,330514,Sucrose - Thuyết Hỗn Loạn,
215021,97,330515,Jean - Lãnh Thổ Bồ Công Anh,
215031,98,330532,Venti - Cái Ôm Của Gió,
215041,99,330533,Xiao - Hàng Ma,
215051,100,330551,Kaedehara Kazuha - Cảnh Vật Thì Thầm,
215061,101,330555,Kẻ Lang Thang - Gió Lốc Hão Huyền,
216011,102,330516,Ningguang - Kiếm Củi Ba Năm Thiêu Một Giờ,
216021,103,330517,Noelle - Chi Viện Cứ Giao Cho Tôi,
216031,104,330534,Zhongli - Xuy Kim Soạn Ngọc,
216041,105,330545,Albedo - Sự Giáng Thế Của Thần,
216051,106,330539,Arataki Itto - Arataki Đệ Nhất,
217011,107,330518,Collei - Lá Khẽ Bay Nghiêng,
217021,108,330535,Tighnari - Tầm Nhìn Sắc Sảo,
217031,109,330546,Nahida - Hạt Giống Ẩn Chứa Tri Thức,
217041,110,330556,Yaoyao - Thông Minh Nhân Hậu,
217051,111,330559,Baizhu - Tại Địa Vi Hóa,
221011,112,330547,Thuật Sĩ Cicin Băng - Tia Lạnh Cicin Băng,
222011,113,330519,Như Dòng Nước Chảy,
222021,114,330526,Bí Mật Ẩn Trong Gương,
223011,115,330520,Thu Hồi Bí Mật,
223021,116,330548,Học Sĩ Vực Sâu - Tàn Lửa Bùng Lên,
224011,117,330536,Lôi Nguyên Bản - Lăng Kính Hút Năng Lượng,
225011,118,330521,Con Rối Kiếm Khách,
226011,119,330522,Được Đúc Từ Đá,
227011,120,330527,Mây Bụi Bào Tử,
311101,121,331000,Ngưng Thủy Diệt Lôi - Tóm Tắt Ma Pháp,
311102,122,331001,Khí Định Thần - Mảnh Chương Tế Lễ,
311103,123,331002,Thiên Phong Vạn Vân - Quyển Thiên Không,
311104,124,331038,Khúc Ca Ngàn Đêm - Cõi Mộng Ngàn Đêm,
311105,125,331052,Mặt Trăng Tròn Trĩnh - Quả Mọng,
311201,126,331003,Đạp Hỏa Ngưng Thủy - Cung Lông Quạ,
311202,127,331004,Khí Định Thần - Cung Tế Lễ,
311203,128,331005,Bài Thơ Vang Vọng - Cánh Thiên Không,
311204,129,331037,Ý Chí Không Quên - Cung Amos,
311205,130,331039,Bài Ca Thương Nhớ - Tiếng Thở Dài Vô Tận,
311206,131,331053,Chỉ Dẫn Của Rừng Sâu - Cận Vệ Nhà Vua,
311301,132,331006,Thương Tiếc Tuyết Bạc - Kiếm Bạch Thiết,
311302,133,331007,Khí Định Thần - Đại Kiếm Tế Lễ,
311303,134,331008,Lối Mòn Trên Núi - Đường Cùng Của Sói,
311304,135,331040,Trảm Lìa Trời Cao - Thiên Không Kiêu Ngạo,
311305,136,331041,Bảo Vệ Phản Nghịch - Kiếm Chuông,
311401,137,331009,Mũi Nhọn Sắc Bén- Thương Bạch Anh,
311402,138,331010,Không Hề Lay Chuyển - Thương Thiên Nham,
311403,139,331011,Cánh Đen Chạm Khắc - Xương Sống Thiên Không,
311404,140,331042,Hoàng Cực Chương Vàng - Giáo Nịnh Thần,
311405,141,331043,Giấc Mơ Vĩnh Cửu - Đoạn Thảo Trường Đao,
311406,142,331054,Ánh Trăng Rừng Tối - Quán Nguyệt Thương,
311501,143,331012,Người Bạn Đồng Hành - Kiếm Lữ Hành,
311502,144,331013,Khí Định Thần - Kiếm Tế Lễ,
311503,145,331014,Nghe Theo Hướng Gió - Phong Ưng Kiếm,
311504,146,331044,Xuyên Thấu Trời Cao - Thiên Không Kiếm,
311505,147,331045,Đi Cùng Với Gió - Tây Phong Kiếm,
312001,148,331015,Đường Mòn Khúc Khuỷu - Khăn Nhà Mạo Hiểm,
312002,149,331016,Vương Miện Vô Ưu - Vòng Bạc May Mắn,
312003,150,331017,Hành Y Cứu Chữa - Khăn Thầy Thuốc,
312004,151,331018,Đặt Cược Rủi Ro - Hoa Tai Con Bạc,
312005,152,331019,Chuẩn Bị Trước - Nón Giáo Quan,
312006,153,331020,Dòng Dõi Quý Tộc - Vương Miện Kẻ Lưu Đày,
312007,154,331035,Ánh Chớp Năm Xưa - Nón Hoa Mỹ,
312008,155,331046,Dấu Ấn Ngăn Cách - Nón Hoa Mỹ,
312009,156,331036,Giữ Trọn Lời Thề - Nón Nguyên Soái,
312010,157,331047,Thiên Nham Vững Chắc - Nón Nguyên Soái,
312011,158,331048,Dẹp Yên Tai Họa - Diện Mạo Sấm Sét,
312012,159,331049,Mây Phủ Hoàng Hôn - Thần Sa Vãng Sinh Lục,
312013,160,331050,Tưởng Nhớ Dài Lâu - Mặt Nạ Vô Thường,
312014,161,331051,Muôn Sắc Vụt Tan - Dòng Hồi Ức Bất Tận,
312015,162,331055,Vương Miện Trân Châu - Vương Miện Watatsumi,
312016,163,331056,Ký Ức Biển Sâu - Xà Cừ Đại Dương,
312017,164,331057,Kẻ Đại Diện - Hình Chiếu Vua Cát,
312101,165,331021,Bài Ca Xa Xôi - Tiếng Vọng Băng Vỡ Tuyết Rơi,
312102,166,331022,Chuyến Đi Mùa Đông - Dũng Sĩ Trong Băng Giá,
312201,167,331023,Giấc Mơ Chìm Đắm - Mũ Đượm Rượu,
312202,168,331024,Hồi Ức Thuyền Và Biển - Trái Tim Trầm Luân,
312301,169,331025,Tro Tàn Than Thở - Nón Ma Nữ Lo Lắng,
312302,170,331026,Suy Nghĩ Rực Lửa - Diệm Liệt Ma Nữ Cháy Rực,
312401,171,331027,Sấm Sét Và Mưa - Vương Miện Gọi Sét,
312402,172,331028,Lông Vũ Trời Sấm - Như Sấm Thịnh Nộ,
312501,173,331029,Ngọn Gió Xanh Biếc - Nón Thợ Săn,
312502,174,331030,Giấc Mơ Tan Vỡ - Bóng Hình Màu Xanh,
312601,175,331031,Phiến Đá Răng Cưa - Mặt Nạ Huyền Thạch,
312602,176,331032,Dốc Núi Cheo Leo - Phiến Đá Lâu Đời,
312701,177,331033,Hoa Văn Gọi Mưa - Vương Miện Của Nguyệt Quế,
312702,178,331034,Kiến Thức Rừng Xanh - Ký Ức Rừng Sâu,
321001,179,332000,Cảng Biển Ngàn Cánh Buồm,
321002,180,332001,Thư Viện Đất Bắc,
321003,181,332002,Ngắm Sao Giữa Trùng Mây,
321004,182,332003,Trang Viên Ban Mai,
321005,183,332004,Cỗ Xe Ở Phía Xa,
321006,184,332005,Khu Tập Trung Mộ Đạo,
321007,185,332021,Thiên Thủ Bách Nhãn - Thiên Hạ Nhân Gian,
321008,186,332020,Giấc Mộng Màu Đỏ,
321009,187,332022,Cung Điện Lấp Lánh Ánh Trân Châu,
321010,188,332023,Thành Phố Hội Tụ Mọi Trí Tuệ,
321011,189,332024,Như Lối Mòn Trong Rừng Sâu Dẫn Đến,
321012,190,332025,Nơi Tiềm Ẩn Dấu Tích Yêu Ma,
321013,191,332034,Hoàng Kim Ốc,
321014,192,332036,Làng Gandharva,
321015,193,332038,Phế Tích Phong Long,
322001,194,332006,Người Dẫn Đường Giỏi Nhất - Paimon,
322002,195,332007,Tiếp Đón Của Hiệp Hội - Katheryne,
322003,196,332008,Giả Kim Học Giả - Timaeus,
322004,197,332009,Ông Chủ Xưởng Rèn - Wagner,
322005,198,332010,Sành Ăn Khéo Léo - Thầy Mao,
322006,199,332011,Tiêu Hồng Tế Vũ - Tubby,
322007,200,332012,Kiên Nhẫn Thuần Khiết - Timmie,
322008,201,332013,Cửa Hàng Đồ Hiếm - Liben,
322009,202,332014,Vị Khách Ngã Lòng - Thường Cửu Gia,
322010,203,332015,Giấc Mơ Kỵ Sĩ - Ellin,
322011,204,332016,Tiếp Nối Phần Trước - Tian Miệng Sắt,
322012,205,332017,Nghe Tiếp Phần Sau - Liu Su,
322013,206,332026,Loại Bỏ Tai Ương - Hanachirusato,
322014,207,332027,Tâm Ý Temari - Tiểu Đệ Kujirai,
322015,208,332028,Ăn No Rồi Tính - Xudong,
322016,209,332029,Lòng Tin Chân Thành - Dunyarzad,
322017,210,332030,Ký Ức Quý Báu - Rana,
322018,211,332033,Bách Luyện Xuất Bảo Binh - Lão Zhang,
322019,212,332035,Vượt Qua Tường Cao - Setaria,
322020,213,332037,Nghệ Thuật Sơn Mài - Yayoi Nanatsuki,
323001,214,332018,Luân Chuyển Liên Tục - Biến Đổi Tham Số,
