Item,Value,Tag1,Tag2,Tag3,Tag4,Tag5,
Táo,1,AvatarExp,SkillBook,None,None,None,
Quả Nhật Lạc,1,AvatarExp,SkillBook,None,None,None,
Nấm Rơm,1,AvatarExp,SkillBook,None,None,None,
Hoa Ngọt,1,AvatarExp,SkillBook,None,None,None,
Cà Rốt,1,AvatarExp,SkillBook,None,None,None,
Củ Cải Trắng,1,AvatarExp,SkillBook,None,None,None,
Cỏ Kim Ngư,1,AvatarExp,SkillBook,None,None,None,
Bạc Hà,1,AvatarExp,SkillBook,None,None,None,
Tiểu Mạch,1,AvatarExp,SkillBook,None,None,None,
Bắp Cải Cuộn,1,AvatarExp,SkillBook,None,None,None,
Cúc Họa Mi,1,AvatarExp,SkillBook,None,None,None,
Quả Thông,1,AvatarExp,SkillBook,None,None,None,
Đài Sen,1,AvatarExp,SkillBook,None,None,None,
Đuôi Ngựa,1,AvatarExp,SkillBook,None,None,None,
Quả Mâm Xôi,1,AvatarExp,SkillBook,None,None,None,
Đóa Băng Vụ Hoa,1,AvatarExp,SkillBook,None,None,None,
Nhụy Hoa Liệt Hỏa,1,AvatarExp,SkillBook,None,None,None,
Pha Lê Điện,1,WeaponExp,AvatarPromote,None,None,None,
Thịt Rừng,1,Scoin,WeaponPromote,None,None,None,
Trứng Chim,1,Scoin,WeaponPromote,None,None,None,
Nhung Tùng,1,AvatarExp,SkillBook,None,None,None,
Thịt Gia Cầm,1,Scoin,WeaponPromote,None,None,None,
Cánh Bướm,1,Scoin,WeaponPromote,None,None,None,
Cua,1,Scoin,WeaponPromote,None,None,None,
Cà Chua,1,AvatarExp,SkillBook,None,None,None,
Khoai Tây,1,AvatarExp,SkillBook,None,None,None,
Ếch Xanh,1,Scoin,WeaponPromote,None,None,None,
Tủy Phát Sáng,1,Scoin,WeaponPromote,None,None,None,
Đuôi Rồng Đất,1,Scoin,WeaponPromote,None,None,None,
Thịt Cá,1,Scoin,WeaponPromote,None,None,None,
Tinh Hạt Nhân,1,WeaponExp,AvatarPromote,None,None,None,
Bảo ngọc cá chạch,1,WeaponExp,AvatarPromote,None,None,None,
Măng Trúc,1,AvatarExp,SkillBook,None,None,None,
Thịt Tươi Lạnh,1,Scoin,WeaponPromote,None,None,None,
Quả Móc Câu,1,AvatarExp,SkillBook,None,None,None,
Quả Dâu Đỏ,1,AvatarExp,SkillBook,None,None,None,
Hoa Cecilia,1,AvatarExp,SkillBook,None,None,None,
Cúc Cánh Quạt,1,AvatarExp,SkillBook,None,None,None,
Nấm Rơm Gió,1,AvatarExp,SkillBook,None,None,None,
Tiểu Đăng Thảo,1,AvatarExp,SkillBook,None,None,None,
Hoa Calla Lily,1,AvatarExp,SkillBook,None,None,None,
Hạt Bồ Công Anh,1,AvatarExp,SkillBook,None,None,None,
Ớt Tuyệt Vân,1,AvatarExp,SkillBook,None,None,None,
Dạ Phách Thạch,1,WeaponExp,AvatarPromote,None,None,None,
Hoa Nghê Thường,1,AvatarExp,SkillBook,None,None,None,
Bách Hợp Lưu Ly,1,AvatarExp,SkillBook,None,None,None,
Thanh Tâm,1,AvatarExp,SkillBook,None,None,None,
Ốc Sao,1,Scoin,WeaponPromote,None,None,None,
Túi Lưu Ly,1,AvatarExp,SkillBook,None,None,None,
Thạch Phách,1,WeaponExp,AvatarPromote,None,None,None,
Mảnh Sắt,1,WeaponExp,AvatarPromote,None,None,None,
Mảnh Sắt Trắng,1,WeaponExp,AvatarPromote,None,None,None,
Mảnh Pha Lê,1,WeaponExp,AvatarPromote,None,None,None,
Mảnh Ma Tinh,1,WeaponExp,AvatarPromote,None,None,None,
